Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Comarca código	Comarca nombre	CIF	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	29	Comunidad de Teruel	Otros	0	81	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	29	Comunidad de Teruel	Otros	1	80	7590	94,875
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	30	Maestrazgo	Otros	0	9	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	30	Maestrazgo	Otros	1	51	1151	22,56862745098039215686274509803921568627
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	30	Maestrazgo	Otros	0	6	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	30	Maestrazgo	Otros	1	5	650	130
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	31	Sierra de Albarracín	A través de una ETT	0	1	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	31	Sierra de Albarracín	Otros	0	28	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	31	Sierra de Albarracín	Otros	1	14	997	71,21428571428571428571428571428571428571
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	31	Sierra de Albarracín	Otros	0	16	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	31	Sierra de Albarracín	Otros	1	13	392	30,15384615384615384615384615384615384615
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	32	Gúdar-Javalambre	Otros	0	52	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	32	Gúdar-Javalambre	Otros	1	13	1255	96,53846153846153846153846153846153846154
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	32	Gúdar-Javalambre	Otros	0	6	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	32	Gúdar-Javalambre	Otros	1	2	290	145
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	33	Matarraña / Matarranya	Otros	0	51	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	33	Matarraña / Matarranya	Otros	1	13	718	55,23076923076923076923076923076923076923
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	33	Matarraña / Matarranya	Otros	0	18	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	33	Matarraña / Matarranya	Otros	1	3	226	75,33333333333333333333333333333333333333
Abril 2020	202004	Abril	2020	Hombres	Temporal	01	La Jacetania	Otros	0	18	0	0
Abril 2020	202004	Abril	2020	Hombres	Temporal	01	La Jacetania	Otros	1	11	1054	95,81818181818181818181818181818181818182
Abril 2020	202004	Abril	2020	Mujeres	Temporal	01	La Jacetania	Otros	0	7	0	0
Abril 2020	202004	Abril	2020	Mujeres	Temporal	01	La Jacetania	Otros	1	21	1074	51,14285714285714285714285714285714285714
Abril 2020	202004	Abril	2020	Hombres	Temporal	02	Alto Gállego	A través de una ETT	0	1	0	0
Abril 2020	202004	Abril	2020	Mujeres	Temporal	02	Alto Gállego	A través de una ETT	0	2	0	0
Abril 2020	202004	Abril	2020	Hombres	Temporal	02	Alto Gállego	Otros	0	19	0	0
Abril 2020	202004	Abril	2020	Hombres	Temporal	02	Alto Gállego	Otros	1	18	1149	63,83333333333333333333333333333333333333
