Año	Grupo Antigüedad	Nº Accidentes	Ord_Temporalidad	Temporalidad	Código	Municipio
2020	De 7 a 9 meses	4	1	Indefinido	50252	Tauste
2020	De 7 a 9 meses	4	2	Temporal	50252	Tauste
2020	De 7 a 9 meses	1	1	Indefinido	50272	Utebo
2020	De 7 a 9 meses	5	2	Temporal	50272	Utebo
2020	De 7 a 9 meses	119	1	Indefinido	50297	Zaragoza
2020	De 7 a 9 meses	228	2	Temporal	50297	Zaragoza
2020	De 7 a 9 meses	12	3	Sin clasificar	50297	Zaragoza
2020	De 7 a 9 meses	10	1	Indefinido	50298	Zuera
2020	De 7 a 9 meses	9	2	Temporal	50298	Zuera
2020	De 10 a 12 meses	15	1	Indefinido	22048	Barbastro
2020	De 10 a 12 meses	11	2	Temporal	22048	Barbastro
2020	De 10 a 12 meses	30	1	Indefinido	22061	Binéfar
2020	De 10 a 12 meses	17	2	Temporal	22061	Binéfar
2020	De 10 a 12 meses	1	3	Sin clasificar	22061	Binéfar
2020	De 10 a 12 meses	7	1	Indefinido	22112	Fraga
2020	De 10 a 12 meses	9	2	Temporal	22112	Fraga
2020	De 10 a 12 meses	21	1	Indefinido	22125	Huesca
2020	De 10 a 12 meses	26	2	Temporal	22125	Huesca
2020	De 10 a 12 meses	1	3	Sin clasificar	22125	Huesca
2020	De 10 a 12 meses	3	1	Indefinido	22130	Jaca
2020	De 10 a 12 meses	3	2	Temporal	22130	Jaca
2020	De 10 a 12 meses	10	1	Indefinido	22158	Monzón
2020	De 10 a 12 meses	7	2	Temporal	22158	Monzón
2020	De 10 a 12 meses	2	3	Sin clasificar	22158	Monzón
2020	De 10 a 12 meses	2	1	Indefinido	22199	Sabiñánigo
2020	De 10 a 12 meses	3	2	Temporal	22199	Sabiñánigo
2020	De 10 a 12 meses	2	1	Indefinido	44013	Alcañiz
2020	De 10 a 12 meses	3	2	Temporal	44013	Alcañiz
2020	De 10 a 12 meses	14	1	Indefinido	44216	Teruel
2020	De 10 a 12 meses	10	2	Temporal	44216	Teruel
2020	De 10 a 12 meses	1	3	Sin clasificar	44216	Teruel
2020	De 10 a 12 meses	1	2	Temporal	50008	Alagón
2020	De 10 a 12 meses	1	1	Indefinido	50025	Almunia de Doña Godina (La)
2020	De 10 a 12 meses	3	2	Temporal	50025	Almunia de Doña Godina (La)
2020	De 10 a 12 meses	1	1	Indefinido	50067	Calatayud
2020	De 10 a 12 meses	6	2	Temporal	50067	Calatayud
2020	De 10 a 12 meses	2	1	Indefinido	50074	Caspe
2020	De 10 a 12 meses	2	2	Temporal	50074	Caspe
2020	De 10 a 12 meses	8	1	Indefinido	50089	Cuarte de Huerva
2020	De 10 a 12 meses	4	2	Temporal	50089	Cuarte de Huerva
2020	De 10 a 12 meses	5	1	Indefinido	50095	Ejea de los Caballeros
2020	De 10 a 12 meses	6	2	Temporal	50095	Ejea de los Caballeros
2020	De 10 a 12 meses	2	2	Temporal	50163	María de Huerva
2020	De 10 a 12 meses	2	1	Indefinido	50182	Muela (La)
2020	De 10 a 12 meses	6	2	Temporal	50182	Muela (La)
2020	De 10 a 12 meses	3	2	Temporal	50251	Tarazona
2020	De 10 a 12 meses	1	3	Sin clasificar	50251	Tarazona
2020	De 10 a 12 meses	7	1	Indefinido	50252	Tauste
2020	De 10 a 12 meses	4	2	Temporal	50252	Tauste
2020	De 10 a 12 meses	1	3	Sin clasificar	50252	Tauste
2020	De 10 a 12 meses	5	1	Indefinido	50272	Utebo
2020	De 10 a 12 meses	1	2	Temporal	50272	Utebo
2020	De 10 a 12 meses	143	1	Indefinido	50297	Zaragoza
2020	De 10 a 12 meses	145	2	Temporal	50297	Zaragoza
2020	De 10 a 12 meses	10	3	Sin clasificar	50297	Zaragoza
2020	De 10 a 12 meses	43	1	Indefinido	50298	Zuera
2020	De 10 a 12 meses	3	2	Temporal	50298	Zuera
2020	De 10 a 12 meses	1	3	Sin clasificar	50298	Zuera
2020	De 13 meses a 3 años	24	1	Indefinido	22048	Barbastro
2020	De 13 meses a 3 años	27	2	Temporal	22048	Barbastro
2020	De 13 meses a 3 años	1	3	Sin clasificar	22048	Barbastro
2020	De 13 meses a 3 años	38	1	Indefinido	22061	Binéfar
2020	De 13 meses a 3 años	8	2	Temporal	22061	Binéfar
2020	De 13 meses a 3 años	2	3	Sin clasificar	22061	Binéfar
2020	De 13 meses a 3 años	50	1	Indefinido	22112	Fraga
2020	De 13 meses a 3 años	10	2	Temporal	22112	Fraga
2020	De 13 meses a 3 años	1	3	Sin clasificar	22112	Fraga
2020	De 13 meses a 3 años	109	1	Indefinido	22125	Huesca
2020	De 13 meses a 3 años	58	2	Temporal	22125	Huesca
2020	De 13 meses a 3 años	6	3	Sin clasificar	22125	Huesca
2020	De 13 meses a 3 años	17	1	Indefinido	22130	Jaca
2020	De 13 meses a 3 años	2	2	Temporal	22130	Jaca
2020	De 13 meses a 3 años	1	3	Sin clasificar	22130	Jaca
2020	De 13 meses a 3 años	57	1	Indefinido	22158	Monzón
2020	De 13 meses a 3 años	20	2	Temporal	22158	Monzón
2020	De 13 meses a 3 años	1	3	Sin clasificar	22158	Monzón
2020	De 13 meses a 3 años	9	1	Indefinido	22199	Sabiñánigo
2020	De 13 meses a 3 años	3	2	Temporal	22199	Sabiñánigo
2020	De 13 meses a 3 años	17	1	Indefinido	44013	Alcañiz
2020	De 13 meses a 3 años	8	2	Temporal	44013	Alcañiz
2020	De 13 meses a 3 años	3	3	Sin clasificar	44013	Alcañiz
2020	De 13 meses a 3 años	7	1	Indefinido	44025	Andorra
2020	De 13 meses a 3 años	3	2	Temporal	44025	Andorra
2020	De 13 meses a 3 años	2	3	Sin clasificar	44025	Andorra
2020	De 13 meses a 3 años	65	1	Indefinido	44216	Teruel
2020	De 13 meses a 3 años	27	2	Temporal	44216	Teruel
2020	De 13 meses a 3 años	4	3	Sin clasificar	44216	Teruel
2020	De 13 meses a 3 años	11	1	Indefinido	50008	Alagón
2020	De 13 meses a 3 años	2	2	Temporal	50008	Alagón
2020	De 13 meses a 3 años	1	3	Sin clasificar	50008	Alagón
2020	De 13 meses a 3 años	9	1	Indefinido	50025	Almunia de Doña Godina (La)
2020	De 13 meses a 3 años	5	2	Temporal	50025	Almunia de Doña Godina (La)
2020	De 13 meses a 3 años	21	1	Indefinido	50067	Calatayud
2020	De 13 meses a 3 años	8	2	Temporal	50067	Calatayud
2020	De 13 meses a 3 años	3	3	Sin clasificar	50067	Calatayud
2020	De 13 meses a 3 años	11	1	Indefinido	50074	Caspe
2020	De 13 meses a 3 años	1	2	Temporal	50074	Caspe
2020	De 13 meses a 3 años	1	3	Sin clasificar	50074	Caspe
2020	De 13 meses a 3 años	33	1	Indefinido	50089	Cuarte de Huerva
2020	De 13 meses a 3 años	8	2	Temporal	50089	Cuarte de Huerva
2020	De 13 meses a 3 años	2	3	Sin clasificar	50089	Cuarte de Huerva
2020	De 13 meses a 3 años	59	1	Indefinido	50095	Ejea de los Caballeros
2020	De 13 meses a 3 años	16	2	Temporal	50095	Ejea de los Caballeros
2020	De 13 meses a 3 años	2	3	Sin clasificar	50095	Ejea de los Caballeros
2020	De 13 meses a 3 años	11	1	Indefinido	50163	María de Huerva
2020	De 13 meses a 3 años	2	3	Sin clasificar	50163	María de Huerva
2020	De 13 meses a 3 años	42	1	Indefinido	50182	Muela (La)
2020	De 13 meses a 3 años	4	2	Temporal	50182	Muela (La)
2020	De 13 meses a 3 años	2	3	Sin clasificar	50182	Muela (La)
2020	De 13 meses a 3 años	32	1	Indefinido	50219	Puebla de Alfindén (La)
2020	De 13 meses a 3 años	10	2	Temporal	50219	Puebla de Alfindén (La)
2020	De 13 meses a 3 años	3	3	Sin clasificar	50219	Puebla de Alfindén (La)
2020	De 13 meses a 3 años	13	1	Indefinido	50251	Tarazona
2020	De 13 meses a 3 años	5	2	Temporal	50251	Tarazona
2020	De 13 meses a 3 años	3	3	Sin clasificar	50251	Tarazona
2020	De 13 meses a 3 años	16	1	Indefinido	50252	Tauste
2020	De 13 meses a 3 años	4	2	Temporal	50252	Tauste
2020	De 13 meses a 3 años	1	3	Sin clasificar	50252	Tauste
2020	De 13 meses a 3 años	30	1	Indefinido	50272	Utebo
2020	De 13 meses a 3 años	2	2	Temporal	50272	Utebo
2020	De 13 meses a 3 años	2	3	Sin clasificar	50272	Utebo
2020	De 13 meses a 3 años	863	1	Indefinido	50297	Zaragoza
2020	De 13 meses a 3 años	327	2	Temporal	50297	Zaragoza
2020	De 13 meses a 3 años	62	3	Sin clasificar	50297	Zaragoza
2020	De 13 meses a 3 años	86	1	Indefinido	50298	Zuera
2020	De 13 meses a 3 años	7	2	Temporal	50298	Zuera
2020	De 13 meses a 3 años	1	3	Sin clasificar	50298	Zuera
2020	De 37 meses a 10 años	37	1	Indefinido	22048	Barbastro
2020	De 37 meses a 10 años	27	2	Temporal	22048	Barbastro
2020	De 37 meses a 10 años	4	3	Sin clasificar	22048	Barbastro
2020	De 37 meses a 10 años	33	1	Indefinido	22061	Binéfar
2020	De 37 meses a 10 años	1	2	Temporal	22061	Binéfar
2020	De 37 meses a 10 años	49	1	Indefinido	22112	Fraga
2020	De 37 meses a 10 años	3	2	Temporal	22112	Fraga
2020	De 37 meses a 10 años	1	3	Sin clasificar	22112	Fraga
2020	De 37 meses a 10 años	137	1	Indefinido	22125	Huesca
2020	De 37 meses a 10 años	36	2	Temporal	22125	Huesca
2020	De 37 meses a 10 años	16	3	Sin clasificar	22125	Huesca
2020	De 37 meses a 10 años	16	1	Indefinido	22130	Jaca
2020	De 37 meses a 10 años	2	2	Temporal	22130	Jaca
