Año	Municipio código	Municipio nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	22088	Castillazuelo	IAEST	Campings y áreas de acampada	0	0
2009	22088	Castillazuelo	IAEST	Hoteles, hostales y similares	10	1
2009	22088	Castillazuelo	IAEST	Viviendas de turismo rural	12	1
2009	22089	Castillonroy	IAEST	Apartamentos turísticos	0	0
2009	22089	Castillonroy	IAEST	Campings y áreas de acampada	0	0
2009	22089	Castillonroy	IAEST	Hoteles, hostales y similares	0	0
2009	22089	Castillonroy	IAEST	Viviendas de turismo rural	0	0
2009	22090	Colungo	IAEST	Apartamentos turísticos	22	3
2009	22090	Colungo	IAEST	Campings y áreas de acampada	0	0
2009	22090	Colungo	IAEST	Hoteles, hostales y similares	26	1
2009	22090	Colungo	IAEST	Viviendas de turismo rural	42	5
2009	22094	Chalamera	IAEST	Apartamentos turísticos	0	0
2009	22094	Chalamera	IAEST	Campings y áreas de acampada	0	0
2009	22094	Chalamera	IAEST	Hoteles, hostales y similares	0	0
2009	22094	Chalamera	IAEST	Viviendas de turismo rural	0	0
2009	22095	Chía	IAEST	Apartamentos turísticos	0	0
2009	22095	Chía	IAEST	Campings y áreas de acampada	0	0
2009	22095	Chía	IAEST	Hoteles, hostales y similares	0	0
2009	22095	Chía	IAEST	Viviendas de turismo rural	18	3
2009	22096	Chimillas	IAEST	Apartamentos turísticos	0	0
2009	22096	Chimillas	IAEST	Campings y áreas de acampada	0	0
2009	22096	Chimillas	IAEST	Hoteles, hostales y similares	0	0
2009	22096	Chimillas	IAEST	Viviendas de turismo rural	0	0
2009	22099	Esplús	IAEST	Apartamentos turísticos	0	0
2009	22099	Esplús	IAEST	Campings y áreas de acampada	0	0
2009	22099	Esplús	IAEST	Hoteles, hostales y similares	0	0
2009	22099	Esplús	IAEST	Viviendas de turismo rural	0	0
2009	22102	Estada	IAEST	Apartamentos turísticos	0	0
2009	22102	Estada	IAEST	Campings y áreas de acampada	0	0
2009	22102	Estada	IAEST	Hoteles, hostales y similares	0	0
2009	22102	Estada	IAEST	Viviendas de turismo rural	8	1
2009	22103	Estadilla	IAEST	Apartamentos turísticos	0	0
2009	22103	Estadilla	IAEST	Campings y áreas de acampada	0	0
2009	22103	Estadilla	IAEST	Hoteles, hostales y similares	12	1
2009	22103	Estadilla	IAEST	Viviendas de turismo rural	10	1
2009	22105	Estopiñán del Castillo	IAEST	Apartamentos turísticos	0	0
2009	22105	Estopiñán del Castillo	IAEST	Campings y áreas de acampada	0	0
2009	22105	Estopiñán del Castillo	IAEST	Hoteles, hostales y similares	33	2
2009	22105	Estopiñán del Castillo	IAEST	Viviendas de turismo rural	0	0
2009	22106	Fago	IAEST	Apartamentos turísticos	0	0
2009	22106	Fago	IAEST	Campings y áreas de acampada	0	0
2009	22106	Fago	IAEST	Hoteles, hostales y similares	0	0
2009	22106	Fago	IAEST	Viviendas de turismo rural	17	2
2009	22107	Fanlo	IAEST	Apartamentos turísticos	0	0
2009	22107	Fanlo	IAEST	Campings y áreas de acampada	0	0
2009	22107	Fanlo	IAEST	Hoteles, hostales y similares	49	2
2009	22107	Fanlo	IAEST	Viviendas de turismo rural	55	8
2009	22109	Fiscal	IAEST	Apartamentos turísticos	0	0
2009	22109	Fiscal	IAEST	Campings y áreas de acampada	736	2
2009	22109	Fiscal	IAEST	Hoteles, hostales y similares	89	4
2009	22109	Fiscal	IAEST	Viviendas de turismo rural	103	13
2009	22110	Fonz	IAEST	Apartamentos turísticos	0	0
