Municipio código	Municipio nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
22109	Fiscal	36	13420,3	5549,28	219,89
22110	Fonz	180	4971,41	4583,17	3511,52
22111	Foradada del Toscar	69	7455,45	4938,76	1209,37
22112	Fraga	831	39684,06	24921,7	19582,35
22113	Fueva (La)	128	7132,64	5345,41	2354,55
22114	Gistaín	34	7212,75	1955,8	64,21
22115	Grado (El)	104	2416,26	1563,48	1221,45
22116	Grañén	206	10455,87	9929,34	8652,13
22117	Graus	283	16385,54	10416,56	5264,9
22119	Gurrea de Gállego	211	14576,91	14184,48	12908,85
22122	Hoz de Jaca	5	1134,91	292,85	0,51
22124	Huerto	87	5662,66	5335,25	5081,39
22125	Huesca	316	15699,62	13619,9	11697,13
22126	Ibieca	23	1071,55	936,49	864,03
22127	Igriés	31	1713,93	1532,01	1354,07
22128	Ilche	88	4258,84	4130,83	3385,92
22129	Isábena	53	4229,39	3190,76	945,3
22130	Jaca	206	20984,71	12622,57	7470,17
22131	Jasa	6	114,8	57,77	5,08
22133	Labuerda	9	470,51	363,25	144,96
22135	Laluenga	58	3222,39	3136,5	2890,56
22136	Lalueza	196	8265,22	8029,98	7100,93
22137	Lanaja	234	12663,43	12357,82	10571,44
22139	Laperdiguera	21	869,13	863,07	756,75
22141	Lascellas-Ponzano	48	1967,65	1755,92	1639,56
22142	Lascuarre	29	1361,8	999,42	771,81
22143	Laspaúles	38	4176,62	3404,11	164,45
22144	Laspuña	32	4259,54	3772,79	202,72
22149	Loarre	81	6081,8	3188,59	2527,82
22150	Loporzano	116	12719,53	7664,88	5551,14
22151	Loscorrales	37	2260,31	2191,27	2072,73
22155	Monesma y Cajigar	32	4627,17	3052,73	1157,31
22156	Monflorite-Lascasas	45	2652,46	2551,67	2453,91
22157	Montanuy	98	7389,46	6027,26	852,57
22158	Monzón	477	12952,88	11882,88	9925,19
22160	Naval	38	1502,36	1034,42	668,45
22162	Novales	24	1413,11	1271,38	1233,88
22163	Nueno	68	7595,73	5151,9	1697,79
22164	Olvena	23	379,94	241,74	192,23
22165	Ontiñena	138	7332,76	7065,04	5483,79
22167	Osso de Cinca	124	2594,9	2429,03	1742,79
22168	Palo	12	414,03	331,93	252,69
22170	Panticosa	19	9212,92	5652,25	2,76
22172	Peñalba	137	10938,82	10716,16	9829,4
22173	Peñas de Riglos (Las)	50	6813,27	2691,88	1222,38
22174	Peralta de Alcofea	141	10995,82	10648,78	9669,09
22175	Peralta de Calasanz	106	4425,26	3189,34	2741,04
22176	Peraltilla	37	945,94	843,36	724,26
22177	Perarrúa	25	1522,94	877,93	333,23
22178	Pertusa	33	2560,06	2479,95	2227,21
22181	Piracés	25	1593,11	1415,32	1301,35
22182	Plan	40	4545,19	1285,45	92,75
22184	Poleñino	55	2691,09	2528,63	2423,67
22186	Pozán de Vero	60	1453,11	1272,35	1127,42
22187	Puebla de Castro (La)	40	1085,26	882,31	623,43
22188	Puente de Montañana	10	1340,45	917,53	420,58
22189	Puértolas	25	6897,94	1955,81	120,72
22190	Pueyo de Araguás (El)	36	4513,3	2273,89	591,94
22193	Pueyo de Santa Cruz	36	1007,41	883,03	592,19
22195	Quicena	15	546,01	502,36	476,6
22197	Robres	131	5614,05	5476,2	4032,54
22199	Sabiñánigo	170	19698,02	12840,28	4595,09
22200	Sahún	25	4647,23	1326,86	21,79
22201	Salas Altas	97	1211,64	1146,18	1143
22202	Salas Bajas	45	585,76	525,95	521,83
22203	Salillas	21	2413,4	2336,68	1773,19
