Comarca código	Comarca nombre	Año	Sistema de cultivo	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Eriales	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos	Total (A+B+C+D)
24	Campo de Daroca	2016	Secano	54346	39770	11775	2801	10825	0	2393	39637	19064	7155	13418	5422	8432	0	422	2903	2097	110230
25	Jiloca	2016	Regadío	5959	4795	1147	17	0	0	0	63	63	0	0	0	0	0	0	0	0	6022
25	Jiloca	2016	Secano	86119	56444	28572	1103	24457	0	8123	67210	20053	16176	30981	8192	16334	0	1498	5506	1188	185978
26	Cuencas Mineras	2016	Regadío	807	478	317	12	0	0	0	3	3	0	0	0	0	0	0	0	0	810
26	Cuencas Mineras	2016	Secano	30791	15797	14068	926	63977	0	48898	41138	23637	7096	10405	4051	15079	0	717	2355	979	139957
27	Andorra-Sierra de Arcos	2016	Regadío	342	191	66	85	0	0	0	36	36	0	0	0	0	0	0	0	0	378
27	Andorra-Sierra de Arcos	2016	Secano	15804	6614	6535	2655	28978	0	16409	17893	13378	4515	0	4457	12569	0	2139	1921	397	67132
28	Bajo Aragón	2016	Regadío	9528	5418	508	3602	0	0	0	49	49	0	0	0	0	0	0	0	0	9577
28	Bajo Aragón	2016	Secano	43407	12607	13835	16965	45923	0	19980	25135	16156	8979	0	6378	25943	0	1757	3214	1407	120843
29	Comunidad de Teruel	2016	Regadío	7603	5828	1724	51	0	0	0	140	140	0	0	0	0	0	0	0	0	7743
29	Comunidad de Teruel	2016	Secano	90503	51669	38320	514	96825	106	39701	72092	24854	29204	18034	12037	57018	0	1660	7202	3175	271457
30	Maestrazgo	2016	Regadío	416	261	41	114	0	0	0	1	1	0	0	0	0	0	0	0	0	417
30	Maestrazgo	2016	Secano	8008	4469	2769	770	70033	1738	44963	37559	26887	10672	0	4413	23332	0	503	2517	1393	120013
31	Sierra de Albarracín	2016	Regadío	304	274	30	0	10	10	0	5	5	0	0	0	0	0	0	0	0	319
31	Sierra de Albarracín	2016	Secano	14692	7791	6898	3	46030	687	29042	77660	40586	37074	0	2699	16301	0	326	1877	496	141081
32	Gúdar-Javalambre	2016	Regadío	828	486	325	17	137	137	0	26	26	0	0	0	0	0	0	0	0	991
32	Gúdar-Javalambre	2016	Secano	14560	7384	6826	350	79682	1561	48917	130777	72166	58111	500	10400	29204	0	878	7381	2141	235419
33	Matarraña / Matarranya	2016	Regadío	720	119	106	495	0	0	0	8	8	0	0	0	0	0	0	0	0	728
33	Matarraña / Matarranya	2016	Secano	23819	3149	2060	18610	14772	0	898	50806	41287	8562	957	3175	13874	0	590	1605	980	92572
01	La Jacetania	2015	Regadío	1454	1363	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1454
01	La Jacetania	2015	Secano	21801	18921	2805	75	6711	1568	2150	139325	83100	14358	41867	16474	2993	0	8609	3171	4694	184311
02	Alto Gállego	2015	Regadío	957	901	29	27	0	0	0	2	2	0	0	0	0	0	0	0	0	959
02	Alto Gállego	2015	Secano	7323	6103	1216	4	1996	1996	0	111492	67983	6299	37210	14211	0	0	9398	2408	2405	135022
03	Sobrarbe	2015	Regadío	1614	1554	58	2	20	20	0	1	1	0	0	0	0	0	0	0	0	1635
03	Sobrarbe	2015	Secano	12231	10759	1134	338	5579	3473	27	176161	99484	16916	59761	24614	2079	0	16458	2078	6078	218585
04	La Ribagorza	2015	Regadío	1267	1075	185	7	2	2	0	4	4	0	0	0	0	0	0	0	0	1273
04	La Ribagorza	2015	Secano	30048	26047	3003	998	6597	6433	130	185918	87596	36569	61753	22201	34	0	13203	3406	5592	244764
05	Cinco Villas	2015	Regadío	72617	68018	3321	1278	0	0	0	107	107	0	0	0	0	0	0	0	0	72724
05	Cinco Villas	2015	Secano	73251	53380	18564	1307	50858	0	9247	94547	66221	7937	20389	17953	41611	0	2942	8124	6887	236609
06	Hoya de Huesca / Plana de Uesca	2015	Regadío	24227	21368	1767	1092	0	0	0	16	16	0	0	0	0	0	0	0	0	24243
06	Hoya de Huesca / Plana de Uesca	2015	Secano	100385	84487	10222	5676	41879	0	890	71944	50287	10115	11542	14105	40989	0	3496	6608	4001	228313
07	Somontano de Barbastro	2015	Regadío	16484	13311	1659	1514	0	0	0	25	25	0	0	0	0	0	0	0	0	16509
07	Somontano de Barbastro	2015	Secano	36226	23081	5569	7576	21510	0	445	35476	18184	10306	6986	6952	21065	0	998	3323	2631	100164
08	Cinca Medio	2015	Regadío	33866	27752	3408	2706	0	0	0	62	62	0	0	0	0	0	0	0	0	33928
08	Cinca Medio	2015	Secano	5708	3262	2091	355	6590	0	933	5938	1259	582	4097	5499	5657	0	840	2244	2415	23735
09	La Litera / La Llitera	2015	Regadío	26745	22564	2452	1729	0	0	0	2	2	0	0	0	0	0	0	0	0	26747
09	La Litera / La Llitera	2015	Secano	16556	12274	2700	1582	8444	0	117	17190	7400	7018	2772	4449	8327	0	1388	1967	1094	46639
10	Los Monegros	2015	Regadío	76687	70120	5661	906	0	0	0	251	251	0	0	0	0	0	0	0	0	76938
10	Los Monegros	2015	Secano	104942	60764	42899	1279	52996	0	21829	26403	20232	3627	2544	15253	31167	0	2475	8308	4470	199594
11	Bajo Cinca / Baix Cinca	2015	Regadío	33589	15391	4104	14094	0	0	0	23	23	0	0	0	0	0	0	0	0	33612
11	Bajo Cinca / Baix Cinca	2015	Secano	38543	16132	19609	2802	29896	0	10575	29718	13996	15722	0	10464	19321	0	1564	4196	4704	108621
12	Tarazona y el Moncayo	2015	Regadío	4461	2868	799	794	0	0	0	51	51	0	0	0	0	0	0	0	0	4512
12	Tarazona y el Moncayo	2015	Secano	8437	3897	3776	764	17086	0	6911	12841	8612	1079	3150	2342	10175	0	565	1349	428	40706
13	Campo de Borja	2015	Regadío	10472	5130	1063	4279	0	0	0	13	13	0	0	0	0	0	0	0	0	10485
13	Campo de Borja	2015	Secano	23972	7570	8070	8332	20532	0	9072	10212	6027	4185	0	3877	11460	0	757	1887	1233	58593
14	Aranda	2015	Regadío	338	91	25	222	0	0	0	4	4	0	0	0	0	0	0	0	0	342
14	Aranda	2015	Secano	6456	2312	1526	2618	23831	0	10469	23759	10044	4793	8922	1712	13362	0	190	945	577	55758
15	Ribera Alta del Ebro	2015	Regadío	15153	13639	846	668	0	0	0	211	211	0	0	0	0	0	0	0	0	15364
