Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Area nacionalidad	Nivel estudios (agregado)	Grado de formación
10	Los Monegros	Europa	01	UE-15	Segundo grado	18
10	Los Monegros	Europa	01	UE-15	Tercer grado	9
10	Los Monegros	Europa	02	Resto de Europa	Analfabetos	8
10	Los Monegros	Europa	02	Resto de Europa	Sin estudios	17
10	Los Monegros	Europa	02	Resto de Europa	Primer grado	26
10	Los Monegros	Europa	02	Resto de Europa	Segundo grado	67
10	Los Monegros	Europa	02	Resto de Europa	Tercer grado	9
10	Los Monegros	África	03	Magreb	Analfabetos	20
10	Los Monegros	África	03	Magreb	Sin estudios	24
10	Los Monegros	África	03	Magreb	Primer grado	31
10	Los Monegros	África	03	Magreb	Segundo grado	16
10	Los Monegros	África	03	Magreb	Tercer grado	1
10	Los Monegros	África	04	Resto de África	Analfabetos	1
10	Los Monegros	África	04	Resto de África	Sin estudios	8
10	Los Monegros	África	04	Resto de África	Primer grado	8
10	Los Monegros	África	04	Resto de África	Segundo grado	10
10	Los Monegros	América	05	América del Norte	Sin estudios	1
10	Los Monegros	América	05	América del Norte	Primer grado	2
10	Los Monegros	América	05	América del Norte	Segundo grado	3
10	Los Monegros	América	05	América del Norte	Tercer grado	1
10	Los Monegros	América	06	Resto de América	Analfabetos	6
10	Los Monegros	América	06	Resto de América	Sin estudios	20
10	Los Monegros	América	06	Resto de América	Primer grado	34
10	Los Monegros	América	06	Resto de América	Segundo grado	61
10	Los Monegros	América	06	Resto de América	Tercer grado	6
11	Bajo Cinca / Baix Cinca	Europa	01	UE-15	Sin estudios	1
11	Bajo Cinca / Baix Cinca	Europa	01	UE-15	Primer grado	5
11	Bajo Cinca / Baix Cinca	Europa	01	UE-15	Segundo grado	13
11	Bajo Cinca / Baix Cinca	Europa	01	UE-15	Tercer grado	2
11	Bajo Cinca / Baix Cinca	Europa	02	Resto de Europa	Analfabetos	14
11	Bajo Cinca / Baix Cinca	Europa	02	Resto de Europa	Sin estudios	27
11	Bajo Cinca / Baix Cinca	Europa	02	Resto de Europa	Primer grado	59
11	Bajo Cinca / Baix Cinca	Europa	02	Resto de Europa	Segundo grado	156
11	Bajo Cinca / Baix Cinca	Europa	02	Resto de Europa	Tercer grado	7
11	Bajo Cinca / Baix Cinca	África	03	Magreb	Analfabetos	30
11	Bajo Cinca / Baix Cinca	África	03	Magreb	Sin estudios	63
11	Bajo Cinca / Baix Cinca	África	03	Magreb	Primer grado	99
11	Bajo Cinca / Baix Cinca	África	03	Magreb	Segundo grado	172
11	Bajo Cinca / Baix Cinca	África	03	Magreb	Tercer grado	6
11	Bajo Cinca / Baix Cinca	África	04	Resto de África	Analfabetos	45
11	Bajo Cinca / Baix Cinca	África	04	Resto de África	Sin estudios	22
11	Bajo Cinca / Baix Cinca	África	04	Resto de África	Primer grado	17
11	Bajo Cinca / Baix Cinca	África	04	Resto de África	Segundo grado	20
11	Bajo Cinca / Baix Cinca	África	04	Resto de África	Tercer grado	1
11	Bajo Cinca / Baix Cinca	América	05	América del Norte	Analfabetos	1
11	Bajo Cinca / Baix Cinca	América	05	América del Norte	Sin estudios	3
11	Bajo Cinca / Baix Cinca	América	05	América del Norte	Segundo grado	2
11	Bajo Cinca / Baix Cinca	América	06	Resto de América	Analfabetos	15
11	Bajo Cinca / Baix Cinca	América	06	Resto de América	Sin estudios	5
11	Bajo Cinca / Baix Cinca	América	06	Resto de América	Primer grado	18
11	Bajo Cinca / Baix Cinca	América	06	Resto de América	Segundo grado	59
11	Bajo Cinca / Baix Cinca	América	06	Resto de América	Tercer grado	1
11	Bajo Cinca / Baix Cinca	Asia	07	Asia	Sin estudios	1
11	Bajo Cinca / Baix Cinca	Asia	07	Asia	Primer grado	4
11	Bajo Cinca / Baix Cinca	Asia	07	Asia	Segundo grado	3
12	Tarazona y el Moncayo	Europa	01	UE-15	Sin estudios	2
12	Tarazona y el Moncayo	Europa	01	UE-15	Segundo grado	6
12	Tarazona y el Moncayo	Europa	01	UE-15	Tercer grado	3
12	Tarazona y el Moncayo	Europa	02	Resto de Europa	Primer grado	5
12	Tarazona y el Moncayo	Europa	02	Resto de Europa	Segundo grado	15
12	Tarazona y el Moncayo	Europa	02	Resto de Europa	Tercer grado	1
12	Tarazona y el Moncayo	África	03	Magreb	Analfabetos	9
12	Tarazona y el Moncayo	África	03	Magreb	Sin estudios	12
12	Tarazona y el Moncayo	África	03	Magreb	Primer grado	30
12	Tarazona y el Moncayo	África	03	Magreb	Segundo grado	22
12	Tarazona y el Moncayo	África	03	Magreb	Tercer grado	3
12	Tarazona y el Moncayo	África	04	Resto de África	Sin estudios	1
12	Tarazona y el Moncayo	África	04	Resto de África	Primer grado	1
12	Tarazona y el Moncayo	África	04	Resto de África	Segundo grado	2
12	Tarazona y el Moncayo	América	06	Resto de América	Analfabetos	8
12	Tarazona y el Moncayo	América	06	Resto de América	Sin estudios	18
12	Tarazona y el Moncayo	América	06	Resto de América	Primer grado	43
12	Tarazona y el Moncayo	América	06	Resto de América	Segundo grado	82
12	Tarazona y el Moncayo	América	06	Resto de América	Tercer grado	21
12	Tarazona y el Moncayo	Asia	07	Asia	Analfabetos	2
12	Tarazona y el Moncayo	Asia	07	Asia	Sin estudios	1
12	Tarazona y el Moncayo	Asia	07	Asia	Segundo grado	2
12	Tarazona y el Moncayo	Asia	07	Asia	Tercer grado	1
13	Campo de Borja	Europa	01	UE-15	Analfabetos	3
13	Campo de Borja	Europa	01	UE-15	Primer grado	5
13	Campo de Borja	Europa	01	UE-15	Segundo grado	18
13	Campo de Borja	Europa	01	UE-15	Tercer grado	9
13	Campo de Borja	Europa	02	Resto de Europa	Analfabetos	19
13	Campo de Borja	Europa	02	Resto de Europa	Sin estudios	18
13	Campo de Borja	Europa	02	Resto de Europa	Primer grado	50
13	Campo de Borja	Europa	02	Resto de Europa	Segundo grado	132
13	Campo de Borja	Europa	02	Resto de Europa	Tercer grado	14
13	Campo de Borja	África	03	Magreb	Analfabetos	17
13	Campo de Borja	África	03	Magreb	Sin estudios	13
13	Campo de Borja	África	03	Magreb	Primer grado	25
13	Campo de Borja	África	03	Magreb	Segundo grado	62
13	Campo de Borja	África	03	Magreb	Tercer grado	10
13	Campo de Borja	África	04	Resto de África	Primer grado	1
13	Campo de Borja	América	06	Resto de América	Analfabetos	4
13	Campo de Borja	América	06	Resto de América	Sin estudios	7
13	Campo de Borja	América	06	Resto de América	Primer grado	17
13	Campo de Borja	América	06	Resto de América	Segundo grado	27
13	Campo de Borja	América	06	Resto de América	Tercer grado	7
14	Aranda	Europa	01	UE-15	Primer grado	3
14	Aranda	Europa	01	UE-15	Segundo grado	1
14	Aranda	Europa	01	UE-15	Tercer grado	1
14	Aranda	Europa	02	Resto de Europa	Analfabetos	2
14	Aranda	Europa	02	Resto de Europa	Sin estudios	12
14	Aranda	Europa	02	Resto de Europa	Primer grado	10
14	Aranda	Europa	02	Resto de Europa	Segundo grado	25
14	Aranda	África	03	Magreb	Analfabetos	12
14	Aranda	África	03	Magreb	Sin estudios	24
14	Aranda	África	03	Magreb	Primer grado	28
14	Aranda	África	03	Magreb	Segundo grado	28
14	Aranda	África	03	Magreb	Tercer grado	4
14	Aranda	América	05	América del Norte	Primer grado	1
14	Aranda	América	06	Resto de América	Analfabetos	3
14	Aranda	América	06	Resto de América	Sin estudios	7
14	Aranda	América	06	Resto de América	Primer grado	15
14	Aranda	América	06	Resto de América	Segundo grado	27
14	Aranda	América	06	Resto de América	Tercer grado	6
15	Ribera Alta del Ebro	Europa	01	UE-15	Analfabetos	2
15	Ribera Alta del Ebro	Europa	01	UE-15	Sin estudios	8
15	Ribera Alta del Ebro	Europa	01	UE-15	Primer grado	18
15	Ribera Alta del Ebro	Europa	01	UE-15	Segundo grado	31
15	Ribera Alta del Ebro	Europa	01	UE-15	Tercer grado	7
