Comarca codigo	Comarca nombre	Nivel estudios, código	Nivel estudios	Sexo, código	Sexo	Personas
31	Sierra de Albarracín	12	Doctorado y Máster	1	Hombre	3,1893831481
32	Gúdar-Javalambre	12	Doctorado y Máster	1	Hombre	3,5435813991
33	Matarraña / Matarranya	12	Doctorado y Máster	1	Hombre	3,7410804635
01	La Jacetania	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1802,1091409409
02	Alto Gállego	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1503,5620311436
03	Sobrarbe	4	ESO, EGB, Bachillerato Elemental	6	Mujer	833,5110049683
04	La Ribagorza	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1284,468146253
05	Cinco Villas	4	ESO, EGB, Bachillerato Elemental	6	Mujer	4018,6267407785
06	Hoya de Huesca / Plana de Uesca	4	ESO, EGB, Bachillerato Elemental	6	Mujer	6469,89046784
07	Somontano de Barbastro	4	ESO, EGB, Bachillerato Elemental	6	Mujer	2548,3899830013
08	Cinca Medio	4	ESO, EGB, Bachillerato Elemental	6	Mujer	2844,3395401627
09	La Litera / La Llitera	4	ESO, EGB, Bachillerato Elemental	6	Mujer	2200,4215332559
10	Los Monegros	4	ESO, EGB, Bachillerato Elemental	6	Mujer	2472,1298056102
11	Bajo Cinca / Baix Cinca	4	ESO, EGB, Bachillerato Elemental	6	Mujer	2804,3255710459
12	Tarazona y el Moncayo	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1780,5139175626
13	Campo de Borja	4	ESO, EGB, Bachillerato Elemental	6	Mujer	2199,891244272
14	Aranda	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1236,7954579764
15	Ribera Alta del Ebro	4	ESO, EGB, Bachillerato Elemental	6	Mujer	3376,1136823811
16	Valdejalón	4	ESO, EGB, Bachillerato Elemental	6	Mujer	3574,7453942904
17	D.C. Zaragoza	4	ESO, EGB, Bachillerato Elemental	6	Mujer	78119,0502760958
18	Ribera Baja del Ebro	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1223,6374763636
19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1913,3731038924
20	Comunidad de Calatayud	4	ESO, EGB, Bachillerato Elemental	6	Mujer	5107,5361082006
21	Campo de Cariñena	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1393,2267287191
22	Campo de Belchite	4	ESO, EGB, Bachillerato Elemental	6	Mujer	811,5810733017
23	Bajo Martín	4	ESO, EGB, Bachillerato Elemental	6	Mujer	924,7935706322
24	Campo de Daroca	4	ESO, EGB, Bachillerato Elemental	6	Mujer	711,9304100772
25	Jiloca	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1747,8777923366
26	Cuencas Mineras	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1199,7212795119
27	Andorra-Sierra de Arcos	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1544,7953427706
28	Bajo Aragón	4	ESO, EGB, Bachillerato Elemental	6	Mujer	3808,2588532757
29	Comunidad de Teruel	4	ESO, EGB, Bachillerato Elemental	6	Mujer	5156,8988258969
30	Maestrazgo	4	ESO, EGB, Bachillerato Elemental	6	Mujer	469,0038925642
31	Sierra de Albarracín	4	ESO, EGB, Bachillerato Elemental	6	Mujer	630,8967225718
32	Gúdar-Javalambre	4	ESO, EGB, Bachillerato Elemental	6	Mujer	893,7671252887
33	Matarraña / Matarranya	4	ESO, EGB, Bachillerato Elemental	6	Mujer	1210,760626616
01	La Jacetania	5	Bachillerato Superior	6	Mujer	1026,0419548844
02	Alto Gállego	5	Bachillerato Superior	6	Mujer	705,2336768021
03	Sobrarbe	5	Bachillerato Superior	6	Mujer	351,1711283969
04	La Ribagorza	5	Bachillerato Superior	6	Mujer	623,2139055443
05	Cinco Villas	5	Bachillerato Superior	6	Mujer	1006,6549190989
06	Hoya de Huesca / Plana de Uesca	5	Bachillerato Superior	6	Mujer	3034,3958022656
07	Somontano de Barbastro	5	Bachillerato Superior	6	Mujer	860,9405040287
08	Cinca Medio	5	Bachillerato Superior	6	Mujer	834,5747870177
09	La Litera / La Llitera	5	Bachillerato Superior	6	Mujer	634,6194569012
10	Los Monegros	5	Bachillerato Superior	6	Mujer	653,6472830349
11	Bajo Cinca / Baix Cinca	5	Bachillerato Superior	6	Mujer	821,8506205381
12	Tarazona y el Moncayo	5	Bachillerato Superior	6	Mujer	537,3361152543
