Municipio codigo	Municipio nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
44093	Cuevas de Almudén	Destinado principal o exclusivamente a viviendas	1	66
44094	Cuevas Labradas	Destinado principal o exclusivamente a viviendas	1	101
44096	Ejulve	Destinado principal o exclusivamente a viviendas	1	175
44097	Escorihuela	Destinado principal o exclusivamente a viviendas	1	176
44099	Escucha	Destinado principal o exclusivamente a viviendas	1	295
44100	Estercuel	Destinado principal o exclusivamente a viviendas	1	296
44101	Ferreruela de Huerva	Destinado principal o exclusivamente a viviendas	1	79
44102	Fonfría	Destinado principal o exclusivamente a viviendas	1	46
44103	Formiche Alto	Destinado principal o exclusivamente a viviendas	1	211
44105	Fórnoles	Destinado principal o exclusivamente a viviendas	1	157
44106	Fortanete	Destinado principal o exclusivamente a viviendas	1	253
44107	Foz-Calanda	Destinado principal o exclusivamente a viviendas	1	208
44108	Fresneda (La)	Destinado principal o exclusivamente a viviendas	1	527
44109	Frías de Albarracín	Destinado principal o exclusivamente a viviendas	1	211
44110	Fuenferrada	Destinado principal o exclusivamente a viviendas	1	94
44111	Fuentes Calientes	Destinado principal o exclusivamente a viviendas	1	99
44112	Fuentes Claras	Destinado principal o exclusivamente a viviendas	1	411
44113	Fuentes de Rubielos	Destinado principal o exclusivamente a viviendas	1	158
44114	Fuentespalda	Destinado principal o exclusivamente a viviendas	1	229
44115	Galve	Destinado principal o exclusivamente a viviendas	1	89
44116	Gargallo	Destinado principal o exclusivamente a viviendas	1	142
44117	Gea de Albarracín	Destinado principal o exclusivamente a viviendas	1	365
44118	Ginebrosa (La)	Destinado principal o exclusivamente a viviendas	1	315
44119	Griegos	Destinado principal o exclusivamente a viviendas	1	172
44120	Guadalaviar	Destinado principal o exclusivamente a viviendas	1	175
44121	Gúdar	Destinado principal o exclusivamente a viviendas	1	106
44122	Híjar	Destinado principal o exclusivamente a viviendas	1	936
44123	Hinojosa de Jarque	Destinado principal o exclusivamente a viviendas	1	115
44124	Hoz de la Vieja (La)	Destinado principal o exclusivamente a viviendas	1	259
44125	Huesa del Común	Destinado principal o exclusivamente a viviendas	1	209
44126	Iglesuela del Cid (La)	Destinado principal o exclusivamente a viviendas	1	338
44127	Jabaloyas	Destinado principal o exclusivamente a viviendas	1	155
44128	Jarque de la Val	Destinado principal o exclusivamente a viviendas	1	77
44129	Jatiel	Destinado principal o exclusivamente a viviendas	1	63
44130	Jorcas	Destinado principal o exclusivamente a viviendas	1	90
44131	Josa	Destinado principal o exclusivamente a viviendas	1	129
44132	Lagueruela	Destinado principal o exclusivamente a viviendas	1	85
44133	Lanzuela	Destinado principal o exclusivamente a viviendas	1	38
44135	Libros	Destinado principal o exclusivamente a viviendas	1	182
44136	Lidón	Destinado principal o exclusivamente a viviendas	1	76
44137	Linares de Mora	Destinado principal o exclusivamente a viviendas	1	310
44138	Loscos	Destinado principal o exclusivamente a viviendas	1	225
44141	Lledó	Destinado principal o exclusivamente a viviendas	1	123
44142	Maicas	Destinado principal o exclusivamente a viviendas	1	78
44143	Manzanera	Destinado principal o exclusivamente a viviendas	1	885
44144	Martín del Río	Destinado principal o exclusivamente a viviendas	1	279
44145	Mas de las Matas	Destinado principal o exclusivamente a viviendas	1	774
44146	Mata de los Olmos (La)	Destinado principal o exclusivamente a viviendas	1	151
44147	Mazaleón	Destinado principal o exclusivamente a viviendas	1	411
44148	Mezquita de Jarque	Destinado principal o exclusivamente a viviendas	1	97
44149	Mirambel	Destinado principal o exclusivamente a viviendas	1	165
44150	Miravete de la Sierra	Destinado principal o exclusivamente a viviendas	1	80
44151	Molinos	Destinado principal o exclusivamente a viviendas	1	303
44152	Monforte de Moyuela	Destinado principal o exclusivamente a viviendas	1	128
44153	Monreal del Campo	Destinado principal o exclusivamente a viviendas	1	1264
44154	Monroyo	Destinado principal o exclusivamente a viviendas	1	241
