Mes (código)	Mes y año	Dirección provincial (código)	Sector código	Sector descripción	Número Empresas	Régimen	Dirección provincial nombre
201509	Septiembre 2015	22	1	Agricultura, ganadería y pesca	1347	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201509	Septiembre 2015	22	2	Industria y energía	826	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201509	Septiembre 2015	22	3	Construcción	901	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201509	Septiembre 2015	22	4	Servicios	5461	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201509	Septiembre 2015	44	1	Agricultura, ganadería y pesca	579	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201509	Septiembre 2015	44	2	Industria y energía	523	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201509	Septiembre 2015	44	3	Construcción	642	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201509	Septiembre 2015	44	4	Servicios	2902	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201509	Septiembre 2015	50	1	Agricultura, ganadería y pesca	1869	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201509	Septiembre 2015	50	2	Industria y energía	3049	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201509	Septiembre 2015	50	3	Construcción	2279	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201509	Septiembre 2015	50	4	Servicios	21302	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201509	Septiembre 2015	50		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201506	Junio 2015	22	1	Agricultura, ganadería y pesca	1691	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201506	Junio 2015	22	2	Industria y energía	833	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201506	Junio 2015	22	3	Construcción	908	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201506	Junio 2015	22	4	Servicios	5544	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201506	Junio 2015	44	1	Agricultura, ganadería y pesca	625	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201506	Junio 2015	44	2	Industria y energía	530	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201506	Junio 2015	44	3	Construcción	653	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201506	Junio 2015	44	4	Servicios	2933	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201506	Junio 2015	50	1	Agricultura, ganadería y pesca	2008	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201506	Junio 2015	50	2	Industria y energía	3052	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201506	Junio 2015	50	3	Construcción	2261	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201506	Junio 2015	50	4	Servicios	21490	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201506	Junio 2015	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201503	Marzo 2015	22	1	Agricultura, ganadería y pesca	1306	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201503	Marzo 2015	22	2	Industria y energía	825	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201503	Marzo 2015	22	3	Construcción	858	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201503	Marzo 2015	22	4	Servicios	5520	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201503	Marzo 2015	44	1	Agricultura, ganadería y pesca	543	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201503	Marzo 2015	44	2	Industria y energía	514	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201503	Marzo 2015	44	3	Construcción	583	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201503	Marzo 2015	44	4	Servicios	2874	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201503	Marzo 2015	50	1	Agricultura, ganadería y pesca	1568	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201503	Marzo 2015	50	2	Industria y energía	3036	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201503	Marzo 2015	50	3	Construcción	2198	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201503	Marzo 2015	50	4	Servicios	21416	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201503	Marzo 2015	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201412	Diciembre 2014	22	1	Agricultura, ganadería y pesca	1338	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201412	Diciembre 2014	22	2	Industria y energía	816	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201412	Diciembre 2014	22	3	Construcción	830	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201412	Diciembre 2014	22	4	Servicios	5523	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201412	Diciembre 2014	44	1	Agricultura, ganadería y pesca	548	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201412	Diciembre 2014	44	2	Industria y energía	519	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201412	Diciembre 2014	44	3	Construcción	579	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201412	Diciembre 2014	44	4	Servicios	2889	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201412	Diciembre 2014	50	1	Agricultura, ganadería y pesca	1609	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201412	Diciembre 2014	50	2	Industria y energía	3037	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201412	Diciembre 2014	50	3	Construcción	2156	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201412	Diciembre 2014	50	4	Servicios	21538	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201412	Diciembre 2014	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201409	Septiembre 2014	22	1	Agricultura, ganadería y pesca	1302	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201409	Septiembre 2014	22	2	Industria y energía	821	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201409	Septiembre 2014	22	3	Construcción	894	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201409	Septiembre 2014	22	4	Servicios	5378	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
