Año	Comarca código	Comarca nombre	Rama código	Rama descripción	VAB
2009	22	Campo de Belchite	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	1552,4
2009	22	Campo de Belchite	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	11384,5
2009	22	Campo de Belchite	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	1358,3
2009	23	Bajo Martín	A	Agricultura, ganadería, silvicultura y pesca	12506,6
2009	23	Bajo Martín	B+E	Extractivas; Energía y Agua	58128,3
2009	23	Bajo Martín	C	Industria manufacturera	34166,2
2009	23	Bajo Martín	F	Construcción	24430,2
2009	23	Bajo Martín	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	27704,4
2009	23	Bajo Martín	J	Información y comunicaciones	473,8
2009	23	Bajo Martín	K	Actividades financieras y de seguros	742,9
2009	23	Bajo Martín	L	Actividades inmobiliarias	1640,5
2009	23	Bajo Martín	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	3698,2
2009	23	Bajo Martín	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	11954
2009	23	Bajo Martín	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	5689,5
2009	24	Campo de Daroca	A	Agricultura, ganadería, silvicultura y pesca	43093,9
2009	24	Campo de Daroca	B+E	Extractivas; Energía y Agua	2026,4
2009	24	Campo de Daroca	C	Industria manufacturera	11979,8
2009	24	Campo de Daroca	F	Construcción	13240,3
2009	24	Campo de Daroca	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	16440
2009	24	Campo de Daroca	J	Información y comunicaciones	305,7
2009	24	Campo de Daroca	K	Actividades financieras y de seguros	1567,5
2009	24	Campo de Daroca	L	Actividades inmobiliarias	1935
2009	24	Campo de Daroca	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	1853,8
2009	24	Campo de Daroca	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	30441
2009	24	Campo de Daroca	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	1420,9
2009	25	Jiloca	A	Agricultura, ganadería, silvicultura y pesca	22862,6
2009	25	Jiloca	B+E	Extractivas; Energía y Agua	14085,5
2009	25	Jiloca	C	Industria manufacturera	38862,7
2009	25	Jiloca	F	Construcción	42866,7
2009	25	Jiloca	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	44255,6
2009	25	Jiloca	J	Información y comunicaciones	815,4
2009	25	Jiloca	K	Actividades financieras y de seguros	2253
2009	25	Jiloca	L	Actividades inmobiliarias	4071,7
2009	25	Jiloca	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	9021,5
2009	25	Jiloca	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	26020,5
2009	25	Jiloca	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	10721
2009	26	Cuencas Mineras	A	Agricultura, ganadería, silvicultura y pesca	7813,4
2009	26	Cuencas Mineras	B+E	Extractivas; Energía y Agua	29854,3
2009	26	Cuencas Mineras	C	Industria manufacturera	40059,6
2009	26	Cuencas Mineras	F	Construcción	23860
