Municipio codigo	Municipio nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
22028	Ansó	4	De 65 y más	1	Hombre	68,6085748193	68,6085748193	0
22028	Ansó	5	De 65 y más	1	Hombre	10,3429811808	10,3429811808	0
22029	Antillón	0	Menor de 16	1	Hombre	6,447575471	6,447575471	0
22029	Antillón	1	De 16 a 25	1	Hombre	8,4165874189	7,41149632	1,0050910989
22029	Antillón	2	De 26 a 45	1	Hombre	14,6100179676	14,6100179676	0
22029	Antillón	3	De 46 a 64	1	Hombre	22,3001060271	22,3001060271	0
22029	Antillón	4	De 65 y más	1	Hombre	17,4319982161	17,4319982161	0
22029	Antillón	5	De 65 y más	1	Hombre	3,7937148985	3,7937148985	0
22032	Aragüés del Puerto	0	Menor de 16	1	Hombre	4,1578272824	4,1578272824	0
22032	Aragüés del Puerto	1	De 16 a 25	1	Hombre	4,1637974124	4,1637974124	0
22032	Aragüés del Puerto	2	De 26 a 45	1	Hombre	27,2408804116	27,2408804116	0
22032	Aragüés del Puerto	3	De 46 a 64	1	Hombre	14,8189000314	14,8189000314	0
22032	Aragüés del Puerto	4	De 65 y más	1	Hombre	18,5243289017	18,5243289017	0
22032	Aragüés del Puerto	5	De 65 y más	1	Hombre	4,3060311799	4,3060311799	0
22035	Arén	0	Menor de 16	1	Hombre	14,4046339988	13,4263538279	0,9782801709
22035	Arén	1	De 16 a 25	1	Hombre	11,571958125	11,571958125	0
22035	Arén	2	De 26 a 45	1	Hombre	27,4934588873	19,8651412181	7,6283176692
22035	Arén	3	De 46 a 64	1	Hombre	63,2471022206	58,4472107726	4,799891448
22035	Arén	4	De 65 y más	1	Hombre	32,7610757494	32,7610757494	0
22035	Arén	5	De 65 y más	1	Hombre	19,2389242506	19,2389242506	0
22036	Argavieso	0	Menor de 16	1	Hombre	2,0497330253	2,0497330253	0
22036	Argavieso	1	De 16 a 25	1	Hombre	3,5444048512	1,4262811188	2,1181237324
22036	Argavieso	2	De 26 a 45	1	Hombre	15,997787614	15,997787614	0
22036	Argavieso	3	De 46 a 64	1	Hombre	9,9919433864	7,873819654	2,1181237324
22036	Argavieso	4	De 65 y más	1	Hombre	31,5587860596	31,5587860596	0
22036	Argavieso	5	De 65 y más	1	Hombre	3,1476992264	3,1476992264	0
22037	Arguis	0	Menor de 16	1	Hombre	1,3900676307	1,3900676307	0
22037	Arguis	1	De 16 a 25	1	Hombre	4,2723742424	4,2723742424	0
22037	Arguis	2	De 26 a 45	1	Hombre	26,307692878	26,307692878	0
22037	Arguis	3	De 46 a 64	1	Hombre	26,6733466672	26,6733466672	0
22037	Arguis	4	De 65 y más	1	Hombre	15,3565185817	15,3565185817	0
22039	Ayerbe	0	Menor de 16	1	Hombre	68,2972523194	49,1478059957	19,1494463237
22039	Ayerbe	1	De 16 a 25	1	Hombre	41,6072973434	41,6072973434	0
22039	Ayerbe	2	De 26 a 45	1	Hombre	142,6651380702	134,5177670497	8,1473710205
22039	Ayerbe	3	De 46 a 64	1	Hombre	146,5112441406	141,3201376061	5,1911065345
22039	Ayerbe	4	De 65 y más	1	Hombre	107,5258023692	107,5258023692	0
22039	Ayerbe	5	De 65 y más	1	Hombre	44,4741976313	44,4741976313	0
22040	Azanuy-Alins	0	Menor de 16	1	Hombre	5,9301438266	5,9301438266	0
22040	Azanuy-Alins	1	De 16 a 25	1	Hombre	4,7440664472	4,7440664472	0
22040	Azanuy-Alins	2	De 26 a 45	1	Hombre	19,3436935931	19,3436935931	0
22040	Azanuy-Alins	3	De 46 a 64	1	Hombre	27,5753760803	26,2298950105	1,3454810698
22040	Azanuy-Alins	4	De 65 y más	1	Hombre	19,934825692	19,934825692	0
22040	Azanuy-Alins	5	De 65 y más	1	Hombre	8,6427940487	8,6427940487	0
22041	Azara	0	Menor de 16	1	Hombre	12,2776975028	12,2776975028	0
22041	Azara	1	De 16 a 25	1	Hombre	6,7637878923	6,7637878923	0
22041	Azara	2	De 26 a 45	1	Hombre	25,5656119306	25,5656119306	0
22041	Azara	3	De 46 a 64	1	Hombre	25,4318822764	25,4318822764	0
22041	Azara	4	De 65 y más	1	Hombre	26,5799267782	26,5799267782	0
22041	Azara	5	De 65 y más	1	Hombre	7,38109362	7,38109362	0
22042	Azlor	0	Menor de 16	1	Hombre	7,4849794554	7,4849794554	0
22042	Azlor	1	De 16 a 25	1	Hombre	4,0296471853	4,0296471853	0
22042	Azlor	2	De 26 a 45	1	Hombre	26,7598717723	25,5554574175	1,2044143548
22042	Azlor	3	De 46 a 64	1	Hombre	8,7365646073	8,7365646073	0
22042	Azlor	4	De 65 y más	1	Hombre	16,5410512897	16,5410512897	0
22042	Azlor	5	De 65 y más	1	Hombre	1,9147819334	1,9147819334	0
22043	Baells	0	Menor de 16	1	Hombre	2,0227670627	2,0227670627	0
22043	Baells	2	De 26 a 45	1	Hombre	13,7495903948	13,7495903948	0
22043	Baells	3	De 46 a 64	1	Hombre	32,275007527	32,275007527	0
22043	Baells	4	De 65 y más	1	Hombre	19,5141954	19,5141954	0
22043	Baells	5	De 65 y más	1	Hombre	5,7148673771	5,7148673771	0
22044	Bailo	0	Menor de 16	1	Hombre	15,2908567986	11,7944494511	3,4964073475
22044	Bailo	1	De 16 a 25	1	Hombre	20,9147425335	20,9147425335	0
22044	Bailo	2	De 26 a 45	1	Hombre	42,9323382914	39,4359309439	3,4964073475
22044	Bailo	3	De 46 a 64	1	Hombre	59,8620623766	59,8620623766	0
22044	Bailo	4	De 65 y más	1	Hombre	39,1583140829	35,6619067354	3,4964073475
22044	Bailo	5	De 65 y más	1	Hombre	7,408730629	7,408730629	0
22045	Baldellou	0	Menor de 16	1	Hombre	3,9689035679	2,3255500192	1,6433535487
22045	Baldellou	1	De 16 a 25	1	Hombre	6,7513430721	6,7513430721	0
22045	Baldellou	2	De 26 a 45	1	Hombre	8,7194465216	7,0760929729	1,6433535487
22045	Baldellou	3	De 46 a 64	1	Hombre	14,6347437222	14,6347437222	0
22045	Baldellou	4	De 65 y más	1	Hombre	20,472565865	20,472565865	0
22045	Baldellou	5	De 65 y más	1	Hombre	3,3721353623	3,3721353623	0
22046	Ballobar	0	Menor de 16	1	Hombre	53,4263073237	49,4452255756	3,9810817481
22046	Ballobar	1	De 16 a 25	1	Hombre	51,4040447347	33,576822898	17,8272218367
22046	Ballobar	2	De 26 a 45	1	Hombre	101,1815924121	74,6632308078	26,5183616043
22046	Ballobar	3	De 46 a 64	1	Hombre	136,2741662474	126,4770497705	9,7971164769
22046	Ballobar	4	De 65 y más	1	Hombre	119,8266265835	119,8266265835	0
22046	Ballobar	5	De 65 y más	1	Hombre	18,7404181279	18,7404181279	0
22047	Banastás	0	Menor de 16	1	Hombre	25,2227767385	25,2227767385	0
22047	Banastás	1	De 16 a 25	1	Hombre	17,109371848	17,109371848	0
22047	Banastás	2	De 26 a 45	1	Hombre	38,9136354711	38,9136354711	0
22047	Banastás	3	De 46 a 64	1	Hombre	44,2423239911	44,2423239911	0
