Municipio código	Municipio nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
22015	Alcalá del Obispo	Varones	Servicios	12	Transporte y comunicaciones	1
22015	Alcalá del Obispo	Varones	Servicios	13	Finanzas y servicios a empresas	2
22015	Alcalá del Obispo	Varones	Servicios	14	Administración pública	7
22015	Alcalá del Obispo	Varones	Servicios	15	Educación	10
22016	Alcampell	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	12
22016	Alcampell	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	8
22016	Alcampell	Mujeres	Industria y energía	04	Textil y calzado	11
22016	Alcampell	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2
22016	Alcampell	Mujeres	Industria y energía	07	Metal	2
22016	Alcampell	Mujeres	Construcción	09	Construcción	2
22016	Alcampell	Mujeres	Servicios	10	Comercio y reparación	9
22016	Alcampell	Mujeres	Servicios	11	Hostelería	5
22016	Alcampell	Mujeres	Servicios	12	Transporte y comunicaciones	2
22016	Alcampell	Mujeres	Servicios	13	Finanzas y servicios a empresas	8
22016	Alcampell	Mujeres	Servicios	14	Administración pública	5
22016	Alcampell	Mujeres	Servicios	15	Educación	8
22016	Alcampell	Mujeres	Servicios	16	Sanidad	7
22016	Alcampell	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	4
22016	Alcampell	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	92
22016	Alcampell	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	7
22016	Alcampell	Varones	Industria y energía	04	Textil y calzado	1
22016	Alcampell	Varones	Industria y energía	05	Madera y papel	7
22016	Alcampell	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	8
22016	Alcampell	Varones	Industria y energía	07	Metal	11
22016	Alcampell	Varones	Industria y energía	08	Manufactureras diversas	1
22016	Alcampell	Varones	Construcción	09	Construcción	32
22016	Alcampell	Varones	Servicios	10	Comercio y reparación	10
22016	Alcampell	Varones	Servicios	11	Hostelería	3
22016	Alcampell	Varones	Servicios	12	Transporte y comunicaciones	12
22016	Alcampell	Varones	Servicios	13	Finanzas y servicios a empresas	7
22016	Alcampell	Varones	Servicios	14	Administración pública	4
22016	Alcampell	Varones	Servicios	15	Educación	3
22016	Alcampell	Varones	Servicios	16	Sanidad	2
22016	Alcampell	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	3
22017	Alcolea de Cinca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	11
22017	Alcolea de Cinca	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	1
22017	Alcolea de Cinca	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	4
22017	Alcolea de Cinca	Mujeres	Industria y energía	04	Textil y calzado	19
22017	Alcolea de Cinca	Mujeres	Industria y energía	05	Madera y papel	7
22017	Alcolea de Cinca	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	3
22017	Alcolea de Cinca	Mujeres	Industria y energía	07	Metal	1
22017	Alcolea de Cinca	Mujeres	Industria y energía	08	Manufactureras diversas	1
22017	Alcolea de Cinca	Mujeres	Servicios	10	Comercio y reparación	34
22017	Alcolea de Cinca	Mujeres	Servicios	11	Hostelería	14
22017	Alcolea de Cinca	Mujeres	Servicios	12	Transporte y comunicaciones	5
22017	Alcolea de Cinca	Mujeres	Servicios	13	Finanzas y servicios a empresas	17
22017	Alcolea de Cinca	Mujeres	Servicios	14	Administración pública	7
22017	Alcolea de Cinca	Mujeres	Servicios	15	Educación	10
22017	Alcolea de Cinca	Mujeres	Servicios	16	Sanidad	11
22017	Alcolea de Cinca	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	8
22017	Alcolea de Cinca	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	111
22017	Alcolea de Cinca	Varones	Industria y energía	02	Extractivas, energía, gas y agua	7
22017	Alcolea de Cinca	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	6
22017	Alcolea de Cinca	Varones	Industria y energía	05	Madera y papel	58
22017	Alcolea de Cinca	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	26
22017	Alcolea de Cinca	Varones	Industria y energía	07	Metal	10
22017	Alcolea de Cinca	Varones	Industria y energía	08	Manufactureras diversas	2
22017	Alcolea de Cinca	Varones	Construcción	09	Construcción	34
22017	Alcolea de Cinca	Varones	Servicios	10	Comercio y reparación	28
22017	Alcolea de Cinca	Varones	Servicios	11	Hostelería	11
22017	Alcolea de Cinca	Varones	Servicios	12	Transporte y comunicaciones	7
22017	Alcolea de Cinca	Varones	Servicios	13	Finanzas y servicios a empresas	18
22017	Alcolea de Cinca	Varones	Servicios	14	Administración pública	10
22017	Alcolea de Cinca	Varones	Servicios	15	Educación	3
22017	Alcolea de Cinca	Varones	Servicios	16	Sanidad	2
22017	Alcolea de Cinca	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	3
22018	Alcubierre	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1
22018	Alcubierre	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	9
22018	Alcubierre	Mujeres	Industria y energía	04	Textil y calzado	2
22018	Alcubierre	Mujeres	Industria y energía	07	Metal	4
22018	Alcubierre	Mujeres	Servicios	10	Comercio y reparación	3
22018	Alcubierre	Mujeres	Servicios	11	Hostelería	4
22018	Alcubierre	Mujeres	Servicios	12	Transporte y comunicaciones	1
22018	Alcubierre	Mujeres	Servicios	13	Finanzas y servicios a empresas	3
22018	Alcubierre	Mujeres	Servicios	14	Administración pública	6
22018	Alcubierre	Mujeres	Servicios	15	Educación	2
22018	Alcubierre	Mujeres	Servicios	16	Sanidad	8
22018	Alcubierre	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	5
22018	Alcubierre	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	54
22018	Alcubierre	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	3
22018	Alcubierre	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22018	Alcubierre	Varones	Industria y energía	07	Metal	13
22018	Alcubierre	Varones	Construcción	09	Construcción	18
22018	Alcubierre	Varones	Servicios	10	Comercio y reparación	6
22018	Alcubierre	Varones	Servicios	11	Hostelería	1
22018	Alcubierre	Varones	Servicios	12	Transporte y comunicaciones	3
22018	Alcubierre	Varones	Servicios	13	Finanzas y servicios a empresas	6
22018	Alcubierre	Varones	Servicios	14	Administración pública	8
22018	Alcubierre	Varones	Servicios	15	Educación	3
22018	Alcubierre	Varones	Servicios	16	Sanidad	1
22018	Alcubierre	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22019	Alerre	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1
22019	Alerre	Mujeres	Industria y energía	07	Metal	1
22019	Alerre	Mujeres	Servicios	10	Comercio y reparación	4
22019	Alerre	Mujeres	Servicios	12	Transporte y comunicaciones	1
22019	Alerre	Mujeres	Servicios	13	Finanzas y servicios a empresas	4
22019	Alerre	Mujeres	Servicios	14	Administración pública	3
22019	Alerre	Mujeres	Servicios	15	Educación	7
22019	Alerre	Mujeres	Servicios	16	Sanidad	7
22019	Alerre	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	4
22019	Alerre	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	6
22019	Alerre	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	2
22019	Alerre	Varones	Industria y energía	05	Madera y papel	3
22019	Alerre	Varones	Industria y energía	07	Metal	5
22019	Alerre	Varones	Construcción	09	Construcción	9
22019	Alerre	Varones	Servicios	10	Comercio y reparación	9
22019	Alerre	Varones	Servicios	12	Transporte y comunicaciones	2
22019	Alerre	Varones	Servicios	13	Finanzas y servicios a empresas	6
22019	Alerre	Varones	Servicios	14	Administración pública	4
22019	Alerre	Varones	Servicios	15	Educación	7
