Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Otros	Mujeres	Temporal	0	823	0	0
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Otros	Mujeres	Temporal	1	1799	96070	53,40188993885491939966648137854363535297
Diciembre 2018	201812	Diciembre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	0	42	0	0
Diciembre 2018	201812	Diciembre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	1	599	3010	5,02504173622704507512520868113522537563
Diciembre 2018	201812	Diciembre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	0	18	0	0
Diciembre 2018	201812	Diciembre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	1	200	1181	5,905
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Otros	Hombres	Temporal	0	338	0	0
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Otros	Hombres	Temporal	1	622	50905	81,84083601286173633440514469453376205788
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Otros	Mujeres	Temporal	0	278	0	0
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Otros	Mujeres	Temporal	1	880	38803	44,09431818181818181818181818181818181818
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	A través de una ETT	Hombres	Temporal	0	1011	0	0
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	A través de una ETT	Hombres	Temporal	1	4028	35617	8,84235352532274081429990069513406156902
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	A través de una ETT	Mujeres	Temporal	0	761	0	0
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	A través de una ETT	Mujeres	Temporal	1	3220	31807	9,87795031055900621118012422360248447205
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Otros	Hombres	Temporal	0	3143	0	0
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Otros	Hombres	Temporal	1	6029	448526	74,39475866644551335213136506883396914911
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Otros	Mujeres	Temporal	0	2752	0	0
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Otros	Mujeres	Temporal	1	7639	366050	47,91857572980756643539730331195182615526
Noviembre 2018	201811	Noviembre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	0	164	0	0
Noviembre 2018	201811	Noviembre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	1	134	3811	28,4402985074626865671641791044776119403
Noviembre 2018	201811	Noviembre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	0	83	0	0
Noviembre 2018	201811	Noviembre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	1	47	1010	21,4893617021276595744680851063829787234
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Otros	Hombres	Temporal	0	1256	0	0
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Otros	Hombres	Temporal	1	1510	117955	78,11589403973509933774834437086092715232
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Otros	Mujeres	Temporal	0	719	0	0
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Otros	Mujeres	Temporal	1	1571	90727	57,75111394016549968173138128580521960535
Noviembre 2018	201811	Noviembre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	0	66	0	0
Noviembre 2018	201811	Noviembre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	1	764	4330	5,6675392670157068062827225130890052356
Noviembre 2018	201811	Noviembre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	0	29	0	0
Noviembre 2018	201811	Noviembre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	1	260	1595	6,13461538461538461538461538461538461538
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Otros	Hombres	Temporal	0	516	0	0
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Otros	Hombres	Temporal	1	852	66254	77,76291079812206572769953051643192488263
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Otros	Mujeres	Temporal	0	381	0	0
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Otros	Mujeres	Temporal	1	1052	56678	53,87642585551330798479087452471482889734
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	A través de una ETT	Hombres	Temporal	0	1376	0	0
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	A través de una ETT	Hombres	Temporal	1	4821	54949	11,39784277120929267786766231072391619996
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	A través de una ETT	Mujeres	Temporal	0	1124	0	0
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	A través de una ETT	Mujeres	Temporal	1	3719	40542	10,90131755848346329658510352245227211616
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Otros	Hombres	Temporal	0	4355	0	0
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Otros	Hombres	Temporal	1	6616	482031	72,85837363966142684401451027811366384522
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Otros	Mujeres	Temporal	0	3478	0	0
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Otros	Mujeres	Temporal	1	7927	436065	55,01009209032420840166519490349438627476
Octubre 2018	201810	Octubre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	0	231	0	0
Octubre 2018	201810	Octubre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	1	143	4998	34,95104895104895104895104895104895104895
Octubre 2018	201810	Octubre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	0	101	0	0
Octubre 2018	201810	Octubre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	1	48	839	17,47916666666666666666666666666666666667
Octubre 2018	201810	Octubre	2018	22	Huesca	Otros	Hombres	Temporal	0	1264	0	0
Octubre 2018	201810	Octubre	2018	22	Huesca	Otros	Hombres	Temporal	1	2025	148079	73,12543209876543209876543209876543209877
Octubre 2018	201810	Octubre	2018	22	Huesca	Otros	Mujeres	Temporal	0	1028	0	0
Octubre 2018	201810	Octubre	2018	22	Huesca	Otros	Mujeres	Temporal	1	2150	115049	53,51116279069767441860465116279069767442
Octubre 2018	201810	Octubre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	0	75	0	0
Octubre 2018	201810	Octubre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	1	633	3126	4,93838862559241706161137440758293838863
Octubre 2018	201810	Octubre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	0	36	0	0
Octubre 2018	201810	Octubre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	1	232	1378	5,93965517241379310344827586206896551724
Octubre 2018	201810	Octubre	2018	44	Teruel	Otros	Hombres	Temporal	0	861	0	0
Octubre 2018	201810	Octubre	2018	44	Teruel	Otros	Hombres	Temporal	1	1006	75635	75,18389662027833001988071570576540755467
Octubre 2018	201810	Octubre	2018	44	Teruel	Otros	Mujeres	Temporal	0	577	0	0
Octubre 2018	201810	Octubre	2018	44	Teruel	Otros	Mujeres	Temporal	1	1120	60348	53,88214285714285714285714285714285714286
Octubre 2018	201810	Octubre	2018	50	Zaragoza	A través de una ETT	Hombres	Temporal	0	1672	0	0
Octubre 2018	201810	Octubre	2018	50	Zaragoza	A través de una ETT	Hombres	Temporal	1	5444	65326	11,99963262307127112417340191036002939015
Octubre 2018	201810	Octubre	2018	50	Zaragoza	A través de una ETT	Mujeres	Temporal	0	1184	0	0
Octubre 2018	201810	Octubre	2018	50	Zaragoza	A través de una ETT	Mujeres	Temporal	1	4252	49093	11,54586077140169332079021636876763875823
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Otros	Hombres	Temporal	0	6624	0	0
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Otros	Hombres	Temporal	1	10023	716596	71,49516112940237453856130898932455352689
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Otros	Mujeres	Temporal	0	5464	0	0
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Otros	Mujeres	Temporal	1	10716	608205	56,75671892497200447928331466965285554311
Septiembre 2018	201809	Septiembre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	0	331	0	0
Septiembre 2018	201809	Septiembre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	1	140	3581	25,57857142857142857142857142857142857143
Septiembre 2018	201809	Septiembre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	0	159	0	0
Septiembre 2018	201809	Septiembre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	1	51	1281	25,11764705882352941176470588235294117647
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Otros	Hombres	Temporal	0	1453	0	0
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Otros	Hombres	Temporal	1	2096	137445	65,57490458015267175572519083969465648855
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Otros	Mujeres	Temporal	0	971	0	0
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Otros	Mujeres	Temporal	1	1979	110817	55,99646286003031834259727134916624557858
Septiembre 2018	201809	Septiembre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	0	87	0	0
Septiembre 2018	201809	Septiembre	2018	44	Teruel	A través de una ETT	Hombres	Temporal	1	560	3782	6,75357142857142857142857142857142857143
Septiembre 2018	201809	Septiembre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	0	65	0	0
Septiembre 2018	201809	Septiembre	2018	44	Teruel	A través de una ETT	Mujeres	Temporal	1	190	1568	8,25263157894736842105263157894736842105
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Otros	Hombres	Temporal	0	631	0	0
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Otros	Hombres	Temporal	1	1151	74220	64,4830582102519548218940052128583840139
