Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración media contrato
Octubre 2017	201710	Octubre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	108	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	38	4212	110,842105263157894736842105263157894737
Octubre 2017	201710	Octubre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	19	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	10	967	96,7
Octubre 2017	201710	Octubre	2017	44	Teruel	2	Industria y energía	Hombres	Temporal	0	151	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	2	Industria y energía	Hombres	Temporal	1	982	17022	17,33401221995926680244399185336048879837
Octubre 2017	201710	Octubre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	0	52	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	1	226	5366	23,74336283185840707964601769911504424779
Octubre 2017	201710	Octubre	2017	44	Teruel	3	Construcción	Hombres	Temporal	0	165	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	3	Construcción	Hombres	Temporal	1	51	5413	106,137254901960784313725490196078431373
Octubre 2017	201710	Octubre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	0	1	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	1	5	646	129,2
Octubre 2017	201710	Octubre	2017	44	Teruel	4	Servicios	Hombres	Temporal	0	572	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	4	Servicios	Hombres	Temporal	1	830	42726	51,47710843373493975903614457831325301205
Octubre 2017	201710	Octubre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	0	520	0	0
Octubre 2017	201710	Octubre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	1	971	52945	54,52626158599382080329557157569515962925
Octubre 2017	201710	Octubre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	1022	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	449	17849	39,75278396436525612472160356347438752784
