Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22043	Baells	7	e) >=50% a < 75%  de la SAU en propiedad
22043	Baells	6	f) >= 75% a < 90%  de la SAU en propiedad
22043	Baells	21	g) >= 90%  de la SAU en propiedad
22044	Bailo	1	a) No hay SAU
22044	Bailo	14	b) < 10% de la SAU en propiedad
22044	Bailo	1	c) >=10% a < 25%  de la SAU en propiedad
22044	Bailo	6	d) >=25% a < 50%  de la SAU en propiedad
22044	Bailo	5	e) >=50% a < 75%  de la SAU en propiedad
22044	Bailo	2	f) >= 75% a < 90%  de la SAU en propiedad
22044	Bailo	42	g) >= 90%  de la SAU en propiedad
22045	Baldellou	2	b) < 10% de la SAU en propiedad
22045	Baldellou	2	e) >=50% a < 75%  de la SAU en propiedad
22045	Baldellou	2	f) >= 75% a < 90%  de la SAU en propiedad
22045	Baldellou	45	g) >= 90%  de la SAU en propiedad
22046	Ballobar	2	a) No hay SAU
22046	Ballobar	22	b) < 10% de la SAU en propiedad
22046	Ballobar	8	c) >=10% a < 25%  de la SAU en propiedad
22046	Ballobar	15	d) >=25% a < 50%  de la SAU en propiedad
22046	Ballobar	18	e) >=50% a < 75%  de la SAU en propiedad
22046	Ballobar	11	f) >= 75% a < 90%  de la SAU en propiedad
22046	Ballobar	71	g) >= 90%  de la SAU en propiedad
22047	Banastás	2	b) < 10% de la SAU en propiedad
22047	Banastás	2	d) >=25% a < 50%  de la SAU en propiedad
22047	Banastás	1	g) >= 90%  de la SAU en propiedad
22048	Barbastro	11	a) No hay SAU
22048	Barbastro	47	b) < 10% de la SAU en propiedad
22048	Barbastro	8	c) >=10% a < 25%  de la SAU en propiedad
22048	Barbastro	15	d) >=25% a < 50%  de la SAU en propiedad
22048	Barbastro	15	e) >=50% a < 75%  de la SAU en propiedad
22048	Barbastro	7	f) >= 75% a < 90%  de la SAU en propiedad
22048	Barbastro	271	g) >= 90%  de la SAU en propiedad
22049	Barbués	2	b) < 10% de la SAU en propiedad
22049	Barbués	2	d) >=25% a < 50%  de la SAU en propiedad
22049	Barbués	5	e) >=50% a < 75%  de la SAU en propiedad
22049	Barbués	2	f) >= 75% a < 90%  de la SAU en propiedad
22049	Barbués	20	g) >= 90%  de la SAU en propiedad
22050	Barbuñales	4	b) < 10% de la SAU en propiedad
22050	Barbuñales	1	c) >=10% a < 25%  de la SAU en propiedad
22050	Barbuñales	1	d) >=25% a < 50%  de la SAU en propiedad
22050	Barbuñales	5	e) >=50% a < 75%  de la SAU en propiedad
22050	Barbuñales	2	f) >= 75% a < 90%  de la SAU en propiedad
22050	Barbuñales	12	g) >= 90%  de la SAU en propiedad
22051	Bárcabo	32	b) < 10% de la SAU en propiedad
22051	Bárcabo	6	c) >=10% a < 25%  de la SAU en propiedad
22051	Bárcabo	8	d) >=25% a < 50%  de la SAU en propiedad
22051	Bárcabo	5	e) >=50% a < 75%  de la SAU en propiedad
22051	Bárcabo	17	g) >= 90%  de la SAU en propiedad
22052	Belver de Cinca	14	a) No hay SAU
22052	Belver de Cinca	37	b) < 10% de la SAU en propiedad
22052	Belver de Cinca	8	c) >=10% a < 25%  de la SAU en propiedad
22052	Belver de Cinca	13	d) >=25% a < 50%  de la SAU en propiedad
22052	Belver de Cinca	12	e) >=50% a < 75%  de la SAU en propiedad
22052	Belver de Cinca	7	f) >= 75% a < 90%  de la SAU en propiedad
22052	Belver de Cinca	140	g) >= 90%  de la SAU en propiedad
22053	Benabarre	12	a) No hay SAU
22053	Benabarre	40	b) < 10% de la SAU en propiedad
22053	Benabarre	6	c) >=10% a < 25%  de la SAU en propiedad
