Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	08	Oceanía	Oceanía	07	Somontano de Barbastro	Mujer	2
2009	08	Oceanía	Oceanía	09	La Litera / La Llitera	Hombre	1
2009	08	Oceanía	Oceanía	10	Los Monegros	Hombre	1
2009	08	Oceanía	Oceanía	14	Aranda	Mujer	1
2009	08	Oceanía	Oceanía	15	Ribera Alta del Ebro	Hombre	1
2009	08	Oceanía	Oceanía	15	Ribera Alta del Ebro	Mujer	1
2009	08	Oceanía	Oceanía	16	Valdejalón	Hombre	1
2009	08	Oceanía	Oceanía	17	Central	Hombre	51
2009	08	Oceanía	Oceanía	17	Central	Mujer	61
2009	08	Oceanía	Oceanía	18	Ribera Baja del Ebro	Mujer	1
2009	08	Oceanía	Oceanía	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	1
2009	08	Oceanía	Oceanía	20	Comunidad de Calatayud	Mujer	1
2009	08	Oceanía	Oceanía	21	Campo de Cariñena	Mujer	2
2009	08	Oceanía	Oceanía	22	Campo de Belchite	Hombre	1
2009	08	Oceanía	Oceanía	22	Campo de Belchite	Mujer	1
2009	08	Oceanía	Oceanía	23	Bajo Martín	Hombre	1
2009	08	Oceanía	Oceanía	24	Campo de Daroca	Hombre	1
2009	08	Oceanía	Oceanía	25	Jiloca	Mujer	2
2009	08	Oceanía	Oceanía	26	Cuencas Mineras	Hombre	4
2009	08	Oceanía	Oceanía	27	Andorra-Sierra de Arcos	Hombre	3
2009	08	Oceanía	Oceanía	28	Bajo Aragón	Hombre	4
2009	08	Oceanía	Oceanía	28	Bajo Aragón	Mujer	2
2009	08	Oceanía	Oceanía	29	Comunidad de Teruel	Hombre	7
2009	08	Oceanía	Oceanía	29	Comunidad de Teruel	Mujer	7
2009	08	Oceanía	Oceanía	30	Maestrazgo	Hombre	1
2009	08	Oceanía	Oceanía	31	Sierra de Albarracín	Mujer	3
2009	08	Oceanía	Oceanía	32	Gúdar-Javalambre	Hombre	1
2009	08	Oceanía	Oceanía	33	Matarraña / Matarranya	Hombre	1
2010	01	Europa	UE-27	01	La Jacetania	Hombre	178
2010	01	Europa	UE-27	01	La Jacetania	Mujer	201
2010	01	Europa	UE-27	02	Alto Gállego	Hombre	83
2010	01	Europa	UE-27	02	Alto Gállego	Mujer	70
2010	01	Europa	UE-27	03	Sobrarbe	Hombre	113
2010	01	Europa	UE-27	03	Sobrarbe	Mujer	130
2010	01	Europa	UE-27	04	La Ribagorza	Hombre	106
2010	01	Europa	UE-27	04	La Ribagorza	Mujer	98
2010	01	Europa	UE-27	05	Cinco Villas	Hombre	188
2010	01	Europa	UE-27	05	Cinco Villas	Mujer	230
2010	01	Europa	UE-27	06	Hoya de Huesca / Plana de Uesca	Hombre	326
2010	01	Europa	UE-27	06	Hoya de Huesca / Plana de Uesca	Mujer	318
2010	01	Europa	UE-27	07	Somontano de Barbastro	Hombre	141
2010	01	Europa	UE-27	07	Somontano de Barbastro	Mujer	128
2010	01	Europa	UE-27	08	Cinca Medio	Hombre	89
2010	01	Europa	UE-27	08	Cinca Medio	Mujer	85
2010	01	Europa	UE-27	09	La Litera / La Llitera	Hombre	79
2010	01	Europa	UE-27	09	La Litera / La Llitera	Mujer	58
2010	01	Europa	UE-27	10	Los Monegros	Hombre	81
2010	01	Europa	UE-27	10	Los Monegros	Mujer	129
2010	01	Europa	UE-27	11	Bajo Cinca / Baix Cinca	Hombre	92
2010	01	Europa	UE-27	11	Bajo Cinca / Baix Cinca	Mujer	89
2010	01	Europa	UE-27	12	Tarazona y el Moncayo	Hombre	29
2010	01	Europa	UE-27	12	Tarazona y el Moncayo	Mujer	36
2010	01	Europa	UE-27	13	Campo de Borja	Hombre	57
2010	01	Europa	UE-27	13	Campo de Borja	Mujer	48
2010	01	Europa	UE-27	14	Aranda	Hombre	6
2010	01	Europa	UE-27	14	Aranda	Mujer	18
