Municipio código	Municipio nombre	Unidades trabajo-año totales	Unidades trabajo-año asalariados	Unidades trabajo-año asalariados fijos	Unidades trabajo-año asalariados eventuales	Unidades trabajo-año mano obra familiar	Unidades trabajo-año titular	Unidades trabajo-año jefe explotación	Unidades trabajo-año otros miembros familia
50236	Santa Cruz de Grío	31,917	0,589	0,004	0,585	31,328	16,777	17,373	14,551
50237	Santa Cruz de Moncayo	11,79	0,802	0,802	0	10,988	7,173	8,04	3,815
50238	Santa Eulalia de Gállego	7,676	1,287	1,2	0,087	6,389	3,532	4,891	2,857
50239	Santed	8,271	1,709	1,709	0	6,562	4,412	6,071	2,15
50240	Sástago	218,541	147,766	31,553	116,213	70,775	45,57	61,98	25,205
50241	Saviñán	71,625	30,878	15,192	15,686	40,747	21,302	27,055	19,445
50242	Sediles	23,278	2,089	1,875	0,214	21,189	10,513	12,56	10,676
50243	Sestrica	57,092	4,616	1	3,616	52,476	27,289	28,328	25,187
50244	Sierra de Luna	63,503	31,245	26,243	5,002	32,258	20,84	24,464	11,418
50245	Sigüés	8,91	2,925	2,597	0,328	5,985	5,235	6,796	0,75
50246	Sisamón	7,706	0,678	0,657	0,021	7,028	4,903	5,56	2,125
50247	Sobradiel	17,595	5,004	3,004	2	12,591	9,716	11,72	2,875
50248	Sos del Rey Católico	86,629	34,255	31,558	2,697	52,374	38,573	55,693	13,801
50249	Tabuenca	87,272	7,956	3,117	4,839	79,316	42,151	46,997	37,165
50250	Talamantes	8,321	4,472	4,35	0,122	3,849	2,405	5,281	1,444
50251	Tarazona	230,394	82,535	70,464	12,071	147,859	93,564	111,718	54,295
50252	Tauste	716,147	305,815	293,365	12,45	410,332	304,351	417,896	105,981
50253	Terrer	57,742	15,128	13,25	1,878	42,614	29,749	31,772	12,865
50254	Tierga	41,556	3,785	3,134	0,651	37,771	23,015	26,125	14,756
50255	Tobed	27,318	2,889	1,53	1,359	24,429	14,338	16,034	10,091
50256	Torralba de los Frailes	23,405	4,65	3,862	0,788	18,755	14,686	18,726	4,069
50257	Torralba de Ribota	38,847	2,09	1	1,09	36,757	23,006	24,295	13,751
50258	Torralbilla	7,962	0,129	0,125	0,004	7,833	5,208	5,208	2,625
50259	Torrehermosa	15,149	2	2	0	13,149	12,149	13,149	1
50260	Torrelapaja	3,959	0,039	0,004	0,035	3,92	3,545	3,549	0,375
50261	Torrellas	11,592	2,476	1,862	0,614	9,116	5,113	7,361	4,003
50262	Torres de Berrellén	75,713	46,467	23,392	23,075	29,246	19,015	28,736	10,231
50263	Torrijo de la Cañada	31,928	4,819	4,819	0	27,109	17,578	20,993	9,531
50264	Tosos	73,085	18,912	10,913	7,999	54,173	27,219	33,468	26,954
50265	Trasmoz	8,41	0,012	0	0,012	8,398	5,326	5,644	3,072
50266	Trasobares	23,812	1,525	1,525	0	22,287	12,833	13,919	9,454
50267	Uncastillo	67,1	25,996	24,875	1,121	41,104	33,698	48,297	7,406
50268	Undués de Lerda	19,362	16,369	15,247	1,122	2,993	2,274	5,403	0,719
50269	Urrea de Jalón	48,508	19,135	7,422	11,713	29,373	17,31	19,877	12,063
50270	Urriés	7,598	0,921	0,921	0	6,677	5,776	6,367	0,901
50271	Used	45,636	5,791	5,748	0,043	39,845	31,27	39,38	8,575
50272	Utebo	70,698	23,807	23,742	0,065	46,891	32,285	40,626	14,606
50273	Valdehorna	8,222	0,059	0,021	0,038	8,163	3,532	3,553	4,631
50274	Val de San Martín	13,636	0,039	0,039	0	13,597	9,722	9,661	3,875
50275	Valmadrid	7	0,438	0,438	0	6,562	3,989	5,516	2,573
50276	Valpalmas	17,764	6,609	6,479	0,13	11,155	7,797	13,549	3,358
50277	Valtorres	6,62	0	0	0	6,62	3,87	3,87	2,75
50278	Velilla de Ebro	19,066	1,957	1,957	0	17,109	14,66	16,997	2,449
50279	Velilla de Jiloca	23,285	6,586	4,751	1,835	16,699	9,947	10,7	6,752
50280	Vera de Moncayo	50,782	17,721	16,083	1,638	33,061	17,07	22,219	15,991
50281	Vierlas	14,321	1,284	1,263	0,021	13,037	6,709	7,696	6,328
50282	Vilueña (La)	32,671	16,666	15,75	0,916	16,005	8,843	10,096	7,162
50283	Villadoz	9,214	0,473	0,473	0	8,741	7,074	8,443	1,667
50284	Villafeliche	14,374	4,399	2,493	1,906	9,975	6,1	6,839	3,875
50285	Villafranca de Ebro	51,613	29,573	17,926	11,647	22,04	15,277	20,219	6,763
50286	Villalba de Perejil	15,033	0,087	0	0,087	14,946	10,749	10,881	4,197
50287	Villalengua	63,665	5,544	0	5,544	58,121	38,681	39,729	19,44
50288	Villanueva de Gállego	64,809	31,191	30,509	0,682	33,618	26,929	41,263	6,689
50289	Villanueva de Jiloca	5,259	0,829	0,563	0,266	4,43	1,49	2,156	2,94
50290	Villanueva de Huerva	52,141	9,29	6,632	2,658	42,851	26,59	30,073	16,261
50291	Villar de los Navarros	23,634	2,085	1,855	0,23	21,549	13,408	14,455	8,141
50292	Villarreal de Huerva	12,726	5,344	5,257	0,087	7,382	6,71	8,76	0,672
50293	Villarroya de la Sierra	88,517	7,36	5,904	1,456	81,157	48,173	50,665	32,984
50294	Villarroya del Campo	8,002	0,697	0,697	0	7,305	5,93	6,223	1,375
50295	Vistabella	3,326	0,197	0	0,197	3,129	1,227	2,375	1,902
50296	Zaida (La)	14,374	2,405	2,375	0,03	11,969	9,26	10,632	2,709
50297	Zaragoza	1206,768	820,988	269,812	551,176	385,78	259,746	337,938	126,034
50298	Zuera	222,003	58,995	50,731	8,264	163,008	112,173	150,419	50,835
50901	Biel	15,091	5,257	4,073	1,184	9,834	8,39	10,489	1,444
50902	Marracos	14,803	1,139	1,131	0,008	13,664	8,43	9,013	5,234
50903	Villamayor de Gállego	86,29	12,846	11,459	1,387	73,444	45,439	57,376	28,005
