Mes y año	Codcom	Comarca nombre	Cuentas cotización con trabajadores
Diciembre 2017	33	Matarraña / Matarranya	469
Diciembre 2017	99	Sin clasificar	58
Septiembre 2017	01	La Jacetania	1033
Septiembre 2017	02	Alto Gállego	682
Septiembre 2017	03	Sobrarbe	495
Septiembre 2017	04	La Ribagorza	731
Septiembre 2017	05	Cinco Villas	1306
Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	3870
Septiembre 2017	07	Somontano de Barbastro	1229
Septiembre 2017	08	Cinca Medio	1096
Septiembre 2017	09	La Litera / La Llitera	1100
Septiembre 2017	10	Los Monegros	953
Septiembre 2017	11	Bajo Cinca / Baix Cinca	1268
Septiembre 2017	12	Tarazona y el Moncayo	512
Septiembre 2017	13	Campo de Borja	596
Septiembre 2017	14	Aranda	285
Septiembre 2017	15	Ribera Alta del Ebro	944
Septiembre 2017	16	Valdejalón	1362
Septiembre 2017	17	Central	35012
Septiembre 2017	18	Ribera Baja del Ebro	340
Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	702
Septiembre 2017	20	Comunidad de Calatayud	1543
Septiembre 2017	21	Campo de Cariñena	508
Septiembre 2017	22	Campo de Belchite	211
Septiembre 2017	23	Bajo Martín	303
Septiembre 2017	24	Campo de Daroca	266
Septiembre 2017	25	Jiloca	488
Septiembre 2017	26	Cuencas Mineras	298
Septiembre 2017	27	Andorra-Sierra de Arcos	329
Septiembre 2017	28	Bajo Aragón	1474
Septiembre 2017	29	Comunidad de Teruel	2498
Septiembre 2017	30	Maestrazgo	168
Septiembre 2017	31	Sierra de Albarracín	208
Septiembre 2017	32	Gúdar-Javalambre	398
Septiembre 2017	33	Matarraña / Matarranya	470
Septiembre 2017	99	Sin clasificar	62
Junio 2017	01	La Jacetania	1039
Junio 2017	02	Alto Gállego	711
Junio 2017	03	Sobrarbe	508
Junio 2017	04	La Ribagorza	758
Junio 2017	05	Cinco Villas	1285
Junio 2017	06	Hoya de Huesca / Plana de Uesca	3859
Junio 2017	07	Somontano de Barbastro	1267
Junio 2017	08	Cinca Medio	1128
Junio 2017	09	La Litera / La Llitera	1138
Junio 2017	10	Los Monegros	979
Junio 2017	11	Bajo Cinca / Baix Cinca	1579
Junio 2017	12	Tarazona y el Moncayo	509
Junio 2017	13	Campo de Borja	577
Junio 2017	14	Aranda	292
Junio 2017	15	Ribera Alta del Ebro	928
Junio 2017	16	Valdejalón	1382
Junio 2017	17	Central	35030
Junio 2017	18	Ribera Baja del Ebro	346
Junio 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	747
Junio 2017	20	Comunidad de Calatayud	1650
Junio 2017	21	Campo de Cariñena	517
Junio 2017	22	Campo de Belchite	210
Junio 2017	23	Bajo Martín	322
Junio 2017	24	Campo de Daroca	269
Junio 2017	25	Jiloca	490
Junio 2017	26	Cuencas Mineras	296
Junio 2017	27	Andorra-Sierra de Arcos	331
Junio 2017	28	Bajo Aragón	1526
Junio 2017	29	Comunidad de Teruel	2472
Junio 2017	30	Maestrazgo	170
Junio 2017	31	Sierra de Albarracín	214
Junio 2017	32	Gúdar-Javalambre	414
Junio 2017	33	Matarraña / Matarranya	495
Junio 2017	99	Sin clasificar	59
Marzo 2017	01	La Jacetania	1056
Marzo 2017	02	Alto Gállego	728
Marzo 2017	03	Sobrarbe	432
Marzo 2017	04	La Ribagorza	746
Marzo 2017	05	Cinco Villas	1270
Marzo 2017	06	Hoya de Huesca / Plana de Uesca	3798
Marzo 2017	07	Somontano de Barbastro	1258
Marzo 2017	08	Cinca Medio	1105
Marzo 2017	09	La Litera / La Llitera	1086
Marzo 2017	10	Los Monegros	954
Marzo 2017	11	Bajo Cinca / Baix Cinca	1286
Marzo 2017	12	Tarazona y el Moncayo	499
Marzo 2017	13	Campo de Borja	602
Marzo 2017	14	Aranda	270
Marzo 2017	15	Ribera Alta del Ebro	931
Marzo 2017	16	Valdejalón	1283
Marzo 2017	17	Central	35248
Marzo 2017	18	Ribera Baja del Ebro	331
Marzo 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	675
Marzo 2017	20	Comunidad de Calatayud	1481
Marzo 2017	21	Campo de Cariñena	526
Marzo 2017	22	Campo de Belchite	207
Marzo 2017	23	Bajo Martín	305
Marzo 2017	24	Campo de Daroca	255
Marzo 2017	25	Jiloca	482
Marzo 2017	26	Cuencas Mineras	289
Marzo 2017	27	Andorra-Sierra de Arcos	338
Marzo 2017	28	Bajo Aragón	1479
Marzo 2017	29	Comunidad de Teruel	2470
Marzo 2017	30	Maestrazgo	162
Marzo 2017	31	Sierra de Albarracín	195
Marzo 2017	32	Gúdar-Javalambre	407
Marzo 2017	33	Matarraña / Matarranya	470
Marzo 2017	99	Sin clasificar	62
Diciembre 2016	01	La Jacetania	1047
Diciembre 2016	02	Alto Gállego	721
Diciembre 2016	03	Sobrarbe	426
Diciembre 2016	04	La Ribagorza	749
Diciembre 2016	05	Cinco Villas	1264
Diciembre 2016	06	Hoya de Huesca / Plana de Uesca	3846
Diciembre 2016	07	Somontano de Barbastro	1250
Diciembre 2016	08	Cinca Medio	1121
Diciembre 2016	09	La Litera / La Llitera	1093
Diciembre 2016	10	Los Monegros	957
Diciembre 2016	11	Bajo Cinca / Baix Cinca	1361
Diciembre 2016	12	Tarazona y el Moncayo	514
Diciembre 2016	13	Campo de Borja	604
Diciembre 2016	14	Aranda	271
Diciembre 2016	15	Ribera Alta del Ebro	939
Diciembre 2016	16	Valdejalón	1311
Diciembre 2016	17	Central	35222
Diciembre 2016	18	Ribera Baja del Ebro	337
Diciembre 2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	660
Diciembre 2016	20	Comunidad de Calatayud	1468
Diciembre 2016	21	Campo de Cariñena	553
Diciembre 2016	22	Campo de Belchite	209
Diciembre 2016	23	Bajo Martín	304
Diciembre 2016	24	Campo de Daroca	268
Diciembre 2016	25	Jiloca	485
Diciembre 2016	26	Cuencas Mineras	281
Diciembre 2016	27	Andorra-Sierra de Arcos	344
Diciembre 2016	28	Bajo Aragón	1481
Diciembre 2016	29	Comunidad de Teruel	2478
Diciembre 2016	30	Maestrazgo	166
Diciembre 2016	31	Sierra de Albarracín	203
Diciembre 2016	32	Gúdar-Javalambre	410
Diciembre 2016	33	Matarraña / Matarranya	477
Diciembre 2016	99	Sin clasificar	63
Septiembre 2016	01	La Jacetania	1000
Septiembre 2016	02	Alto Gállego	670
Septiembre 2016	03	Sobrarbe	485
Septiembre 2016	04	La Ribagorza	707
Septiembre 2016	05	Cinco Villas	1294
Septiembre 2016	06	Hoya de Huesca / Plana de Uesca	3852
Septiembre 2016	07	Somontano de Barbastro	1241
Septiembre 2016	08	Cinca Medio	1092
Septiembre 2016	09	La Litera / La Llitera	1112
Septiembre 2016	10	Los Monegros	957
Septiembre 2016	11	Bajo Cinca / Baix Cinca	1327
Septiembre 2016	12	Tarazona y el Moncayo	517
Septiembre 2016	13	Campo de Borja	586
Septiembre 2016	14	Aranda	274
Septiembre 2016	15	Ribera Alta del Ebro	937
Septiembre 2016	16	Valdejalón	1397
Septiembre 2016	17	Central	34975
Septiembre 2016	18	Ribera Baja del Ebro	343
Septiembre 2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	704
Septiembre 2016	20	Comunidad de Calatayud	1510
Septiembre 2016	21	Campo de Cariñena	550
Septiembre 2016	22	Campo de Belchite	201
Septiembre 2016	23	Bajo Martín	302
Septiembre 2016	24	Campo de Daroca	268
Septiembre 2016	25	Jiloca	497
Septiembre 2016	26	Cuencas Mineras	282
Septiembre 2016	27	Andorra-Sierra de Arcos	343
Septiembre 2016	28	Bajo Aragón	1498
Septiembre 2016	29	Comunidad de Teruel	2450
Septiembre 2016	30	Maestrazgo	177
Septiembre 2016	31	Sierra de Albarracín	206
Septiembre 2016	32	Gúdar-Javalambre	402
Septiembre 2016	33	Matarraña / Matarranya	474
Septiembre 2016	99	Sin clasificar	63
Junio 2016	01	La Jacetania	1013
Junio 2016	02	Alto Gállego	689
Junio 2016	03	Sobrarbe	519
Junio 2016	04	La Ribagorza	750
Junio 2016	05	Cinco Villas	1293
Junio 2016	06	Hoya de Huesca / Plana de Uesca	3909
Junio 2016	07	Somontano de Barbastro	1285
Junio 2016	08	Cinca Medio	1140
Junio 2016	09	La Litera / La Llitera	1134
Junio 2016	10	Los Monegros	996
Junio 2016	11	Bajo Cinca / Baix Cinca	1616
Junio 2016	12	Tarazona y el Moncayo	525
Junio 2016	13	Campo de Borja	583
Junio 2016	14	Aranda	293
Junio 2016	15	Ribera Alta del Ebro	939
Junio 2016	16	Valdejalón	1435
Junio 2016	17	Central	35147
Junio 2016	18	Ribera Baja del Ebro	354
Junio 2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	736
Junio 2016	20	Comunidad de Calatayud	1601
Junio 2016	21	Campo de Cariñena	519
Junio 2016	22	Campo de Belchite	204
Junio 2016	23	Bajo Martín	314
Junio 2016	24	Campo de Daroca	277
Junio 2016	25	Jiloca	517
Junio 2016	26	Cuencas Mineras	291
Junio 2016	27	Andorra-Sierra de Arcos	347
Junio 2016	28	Bajo Aragón	1538
Junio 2016	29	Comunidad de Teruel	2466
Junio 2016	30	Maestrazgo	176
Junio 2016	31	Sierra de Albarracín	207
Junio 2016	32	Gúdar-Javalambre	411
Junio 2016	33	Matarraña / Matarranya	492
Junio 2016	99	Sin clasificar	68
Marzo 2016	01	La Jacetania	1006
Marzo 2016	02	Alto Gállego	704
Marzo 2016	03	Sobrarbe	462
Marzo 2016	04	La Ribagorza	761
Marzo 2016	05	Cinco Villas	1260
Marzo 2016	06	Hoya de Huesca / Plana de Uesca	3857
Marzo 2016	07	Somontano de Barbastro	1253
Marzo 2016	08	Cinca Medio	1102
Marzo 2016	09	La Litera / La Llitera	1093
Marzo 2016	10	Los Monegros	957
