Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2001	Hombres	87	02	Aragón	-1316	-0,00489456253155105
2001	Mujeres	87	02	Aragón	2645	0,00983747560482715
2002	Hombres	87	02	Aragón	-1377	-0,00512143815041474
2002	Mujeres	87	02	Aragón	2754	0,0102428763008295
2003	Hombres	87	02	Aragón	-1371	-0,00509912251577241
2003	Mujeres	87	02	Aragón	2645	0,00983747560482715
2004	Hombres	87	02	Aragón	-1272	-0,00473091454417397
2004	Mujeres	87	02	Aragón	2621	0,00974821306625783
2005	Hombres	87	02	Aragón	-1351	-0,00502473706696465
2005	Mujeres	87	02	Aragón	2675	0,0099490537780388
2006	Hombres	87	02	Aragón	-1399	-0,00520326214410328
2006	Mujeres	87	02	Aragón	2917	0,0108491177086128
2007	Hombres	87	02	Aragón	-1457	-0,00541897994564581
2007	Mujeres	87	02	Aragón	2869	0,0106705926314741
2008	Hombres	87	02	Aragón	-1834	-0,00682114565567221
2008	Mujeres	87	02	Aragón	3430	0,012757104470532
2009	Hombres	87	02	Aragón	-2037	-0,00757615796107105
2009	Mujeres	87	02	Aragón	3474	0,0129207524579091
2010	Hombres	87	02	Aragón	-2029	-0,00754640378154794
2010	Mujeres	87	02	Aragón	3769	0,0140179378278236
2011	Hombres	87	02	Aragón	-2151	-0,00800015501927532
2011	Mujeres	87	02	Aragón	3848	0,0143117603506143
2012	Hombres	87	02	Aragón	-2195	-0,0081638030066524
2012	Mujeres	87	02	Aragón	3909	0,014538635969478
2013	Hombres	87	02	Aragón	-2259	-0,00840183644283726
2013	Mujeres	87	02	Aragón	3707	0,0137873429365196
2014	Hombres	87	02	Aragón	-2241	-0,00833488953891027
2014	Mujeres	87	02	Aragón	3973	0,0147766694056629
2015	Hombres	87	02	Aragón	-2377	-0,00884071059080308
2015	Mujeres	87	02	Aragón	3927	0,014605582873405
2016	Hombres	87	02	Aragón	-2368	-0,00880723713883958
2016	Mujeres	87	02	Aragón	4265	0,0158626969582563
2017	Hombres	87	02	Aragón	-2612	-0,00971473961429434
2017	Mujeres	87	02	Aragón	4299	0,0159891522212295
2018	Hombres	87	02	Aragón	-2576	-0,00958084580644036
2018	Mujeres	87	02	Aragón	4461	0,0165916743565724
1998	Hombres	86	02	Aragón	-1391	-0,00517350796458018
1998	Mujeres	86	02	Aragón	2595	0,00965151198280774
1999	Hombres	86	02	Aragón	-1552	-0,0057723108274827
1999	Mujeres	86	02	Aragón	2876	0,0106966275385569
2000	Hombres	86	02	Aragón	-1491	-0,00554543520861901
2000	Mujeres	86	02	Aragón	2880	0,0107115046283184
2001	Hombres	86	02	Aragón	-1588	-0,00590620463533668
2001	Mujeres	86	02	Aragón	3054	0,011358658032946
2002	Hombres	86	02	Aragón	-1583	-0,00588760827313474
2002	Mujeres	86	02	Aragón	2950	0,0109718536991456
2003	Hombres	86	02	Aragón	-1461	-0,00543385703540736
2003	Mujeres	86	02	Aragón	2870	0,0106743119039145
2004	Hombres	86	02	Aragón	-1545	-0,00574627592039998
2004	Mujeres	86	02	Aragón	2948	0,0109644151542648
2005	Hombres	86	02	Aragón	-1591	-0,00591736245265785
2005	Mujeres	86	02	Aragón	3234	0,0120281270722159
2006	Hombres	86	02	Aragón	-1681	-0,0062520969722928
2006	Mujeres	86	02	Aragón	3157	0,011741743094306
2007	Hombres	86	02	Aragón	-2067	-0,00768773613428269
2007	Mujeres	86	02	Aragón	3768	0,0140142185553833
2008	Hombres	86	02	Aragón	-2295	-0,00853573025069124
2008	Mujeres	86	02	Aragón	3817	0,0141964629049623
2009	Hombres	86	02	Aragón	-2294	-0,00853201097825085
2009	Mujeres	86	02	Aragón	4108	0,0152787711851153
2010	Hombres	86	02	Aragón	-2436	-0,00906014766478599
2010	Mujeres	86	02	Aragón	4162	0,0154796118968963
2011	Hombres	86	02	Aragón	-2472	-0,00919404147263997
2011	Mujeres	86	02	Aragón	4255	0,0158255042338524
2012	Hombres	86	02	Aragón	-2559	-0,00951761817495376
2012	Mujeres	86	02	Aragón	4062	0,0151076846528574
2013	Hombres	86	02	Aragón	-2509	-0,00933165455293434
2013	Mujeres	86	02	Aragón	4312	0,0160375027629545
2014	Hombres	86	02	Aragón	-2672	-0,00993789596071764
2014	Mujeres	86	02	Aragón	4316	0,0160523798527161
2015	Hombres	86	02	Aragón	-2695	-0,0100234392268466
2015	Mujeres	86	02	Aragón	4614	0,0171607230399518
2016	Hombres	86	02	Aragón	-2863	-0,0106482769968318
2016	Mujeres	86	02	Aragón	4593	0,0170826183187036
2017	Hombres	86	02	Aragón	-2876	-0,0106966275385569
2017	Mujeres	86	02	Aragón	4811	0,0178934197107083
2018	Hombres	86	02	Aragón	-3019	-0,0112284834975324
2018	Mujeres	86	02	Aragón	4670	0,0173690022966135
1998	Hombres	85	02	Aragón	-1750	-0,00650872677067959
1998	Mujeres	85	02	Aragón	3060	0,0113809736675883
1999	Hombres	85	02	Aragón	-1660	-0,00617399225104464
1999	Mujeres	85	02	Aragón	3124	0,0116190071037732
2000	Hombres	85	02	Aragón	-1789	-0,00665377839585474
2000	Mujeres	85	02	Aragón	3305	0,0122921954154835
2001	Hombres	85	02	Aragón	-1788	-0,00665005912341435
