Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	44035	Barrachina	49	0	16	9	11	6	5	0	2	49
1989	44036	Bea	17	1	0	0	8	4	1	1	2	16
1989	44037	Beceite	222	1	2	1	130	24	0	0	64	221
1989	44038	Belmonte de San José	114	0	0	0	73	10	0	0	31	114
1989	44039	Bello	96	0	1	23	1	70	0	0	1	96
1989	44040	Berge	85	0	5	1	66	9	2	1	1	85
1989	44041	Bezas	16	0	0	0	8	0	1	0	7	16
1989	44042	Blancas	51	0	0	0	7	41	0	2	1	51
1989	44043	Blesa	55	1	6	8	22	11	0	1	6	54
1989	44044	Bordón	47	0	38	0	2	1	4	0	2	47
1989	44045	Bronchales	75	0	0	0	7	40	1	0	27	75
1989	44046	Bueña	44	0	0	17	6	19	2	0	0	44
1989	44047	Burbáguena	250	1	56	44	62	28	19	28	12	249
1989	44048	Cabra de Mora	58	1	7	4	6	6	9	0	25	57
1989	44049	Calaceite	360	4	6	1	267	74	0	0	8	356
1989	44050	Calamocha	864	5	210	58	235	116	63	145	32	859
1989	44051	Calanda	402	6	0	0	3	390	1	0	2	396
1989	44052	Calomarde	25	0	0	0	4	17	0	0	4	25
1989	44053	Camañas	46	0	0	0	2	42	0	1	1	46
1989	44054	Camarena de la Sierra	210	0	0	0	48	0	1	0	161	210
1989	44055	Camarillas	70	1	3	24	0	6	2	33	1	69
1989	44056	Caminreal	150	1	4	4	112	27	0	0	2	149
1989	44059	Cantavieja	104	0	43	29	9	10	2	5	6	104
1989	44060	Cañada de Benatanduz	30	0	12	12	1	0	1	1	3	30
1989	44061	Cañada de Verich (La)	66	0	1	0	35	7	0	0	23	66
1989	44062	Cañada Vellida	26	0	0	1	1	22	0	1	1	26
1989	44063	Cañizar del Olivar	61	0	10	0	28	4	5	0	14	61
1989	44064	Cascante del Río	215	1	0	0	53	4	1	0	156	214
1989	44065	Castejón de Tornos	32	0	0	12	0	16	0	0	4	32
1989	44066	Castel de Cabra	50	0	1	0	39	4	0	1	5	50
1989	44067	Castelnou	31	0	1	2	0	26	0	1	1	31
1989	44068	Castelserás	149	0	2	0	83	59	3	1	1	149
1989	44070	Castellar (El)	42	0	22	8	0	2	6	2	2	42
1989	44071	Castellote	415	0	135	9	117	27	74	7	46	415
1989	44074	Cedrillas	152	4	39	72	3	16	8	8	2	148
1989	44075	Celadas	123	0	0	1	8	112	0	1	1	123
1989	44076	Cella	512	4	2	4	177	318	0	3	4	508
1989	44077	Cerollera (La)	56	0	0	0	39	0	0	0	17	56
1989	44080	Codoñera (La)	71	0	0	0	14	56	0	0	1	71
