Mes y año	'Aragón'	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
Mayo 2015	Aragón	Hombres	13215	1	Hasta 3 meses
Mayo 2015	Aragón	Hombres	6171	2	De 3 a 6 meses
Mayo 2015	Aragón	Hombres	7844	3	De 6 a 12 meses
Mayo 2015	Aragón	Hombres	6500	4	De 1 a 2 años
Mayo 2015	Aragón	Hombres	3326	5	De 2 a 3 años
Mayo 2015	Aragón	Hombres	6431	6	Más de 3 años
Mayo 2015	Aragón	Mujeres	13251	1	Hasta 3 meses
Mayo 2015	Aragón	Mujeres	7316	2	De 3 a 6 meses
Mayo 2015	Aragón	Mujeres	9111	3	De 6 a 12 meses
Mayo 2015	Aragón	Mujeres	8253	4	De 1 a 2 años
Mayo 2015	Aragón	Mujeres	4786	5	De 2 a 3 años
Mayo 2015	Aragón	Mujeres	9343	6	Más de 3 años
Abril 2015	Aragón	Hombres	14749	1	Hasta 3 meses
Abril 2015	Aragón	Hombres	7078	2	De 3 a 6 meses
Abril 2015	Aragón	Hombres	8098	3	De 6 a 12 meses
Abril 2015	Aragón	Hombres	6705	4	De 1 a 2 años
Abril 2015	Aragón	Hombres	3439	5	De 2 a 3 años
Abril 2015	Aragón	Hombres	6435	6	Más de 3 años
Abril 2015	Aragón	Mujeres	13861	1	Hasta 3 meses
Abril 2015	Aragón	Mujeres	7839	2	De 3 a 6 meses
Abril 2015	Aragón	Mujeres	8964	3	De 6 a 12 meses
Abril 2015	Aragón	Mujeres	8328	4	De 1 a 2 años
Abril 2015	Aragón	Mujeres	4878	5	De 2 a 3 años
Abril 2015	Aragón	Mujeres	9264	6	Más de 3 años
Marzo 2015	Aragón	Hombres	16131	1	Hasta 3 meses
Marzo 2015	Aragón	Hombres	7804	2	De 3 a 6 meses
Marzo 2015	Aragón	Hombres	7368	3	De 6 a 12 meses
Marzo 2015	Aragón	Hombres	7016	4	De 1 a 2 años
Marzo 2015	Aragón	Hombres	3489	5	De 2 a 3 años
Marzo 2015	Aragón	Hombres	6459	6	Más de 3 años
Marzo 2015	Aragón	Mujeres	15449	1	Hasta 3 meses
Marzo 2015	Aragón	Mujeres	7871	2	De 3 a 6 meses
Marzo 2015	Aragón	Mujeres	8101	3	De 6 a 12 meses
Marzo 2015	Aragón	Mujeres	8616	4	De 1 a 2 años
Marzo 2015	Aragón	Mujeres	4853	5	De 2 a 3 años
Marzo 2015	Aragón	Mujeres	9211	6	Más de 3 años
Febrero 2015	Aragón	Hombres	16069	1	Hasta 3 meses
Febrero 2015	Aragón	Hombres	8911	2	De 3 a 6 meses
Febrero 2015	Aragón	Hombres	6472	3	De 6 a 12 meses
Febrero 2015	Aragón	Hombres	7142	4	De 1 a 2 años
Febrero 2015	Aragón	Hombres	3550	5	De 2 a 3 años
Febrero 2015	Aragón	Hombres	6394	6	Más de 3 años
Febrero 2015	Aragón	Mujeres	15537	1	Hasta 3 meses
Febrero 2015	Aragón	Mujeres	9193	2	De 3 a 6 meses
Febrero 2015	Aragón	Mujeres	7017	3	De 6 a 12 meses
Febrero 2015	Aragón	Mujeres	8694	4	De 1 a 2 años
Febrero 2015	Aragón	Mujeres	4944	5	De 2 a 3 años
Febrero 2015	Aragón	Mujeres	9143	6	Más de 3 años
Enero 2015	Aragón	Hombres	16826	1	Hasta 3 meses
Enero 2015	Aragón	Hombres	8673	2	De 3 a 6 meses
Enero 2015	Aragón	Hombres	6234	3	De 6 a 12 meses
Enero 2015	Aragón	Hombres	7299	4	De 1 a 2 años
Enero 2015	Aragón	Hombres	3651	5	De 2 a 3 años
Enero 2015	Aragón	Hombres	6298	6	Más de 3 años
Enero 2015	Aragón	Mujeres	16100	1	Hasta 3 meses
Enero 2015	Aragón	Mujeres	8581	2	De 3 a 6 meses
Enero 2015	Aragón	Mujeres	6901	3	De 6 a 12 meses
Enero 2015	Aragón	Mujeres	8705	4	De 1 a 2 años
Enero 2015	Aragón	Mujeres	4990	5	De 2 a 3 años
Enero 2015	Aragón	Mujeres	9036	6	Más de 3 años
Diciembre 2014	Aragón	Hombres	18024	1	Hasta 3 meses
Diciembre 2014	Aragón	Hombres	7723	2	De 3 a 6 meses
Diciembre 2014	Aragón	Hombres	6038	3	De 6 a 12 meses
Diciembre 2014	Aragón	Hombres	7416	4	De 1 a 2 años
Diciembre 2014	Aragón	Hombres	3703	5	De 2 a 3 años
Diciembre 2014	Aragón	Hombres	6233	6	Más de 3 años
Diciembre 2014	Aragón	Mujeres	15382	1	Hasta 3 meses
Diciembre 2014	Aragón	Mujeres	7667	2	De 3 a 6 meses
Diciembre 2014	Aragón	Mujeres	6862	3	De 6 a 12 meses
Diciembre 2014	Aragón	Mujeres	8661	4	De 1 a 2 años
Diciembre 2014	Aragón	Mujeres	4991	5	De 2 a 3 años
Diciembre 2014	Aragón	Mujeres	8872	6	Más de 3 años
Noviembre 2014	Aragón	Hombres	19204	1	Hasta 3 meses
Noviembre 2014	Aragón	Hombres	6395	2	De 3 a 6 meses
Noviembre 2014	Aragón	Hombres	5977	3	De 6 a 12 meses
Noviembre 2014	Aragón	Hombres	7631	4	De 1 a 2 años
Noviembre 2014	Aragón	Hombres	3765	5	De 2 a 3 años
Noviembre 2014	Aragón	Hombres	6202	6	Más de 3 años
Noviembre 2014	Aragón	Mujeres	18490	1	Hasta 3 meses
Noviembre 2014	Aragón	Mujeres	6213	2	De 3 a 6 meses
Noviembre 2014	Aragón	Mujeres	6939	3	De 6 a 12 meses
Noviembre 2014	Aragón	Mujeres	8937	4	De 1 a 2 años
Noviembre 2014	Aragón	Mujeres	5095	5	De 2 a 3 años
Noviembre 2014	Aragón	Mujeres	8817	6	Más de 3 años
Octubre 2014	Aragón	Hombres	19866	1	Hasta 3 meses
Octubre 2014	Aragón	Hombres	6108	2	De 3 a 6 meses
Octubre 2014	Aragón	Hombres	6538	3	De 6 a 12 meses
Octubre 2014	Aragón	Hombres	7783	4	De 1 a 2 años
Octubre 2014	Aragón	Hombres	3922	5	De 2 a 3 años
Octubre 2014	Aragón	Hombres	6155	6	Más de 3 años
Octubre 2014	Aragón	Mujeres	18735	1	Hasta 3 meses
Octubre 2014	Aragón	Mujeres	6118	2	De 3 a 6 meses
Octubre 2014	Aragón	Mujeres	7298	3	De 6 a 12 meses
Octubre 2014	Aragón	Mujeres	9270	4	De 1 a 2 años
Octubre 2014	Aragón	Mujeres	5217	5	De 2 a 3 años
Octubre 2014	Aragón	Mujeres	8737	6	Más de 3 años
Septiembre 2014	Aragón	Hombres	18141	1	Hasta 3 meses
Septiembre 2014	Aragón	Hombres	5548	2	De 3 a 6 meses
Septiembre 2014	Aragón	Hombres	7357	3	De 6 a 12 meses
Septiembre 2014	Aragón	Hombres	7900	4	De 1 a 2 años
Septiembre 2014	Aragón	Hombres	4007	5	De 2 a 3 años
Septiembre 2014	Aragón	Hombres	6040	6	Más de 3 años
Septiembre 2014	Aragón	Mujeres	16968	1	Hasta 3 meses
Septiembre 2014	Aragón	Mujeres	5595	2	De 3 a 6 meses
Septiembre 2014	Aragón	Mujeres	8158	3	De 6 a 12 meses
Septiembre 2014	Aragón	Mujeres	9261	4	De 1 a 2 años
Septiembre 2014	Aragón	Mujeres	5330	5	De 2 a 3 años
Septiembre 2014	Aragón	Mujeres	8599	6	Más de 3 años
Agosto 2014	Aragón	Hombres	17224	1	Hasta 3 meses
Agosto 2014	Aragón	Hombres	5410	2	De 3 a 6 meses
Agosto 2014	Aragón	Hombres	8020	3	De 6 a 12 meses
Agosto 2014	Aragón	Hombres	8103	4	De 1 a 2 años
Agosto 2014	Aragón	Hombres	4108	5	De 2 a 3 años
Agosto 2014	Aragón	Hombres	5950	6	Más de 3 años
Agosto 2014	Aragón	Mujeres	16629	1	Hasta 3 meses
Agosto 2014	Aragón	Mujeres	5683	2	De 3 a 6 meses
Agosto 2014	Aragón	Mujeres	8778	3	De 6 a 12 meses
Agosto 2014	Aragón	Mujeres	9320	4	De 1 a 2 años
Agosto 2014	Aragón	Mujeres	5407	5	De 2 a 3 años
Agosto 2014	Aragón	Mujeres	8400	6	Más de 3 años
Julio 2014	Aragón	Hombres	16127	1	Hasta 3 meses
Julio 2014	Aragón	Hombres	5645	2	De 3 a 6 meses
Julio 2014	Aragón	Hombres	8415	3	De 6 a 12 meses
Julio 2014	Aragón	Hombres	8120	4	De 1 a 2 años
Julio 2014	Aragón	Hombres	4154	5	De 2 a 3 años
Julio 2014	Aragón	Hombres	5884	6	Más de 3 años
Julio 2014	Aragón	Mujeres	15842	1	Hasta 3 meses
Julio 2014	Aragón	Mujeres	5941	2	De 3 a 6 meses
Julio 2014	Aragón	Mujeres	8968	3	De 6 a 12 meses
Julio 2014	Aragón	Mujeres	9338	4	De 1 a 2 años
Julio 2014	Aragón	Mujeres	5442	5	De 2 a 3 años
Julio 2014	Aragón	Mujeres	8277	6	Más de 3 años
Junio 2014	Aragón	Hombres	14002	1	Hasta 3 meses
Junio 2014	Aragón	Hombres	6626	2	De 3 a 6 meses
Junio 2014	Aragón	Hombres	8536	3	De 6 a 12 meses
Junio 2014	Aragón	Hombres	8062	4	De 1 a 2 años
Junio 2014	Aragón	Hombres	4201	5	De 2 a 3 años
Junio 2014	Aragón	Hombres	5662	6	Más de 3 años
Junio 2014	Aragón	Mujeres	12968	1	Hasta 3 meses
Junio 2014	Aragón	Mujeres	7059	2	De 3 a 6 meses
Junio 2014	Aragón	Mujeres	8915	3	De 6 a 12 meses
Junio 2014	Aragón	Mujeres	9276	4	De 1 a 2 años
