Fuente y fecha	Año	Municipio código	Municipio nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2019                          )	2019	22215	Seira	374	111	2	12	58	3	17	144	27	0
Catastro (diciembre de 2019                          )	2019	22217	Sena	599	369	22	26	66	55	36	20	5	0
Catastro (diciembre de 2019                          )	2019	22218	Senés de Alcubierre	65	17	14	11	13	3	0	4	3	0
Catastro (diciembre de 2019                          )	2019	22220	Sesa	228	144	11	21	15	21	7	6	3	0
Catastro (diciembre de 2019                          )	2019	22221	Sesué	377	49	3	3	5	2	83	208	24	0
Catastro (diciembre de 2019                          )	2019	22222	Siétamo	621	184	52	57	54	56	93	121	4	0
Catastro (diciembre de 2019                          )	2019	22223	Sopeira	267	146	8	5	9	4	12	70	13	0
Catastro (diciembre de 2019                          )	2019	22225	Tamarite de Litera	2633	785	122	240	383	440	186	309	167	1
Catastro (diciembre de 2019                          )	2019	22226	Tardienta	925	342	27	72	113	222	38	88	20	3
Catastro (diciembre de 2019                          )	2019	22227	Tella-Sin	336	185	22	9	46	10	8	34	21	1
Catastro (diciembre de 2019                          )	2019	22228	Tierz	362	71	7	10	17	7	8	224	18	0
Catastro (diciembre de 2019                          )	2019	22229	Tolva	282	210	5	3	18	6	12	21	6	1
Catastro (diciembre de 2019                          )	2019	22230	Torla-Ordesa	559	266	1	8	9	170	29	64	11	1
Catastro (diciembre de 2019                          )	2019	22232	Torralba de Aragón	137	44	25	15	33	5	4	7	4	0
Catastro (diciembre de 2019                          )	2019	22233	Torre la Ribera	89	62	5	1	3	2	6	7	3	0
Catastro (diciembre de 2019                          )	2019	22234	Torrente de Cinca	711	316	12	59	79	94	51	81	13	6
Catastro (diciembre de 2019                          )	2019	22235	Torres de Alcanadre	138	94	1	7	19	3	5	8	1	0
Catastro (diciembre de 2019                          )	2019	22236	Torres de Barbués	208	29	12	128	20	9	1	4	4	1
Catastro (diciembre de 2019                          )	2019	22239	Tramaced	96	41	7	17	13	13	0	5	0	0
Catastro (diciembre de 2019                          )	2019	22242	Valfarta	89	69	1	2	8	3	0	5	1	0
Catastro (diciembre de 2019                          )	2019	22243	Valle de Bardají	44	34	0	0	4	2	0	4	0	0
Catastro (diciembre de 2019                          )	2019	22244	Valle de Lierp	142	52	1	2	0	4	8	71	4	0
Catastro (diciembre de 2019                          )	2019	22245	Velilla de Cinca	421	280	3	11	43	18	42	18	5	1
Catastro (diciembre de 2019                          )	2019	22246	Beranuy	154	93	5	8	13	10	8	14	3	0
Catastro (diciembre de 2019                          )	2019	22247	Viacamp y Litera	71	50	2	1	2	2	6	8	0	0
Catastro (diciembre de 2019                          )	2019	22248	Vicién	142	43	19	28	22	5	7	7	10	1
Catastro (diciembre de 2019                          )	2019	22249	Villanova	335	49	6	24	3	11	60	165	14	3
Catastro (diciembre de 2019                          )	2019	22250	Villanúa	3426	119	7	56	60	505	666	1938	55	20
Catastro (diciembre de 2019                          )	2019	22251	Villanueva de Sigena	397	194	16	24	59	53	22	19	9	1
Catastro (diciembre de 2019                          )	2019	22252	Yebra de Basa	178	113	4	3	9	12	4	17	16	0
Catastro (diciembre de 2019                          )	2019	22253	Yésero	114	44	10	13	9	18	7	13	0	0
Catastro (diciembre de 2019                          )	2019	22254	Zaidín	1266	558	21	90	231	162	90	88	26	0
Catastro (diciembre de 2019                          )	2019	22901	Valle de Hecho	1355	663	15	64	69	226	144	132	39	3
Catastro (diciembre de 2019                          )	2019	22902	Puente la Reina de Jaca	584	200	22	9	50	31	74	187	10	1
Catastro (diciembre de 2019                          )	2019	22903	San Miguel del Cinca	696	344	23	33	105	59	37	78	17	0
Catastro (diciembre de 2019                          )	2019	22904	Sotonera (La)	1356	974	21	26	76	77	55	96	25	6
Catastro (diciembre de 2019                          )	2019	22905	Lupiñén-Ortilla	483	191	108	78	42	12	6	38	8	0
Catastro (diciembre de 2019                          )	2019	22906	Santa María de Dulcis	226	163	3	0	17	4	17	15	7	0
Catastro (diciembre de 2019                          )	2019	22907	Aínsa-Sobrarbe	2620	588	64	88	104	431	322	939	83	1
Catastro (diciembre de 2019                          )	2019	22908	Hoz y Costeán	306	256	6	2	8	8	5	16	5	0
Catastro (diciembre de 2019                          )	2019	22909	Vencillón	195	0	1	117	8	27	11	27	4	0
Catastro (diciembre de 2019                          )	2019	44001	Ababuj	166	75	2	2	16	51	5	13	2	0
Catastro (diciembre de 2019                          )	2019	44002	Abejuela	264	237	2	2	5	11	4	3	0	0
Catastro (diciembre de 2019                          )	2019	44003	Aguatón	59	31	1	1	2	9	4	5	6	0
Catastro (diciembre de 2019                          )	2019	44004	Aguaviva	897	430	37	31	130	84	96	70	19	0
Catastro (diciembre de 2019                          )	2019	44005	Aguilar del Alfambra	201	94	9	5	15	25	11	7	33	2
Catastro (diciembre de 2019                          )	2019	44006	Alacón	586	181	11	13	150	166	38	24	3	0
Catastro (diciembre de 2019                          )	2019	44007	Alba	345	203	23	10	27	25	18	19	20	0
Catastro (diciembre de 2019                          )	2019	44008	Albalate del Arzobispo	2195	1247	12	37	154	334	212	128	63	8
Catastro (diciembre de 2019                          )	2019	44009	Albarracín	1202	501	36	82	138	186	76	145	38	0
Catastro (diciembre de 2019                          )	2019	44010	Albentosa	542	319	11	12	36	64	29	48	22	1
Catastro (diciembre de 2019                          )	2019	44011	Alcaine	305	133	0	16	76	42	23	10	5	0
Catastro (diciembre de 2019                          )	2019	44012	Alcalá de la Selva	2316	271	26	39	645	146	158	861	157	13
Catastro (diciembre de 2019                          )	2019	44013	Alcañiz	15701	1060	483	1150	2484	2221	3369	3985	937	12
Catastro (diciembre de 2019                          )	2019	44014	Alcorisa	3651	952	126	148	486	462	596	752	124	5
Catastro (diciembre de 2019                          )	2019	44016	Alfambra	665	210	35	56	136	136	27	41	21	3
Catastro (diciembre de 2019                          )	2019	44017	Aliaga	800	233	130	33	70	205	42	69	18	0
Catastro (diciembre de 2019                          )	2019	44018	Almohaja	87	76	1	2	0	1	0	4	1	2
Catastro (diciembre de 2019                          )	2019	44019	Alobras	173	93	7	9	7	10	14	17	12	4
Catastro (diciembre de 2019                          )	2019	44020	Alpeñés	65	23	1	2	2	17	11	4	5	0
Catastro (diciembre de 2019                          )	2019	44021	Allepuz	238	174	5	4	3	22	13	14	3	0
Catastro (diciembre de 2019                          )	2019	44022	Alloza	1082	652	41	21	80	126	68	65	19	10
Catastro (diciembre de 2019                          )	2019	44023	Allueva	81	35	0	0	4	27	4	4	7	0
Catastro (diciembre de 2019                          )	2019	44024	Anadón	107	60	0	1	5	26	8	5	2	0
Catastro (diciembre de 2019                          )	2019	44025	Andorra	6141	821	465	394	1319	1196	756	852	338	0
Catastro (diciembre de 2019                          )	2019	44026	Arcos de las Salinas	562	318	4	9	25	67	21	33	83	2
Catastro (diciembre de 2019                          )	2019	44027	Arens de Lledó	277	140	2	5	37	35	18	25	15	0
Catastro (diciembre de 2019                          )	2019	44028	Argente	312	184	10	13	49	29	6	9	11	1
Catastro (diciembre de 2019                          )	2019	44029	Ariño	919	488	94	16	51	179	68	17	6	0
Catastro (diciembre de 2019                          )	2019	44031	Azaila	266	199	13	11	10	13	4	12	4	0
Catastro (diciembre de 2019                          )	2019	44032	Bádenas	95	55	3	1	5	18	5	5	3	0
Catastro (diciembre de 2019                          )	2019	44033	Báguena	731	506	31	40	42	37	24	38	9	4
Catastro (diciembre de 2019                          )	2019	44034	Bañón	284	203	11	11	16	13	5	21	4	0
Catastro (diciembre de 2019                          )	2019	44035	Barrachina	270	95	5	12	41	68	10	35	4	0
Catastro (diciembre de 2019                          )	2019	44036	Bea	69	28	0	3	0	25	4	0	9	0
Catastro (diciembre de 2019                          )	2019	44037	Beceite	803	424	19	21	54	116	35	115	18	1
Catastro (diciembre de 2019                          )	2019	44038	Belmonte de San José	281	214	2	5	10	17	11	11	11	0
