Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción colectiva	Electricidad	12
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción colectiva	Derivados del petróleo	674
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción colectiva	Madera	21
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción colectiva	Derivados del carbón	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción colectiva	Otros	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción individual	Gas	269
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción individual	Electricidad	182
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción individual	Derivados del petróleo	1888
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción individual	Madera	144
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción individual	Derivados del carbón	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción individual	Otros	13
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	465
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	330
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	134
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	303
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	9
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin calefacción	Sin ningún medio	 No aplicable	346
20	Comunidad de Calatayud	Con calefacción	Con calefacción colectiva	Gas	298
20	Comunidad de Calatayud	Con calefacción	Con calefacción colectiva	Electricidad	279
20	Comunidad de Calatayud	Con calefacción	Con calefacción colectiva	Derivados del petróleo	2382
20	Comunidad de Calatayud	Con calefacción	Con calefacción colectiva	Madera	40
20	Comunidad de Calatayud	Con calefacción	Con calefacción colectiva	Derivados del carbón	143
20	Comunidad de Calatayud	Con calefacción	Con calefacción colectiva	Otros	18
20	Comunidad de Calatayud	Con calefacción	Con calefacción individual	Gas	1273
20	Comunidad de Calatayud	Con calefacción	Con calefacción individual	Electricidad	1199
20	Comunidad de Calatayud	Con calefacción	Con calefacción individual	Derivados del petróleo	3287
20	Comunidad de Calatayud	Con calefacción	Con calefacción individual	Madera	691
20	Comunidad de Calatayud	Con calefacción	Con calefacción individual	Derivados del carbón	97
20	Comunidad de Calatayud	Con calefacción	Con calefacción individual	Otros	37
20	Comunidad de Calatayud	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	1297
20	Comunidad de Calatayud	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	1292
20	Comunidad de Calatayud	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	347
20	Comunidad de Calatayud	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	1438
20	Comunidad de Calatayud	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	51
20	Comunidad de Calatayud	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	17
20	Comunidad de Calatayud	Sin calefacción	Sin ningún medio	 No aplicable	1074
21	Campo de Cariñena	Con calefacción	Con calefacción colectiva	Gas	12
21	Campo de Cariñena	Con calefacción	Con calefacción colectiva	Electricidad	5
21	Campo de Cariñena	Con calefacción	Con calefacción colectiva	Derivados del petróleo	260
21	Campo de Cariñena	Con calefacción	Con calefacción colectiva	Madera	3
21	Campo de Cariñena	Con calefacción	Con calefacción colectiva	Derivados del carbón	3
21	Campo de Cariñena	Con calefacción	Con calefacción colectiva	Otros	2
21	Campo de Cariñena	Con calefacción	Con calefacción individual	Gas	198
21	Campo de Cariñena	Con calefacción	Con calefacción individual	Electricidad	320
21	Campo de Cariñena	Con calefacción	Con calefacción individual	Derivados del petróleo	1372
21	Campo de Cariñena	Con calefacción	Con calefacción individual	Madera	137
21	Campo de Cariñena	Con calefacción	Con calefacción individual	Derivados del carbón	3
21	Campo de Cariñena	Con calefacción	Con calefacción individual	Otros	4
21	Campo de Cariñena	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	271
21	Campo de Cariñena	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	428
21	Campo de Cariñena	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	71
21	Campo de Cariñena	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	252
