Municipio código	Municipio nombre	Plantas sobre rasante	Número de edificios
50131	Jaulín	03	31
50132	Joyosa (La)	01	47
50132	Joyosa (La)	02	125
50132	Joyosa (La)	03	24
50132	Joyosa (La)	04	1
50133	Lagata	01	39
50133	Lagata	02	93
50133	Lagata	03	17
50134	Langa del Castillo	01	51
50134	Langa del Castillo	02	111
50134	Langa del Castillo	03	35
50135	Layana	01	48
50135	Layana	02	44
50135	Layana	03	21
50135	Layana	04	2
50136	Lécera	01	84
50136	Lécera	02	273
50136	Lécera	03	263
50136	Lécera	04	1
50137	Leciñena	01	92
50137	Leciñena	02	358
50137	Leciñena	03	29
50138	Lechón	01	5
50138	Lechón	02	27
50138	Lechón	03	5
50139	Letux	01	35
50139	Letux	02	179
50139	Letux	03	131
50140	Litago	01	35
50140	Litago	02	65
50140	Litago	03	56
50141	Lituénigo	01	3
50141	Lituénigo	02	15
50141	Lituénigo	03	59
50142	Lobera de Onsella	01	6
50142	Lobera de Onsella	02	21
50142	Lobera de Onsella	03	6
50143	Longares	01	152
50143	Longares	02	176
50143	Longares	03	7
50143	Longares	04	1
50144	Longás	01	3
50144	Longás	02	32
50144	Longás	03	10
50146	Lucena de Jalón	01	55
50146	Lucena de Jalón	02	46
50146	Lucena de Jalón	03	42
50147	Luceni	01	209
50147	Luceni	02	293
50147	Luceni	03	18
50147	Luceni	05	1
50148	Luesia	01	19
50148	Luesia	02	193
50148	Luesia	03	39
50149	Luesma	01	19
50149	Luesma	02	38
50150	Lumpiaque	01	166
50150	Lumpiaque	02	380
50150	Lumpiaque	03	14
50151	Luna	01	352
50151	Luna	02	161
50151	Luna	03	22
50151	Luna	04	5
50152	Maella	01	361
50152	Maella	02	219
50152	Maella	03	500
50152	Maella	04	9
50152	Maella	05	3
50153	Magallón	01	70
50153	Magallón	02	338
50153	Magallón	03	224
50153	Magallón	04	3
50154	Mainar	01	27
50154	Mainar	02	43
50154	Mainar	03	61
50155	Malanquilla	01	18
50155	Malanquilla	02	25
50155	Malanquilla	03	76
50156	Maleján	01	68
50156	Maleján	02	96
50156	Maleján	03	5
50156	Maleján	04	1
50157	Malón	01	77
50157	Malón	02	166
50157	Malón	03	53
50159	Maluenda	01	496
50159	Maluenda	02	30
50159	Maluenda	03	9
50159	Maluenda	04	1
50159	Maluenda	05	1
50160	Mallén	01	204
50160	Mallén	02	787
50160	Mallén	03	211
50160	Mallén	04	6
50161	Manchones	01	26
50161	Manchones	02	52
50161	Manchones	03	78
50162	Mara	01	34
50162	Mara	02	58
50162	Mara	03	95
50162	Mara	04	1
50162	Mara	05	1
50163	María de Huerva	01	500
50163	María de Huerva	02	142
50163	María de Huerva	03	10
50163	María de Huerva	04	2
50164	Mediana de Aragón	01	31
50164	Mediana de Aragón	02	186
50164	Mediana de Aragón	03	6
50165	Mequinenza	01	460
50165	Mequinenza	02	418
50165	Mequinenza	03	54
50165	Mequinenza	04	1
50166	Mesones de Isuela	01	84
50166	Mesones de Isuela	02	136
50166	Mesones de Isuela	03	22
50167	Mezalocha	01	147
50167	Mezalocha	02	6
50168	Mianos	01	5
50168	Mianos	02	21
50168	Mianos	03	10
50169	Miedes de Aragón	01	53
50169	Miedes de Aragón	02	109
50169	Miedes de Aragón	03	148
50169	Miedes de Aragón	04	1
50170	Monegrillo	01	74
50170	Monegrillo	02	119
50170	Monegrillo	03	25
50171	Moneva	01	32
50171	Moneva	02	69
50171	Moneva	03	44
50172	Monreal de Ariza	01	151
50172	Monreal de Ariza	02	25
50172	Monreal de Ariza	03	3
50173	Monterde	01	36
50173	Monterde	02	170
50173	Monterde	03	56
50173	Monterde	04	1
50174	Montón	01	19
50174	Montón	02	118
50174	Montón	03	7
50175	Morata de Jalón	01	208
50175	Morata de Jalón	02	286
50175	Morata de Jalón	03	328
50175	Morata de Jalón	04	16
50176	Morata de Jiloca	01	43
50176	Morata de Jiloca	02	158
50176	Morata de Jiloca	03	36
50177	Morés	01	77
50177	Morés	02	122
50177	Morés	03	159
50177	Morés	04	2
50178	Moros	01	69
50178	Moros	02	303
50178	Moros	03	40
50178	Moros	04	1
50179	Moyuela	01	41
50179	Moyuela	02	6
50179	Moyuela	03	190
50180	Mozota	01	58
50180	Mozota	02	49
50180	Mozota	03	38
50181	Muel	01	319
50181	Muel	02	137
50181	Muel	03	72
50181	Muel	04	2
50182	Muela (La)	01	536
50182	Muela (La)	02	601
50182	Muela (La)	03	29
50183	Munébrega	01	27
50183	Munébrega	02	150
50183	Munébrega	03	141
50184	Murero	01	17
50184	Murero	02	104
50184	Murero	03	39
50185	Murillo de Gállego	01	30
50185	Murillo de Gállego	02	99
50185	Murillo de Gállego	03	9
50186	Navardún	01	5
50186	Navardún	02	19
50186	Navardún	03	17
50187	Nigüella	01	26
50187	Nigüella	02	51
50187	Nigüella	03	6
50188	Nombrevilla	01	10
50188	Nombrevilla	02	39
50188	Nombrevilla	03	5
50189	Nonaspe	01	675
50189	Nonaspe	02	21
50189	Nonaspe	03	8
50189	Nonaspe	04	4
50189	Nonaspe	05	2
50190	Novallas	01	57
50190	Novallas	02	277
50190	Novallas	03	133
50190	Novallas	04	4
50191	Novillas	01	115
50191	Novillas	02	143
50191	Novillas	03	54
50192	Nuévalos	01	47
50192	Nuévalos	02	177
50192	Nuévalos	03	25
50192	Nuévalos	04	2
50193	Nuez de Ebro	01	245
50193	Nuez de Ebro	02	94
50193	Nuez de Ebro	03	4
50194	Olvés	01	191
50194	Olvés	02	1
50195	Orcajo	01	6
50195	Orcajo	02	54
50195	Orcajo	03	4
50196	Orera	01	27
50196	Orera	02	29
50196	Orera	03	40
50197	Orés	01	31
50197	Orés	02	54
50197	Orés	03	28
50198	Oseja	01	1
50198	Oseja	02	70
50198	Oseja	03	4
50199	Osera de Ebro	01	168
50199	Osera de Ebro	02	89
50199	Osera de Ebro	03	12
50199	Osera de Ebro	04	1
50200	Paniza	01	31
50200	Paniza	02	254
50200	Paniza	03	94
50201	Paracuellos de Jiloca	01	128
50201	Paracuellos de Jiloca	02	117
50201	Paracuellos de Jiloca	03	23
50202	Paracuellos de la Ribera	01	76
50202	Paracuellos de la Ribera	02	292
50202	Paracuellos de la Ribera	03	4
50203	Pastriz	01	87
50203	Pastriz	02	221
50203	Pastriz	03	64
50203	Pastriz	04	1
50204	Pedrola	01	354
50204	Pedrola	02	616
50204	Pedrola	03	68
50204	Pedrola	04	13
50204	Pedrola	05	2
50205	Pedrosas (Las)	01	5
50205	Pedrosas (Las)	02	60
50205	Pedrosas (Las)	03	4
50206	Perdiguera	01	50
50206	Perdiguera	02	200
50206	Perdiguera	03	8
50207	Piedratajada	01	41
50207	Piedratajada	02	50
50207	Piedratajada	03	3
50208	Pina de Ebro	01	256
50208	Pina de Ebro	02	434
50208	Pina de Ebro	03	200
50208	Pina de Ebro	04	11
50208	Pina de Ebro	05	5
50209	Pinseque	01	430
50209	Pinseque	02	553
50209	Pinseque	03	63
50210	Pintanos (Los)	01	11
50210	Pintanos (Los)	02	47
50210	Pintanos (Los)	03	7
50211	Plasencia de Jalón	01	87
50211	Plasencia de Jalón	02	39
50211	Plasencia de Jalón	03	65
50212	Pleitas	01	11
50212	Pleitas	02	38
50212	Pleitas	03	6
50213	Plenas	01	35
50213	Plenas	02	87
50213	Plenas	03	60
50214	Pomer	01	10
50214	Pomer	02	27
50214	Pomer	03	48
50215	Pozuel de Ariza	01	4
50215	Pozuel de Ariza	02	34
50215	Pozuel de Ariza	03	67
50216	Pozuelo de Aragón	01	23
50216	Pozuelo de Aragón	02	65
50216	Pozuelo de Aragón	03	74
50217	Pradilla de Ebro	01	45
50217	Pradilla de Ebro	02	177
50217	Pradilla de Ebro	03	82
50218	Puebla de Albortón	01	55
50218	Puebla de Albortón	02	39
50219	Puebla de Alfindén (La)	01	754
50219	Puebla de Alfindén (La)	02	405
50219	Puebla de Alfindén (La)	03	258
50219	Puebla de Alfindén (La)	04	4
50219	Puebla de Alfindén (La)	05	3
50220	Puendeluna	01	40
50220	Puendeluna	02	24
50220	Puendeluna	03	3
50221	Purujosa	01	31
50221	Purujosa	02	1
50222	Quinto	01	205
50222	Quinto	02	711
50222	Quinto	03	63
50222	Quinto	04	4
50223	Remolinos	01	148
50223	Remolinos	02	297
50223	Remolinos	03	49
50223	Remolinos	04	4
50224	Retascón	01	19
50224	Retascón	02	71
50224	Retascón	03	3
50225	Ricla	01	212
50225	Ricla	02	541
50225	Ricla	03	111
50227	Romanos	01	6
50227	Romanos	02	81
50227	Romanos	03	9
50228	Rueda de Jalón	01	66
50228	Rueda de Jalón	02	138
50228	Rueda de Jalón	03	3
50229	Ruesca	01	5
50229	Ruesca	02	26
50229	Ruesca	03	29
50230	Sádaba	01	306
50230	Sádaba	02	323
50230	Sádaba	03	70
50230	Sádaba	04	12
50231	Salillas de Jalón	01	46
50231	Salillas de Jalón	02	141
50231	Salillas de Jalón	03	6
50232	Salvatierra de Esca	01	31
50232	Salvatierra de Esca	02	155
50232	Salvatierra de Esca	03	41
50233	Samper del Salz	01	34
50233	Samper del Salz	02	80
50233	Samper del Salz	03	3
50234	San Martín de la Virgen de Moncayo	01	93
50234	San Martín de la Virgen de Moncayo	02	16
50234	San Martín de la Virgen de Moncayo	03	11
50234	San Martín de la Virgen de Moncayo	04	2
50235	San Mateo de Gállego	01	459
50235	San Mateo de Gállego	02	508
50235	San Mateo de Gállego	03	42
50235	San Mateo de Gállego	04	7
50235	San Mateo de Gállego	05	1
50236	Santa Cruz de Grío	01	33
50236	Santa Cruz de Grío	02	63
50236	Santa Cruz de Grío	03	44
50237	Santa Cruz de Moncayo	01	33
50237	Santa Cruz de Moncayo	02	52
50237	Santa Cruz de Moncayo	03	24
50238	Santa Eulalia de Gállego	01	24
50238	Santa Eulalia de Gállego	02	51
50238	Santa Eulalia de Gállego	03	34
50239	Santed	01	6
50239	Santed	02	41
50239	Santed	03	29
50240	Sástago	01	425
50240	Sástago	02	291
50240	Sástago	03	20
50240	Sástago	04	4
50240	Sástago	05	1
50241	Saviñán	01	126
50241	Saviñán	02	284
50241	Saviñán	03	42
50241	Saviñán	04	1
50242	Sediles	01	4
50242	Sediles	02	15
50242	Sediles	03	28
50243	Sestrica	01	83
50243	Sestrica	02	119
50243	Sestrica	03	117
50244	Sierra de Luna	01	12
50244	Sierra de Luna	02	125
50244	Sierra de Luna	03	27
50245	Sigüés	01	13
50245	Sigüés	02	65
50245	Sigüés	03	34
50245	Sigüés	04	1
50246	Sisamón	01	39
50246	Sisamón	02	48
50246	Sisamón	03	83
50247	Sobradiel	01	84
50247	Sobradiel	02	169
50247	Sobradiel	03	34
50248	Sos del Rey Católico	01	170
50248	Sos del Rey Católico	02	246
50248	Sos del Rey Católico	03	31
50248	Sos del Rey Católico	04	6
50249	Tabuenca	01	116
50249	Tabuenca	02	196
50249	Tabuenca	03	6
50250	Talamantes	01	8
50250	Talamantes	02	63
50250	Talamantes	03	12
50251	Tarazona	01	390
50251	Tarazona	02	838
50251	Tarazona	03	575
50251	Tarazona	04	198
50251	Tarazona	05	169
50251	Tarazona	06	27
50251	Tarazona	07	2
50251	Tarazona	08	1
50251	Tarazona	10 o más	1
50252	Tauste	01	717
50252	Tauste	02	953
50252	Tauste	03	188
50252	Tauste	04	79
50252	Tauste	05	38
50252	Tauste	06	7
50252	Tauste	07	1
50253	Terrer	01	239
50253	Terrer	02	18
50253	Terrer	03	18
50253	Terrer	04	4
50254	Tierga	01	8
50254	Tierga	02	122
50254	Tierga	03	1
50255	Tobed	01	35
50255	Tobed	02	103
50255	Tobed	03	129
50256	Torralba de los Frailes	01	40
50256	Torralba de los Frailes	02	143
50256	Torralba de los Frailes	03	3
50257	Torralba de Ribota	01	15
50257	Torralba de Ribota	02	109
50257	Torralba de Ribota	03	30
50258	Torralbilla	01	53
50258	Torralbilla	02	73
50258	Torralbilla	03	7
50259	Torrehermosa	01	2
50259	Torrehermosa	02	63
50259	Torrehermosa	03	45
50260	Torrelapaja	01	14
50260	Torrelapaja	02	46
50260	Torrelapaja	03	27
50261	Torrellas	01	33
50261	Torrellas	02	88
50261	Torrellas	03	74
50262	Torres de Berrellén	01	117
50262	Torres de Berrellén	02	326
50262	Torres de Berrellén	03	85
50262	Torres de Berrellén	04	5
50262	Torres de Berrellén	05	1
50263	Torrijo de la Cañada	01	308
50263	Torrijo de la Cañada	02	33
50263	Torrijo de la Cañada	03	67
50264	Tosos	01	37
50264	Tosos	02	98
50264	Tosos	03	91
50265	Trasmoz	01	14
50265	Trasmoz	02	37
50265	Trasmoz	03	32
50266	Trasobares	01	99
50266	Trasobares	02	98
50266	Trasobares	03	7
50267	Uncastillo	01	22
50267	Uncastillo	02	261
50267	Uncastillo	03	113
50267	Uncastillo	04	8
50268	Undués de Lerda	01	5
50268	Undués de Lerda	02	34
50268	Undués de Lerda	03	7
50269	Urrea de Jalón	01	70
50269	Urrea de Jalón	02	71
50269	Urrea de Jalón	03	96
50270	Urriés	01	7
50270	Urriés	02	44
50270	Urriés	03	21
50271	Used	01	18
50271	Used	02	109
50271	Used	03	194
50272	Utebo	01	669
50272	Utebo	02	457
50272	Utebo	03	527
50272	Utebo	04	219
50272	Utebo	05	67
50272	Utebo	06	2
50273	Valdehorna	01	3
50273	Valdehorna	02	35
50273	Valdehorna	03	13
50274	Val de San Martín	01	11
50274	Val de San Martín	02	76
50274	Val de San Martín	03	9
50275	Valmadrid	01	24
50275	Valmadrid	02	52
50275	Valmadrid	03	2
50276	Valpalmas	01	69
50276	Valpalmas	02	51
50276	Valpalmas	03	7
50277	Valtorres	01	3
50277	Valtorres	02	23
50277	Valtorres	03	56
50278	Velilla de Ebro	01	32
50278	Velilla de Ebro	02	89
50278	Velilla de Ebro	03	119
50279	Velilla de Jiloca	01	12
50279	Velilla de Jiloca	02	37
50279	Velilla de Jiloca	03	70
50280	Vera de Moncayo	01	48
50280	Vera de Moncayo	02	176
50280	Vera de Moncayo	03	110
50281	Vierlas	01	22
50281	Vierlas	02	40
50281	Vierlas	03	18
50282	Vilueña (La)	01	10
50282	Vilueña (La)	02	27
50282	Vilueña (La)	03	22
50283	Villadoz	01	14
50283	Villadoz	02	29
50283	Villadoz	03	35
50284	Villafeliche	01	52
50284	Villafeliche	02	155
50284	Villafeliche	03	56
50285	Villafranca de Ebro	01	187
50285	Villafranca de Ebro	02	102
50285	Villafranca de Ebro	03	4
50285	Villafranca de Ebro	04	1
50286	Villalba de Perejil	01	29
50286	Villalba de Perejil	02	19
50287	Villalengua	01	15
50287	Villalengua	02	5
50287	Villalengua	03	288
50288	Villanueva de Gállego	01	273
50288	Villanueva de Gállego	02	514
50288	Villanueva de Gállego	03	271
50288	Villanueva de Gállego	04	11
50288	Villanueva de Gállego	05	4
50288	Villanueva de Gállego	06	1
50289	Villanueva de Jiloca	01	25
50289	Villanueva de Jiloca	02	94
50289	Villanueva de Jiloca	03	11
50290	Villanueva de Huerva	01	118
50290	Villanueva de Huerva	02	248
50290	Villanueva de Huerva	03	32
50291	Villar de los Navarros	01	26
50291	Villar de los Navarros	02	87
50291	Villar de los Navarros	03	80
50292	Villarreal de Huerva	01	15
50292	Villarreal de Huerva	02	71
50292	Villarreal de Huerva	03	47
50293	Villarroya de la Sierra	01	172
50293	Villarroya de la Sierra	02	259
50293	Villarroya de la Sierra	03	26
50293	Villarroya de la Sierra	04	4
50294	Villarroya del Campo	01	7
50294	Villarroya del Campo	02	27
50294	Villarroya del Campo	03	35
50295	Vistabella	01	15
50295	Vistabella	02	140
50295	Vistabella	03	10
50296	Zaida (La)	01	289
50296	Zaida (La)	02	8
50296	Zaida (La)	03	1
50297	Zaragoza	01	7958
50297	Zaragoza	02	8589
50297	Zaragoza	03	3867
50297	Zaragoza	04	2746
50297	Zaragoza	05	5047
50297	Zaragoza	06	1782
50297	Zaragoza	07	1185
50297	Zaragoza	08	1660
50297	Zaragoza	09	766
50297	Zaragoza	10 o más	1766
50298	Zuera	01	685
50298	Zuera	02	1231
50298	Zuera	03	122
50298	Zuera	04	44
50298	Zuera	05	8
50298	Zuera	06	3
50298	Zuera	07	1
50901	Biel	01	23
50901	Biel	02	104
50901	Biel	03	45
50901	Biel	04	2
50902	Marracos	01	44
50902	Marracos	02	24
50902	Marracos	03	5
