Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuya gestión se lleva por el titular de la misma	Explotaciones cuya gestión se lleva por un miembro de la familia, no titular	Explotaciones cuya gestión se lleva por otra persona
1999	50017	Alfajarín	193	182	172	9	1
1999	50018	Alfamén	394	369	288	81	0
1999	50019	Alforque	13	11	9	2	0
1999	50020	Alhama de Aragón	68	59	59	0	0
1999	50021	Almochuel	17	16	14	2	0
1999	50022	Almolda (La)	220	203	202	1	0
1999	50023	Almonacid de la Cuba	107	106	97	9	0
1999	50024	Almonacid de la Sierra	374	361	348	13	0
1999	50025	Almunia de Doña Godina (La)	712	670	590	76	4
1999	50026	Alpartir	258	250	205	45	0
1999	50027	Ambel	207	198	193	5	0
1999	50028	Anento	46	42	40	2	0
1999	50029	Aniñón	354	352	347	4	1
1999	50030	Añón de Moncayo	55	51	46	5	0
1999	50031	Aranda de Moncayo	108	102	99	3	0
1999	50032	Arándiga	169	163	156	7	0
1999	50033	Ardisa	22	19	18	1	0
1999	50034	Ariza	121	109	101	7	1
1999	50035	Artieda	18	14	13	1	0
1999	50036	Asín	26	24	23	1	0
1999	50037	Atea	138	135	131	4	0
1999	50038	Ateca	246	240	221	19	0
1999	50039	Azuara	168	160	149	11	0
1999	50040	Badules	40	39	38	0	1
1999	50041	Bagüés	8	5	5	0	0
1999	50042	Balconchán	30	27	25	2	0
1999	50043	Bárboles	83	71	70	1	0
1999	50044	Bardallur	88	83	75	7	1
1999	50045	Belchite	488	474	419	54	1
1999	50046	Belmonte de Gracián	95	91	90	1	0
1999	50047	Berdejo	11	9	9	0	0
1999	50048	Berrueco	20	19	17	2	0
1999	50050	Bijuesca	29	25	22	3	0
1999	50051	Biota	232	200	185	14	1
1999	50052	Bisimbre	37	33	31	1	1
1999	50053	Boquiñeni	159	148	144	4	0
1999	50054	Bordalba	20	18	18	0	0
1999	50055	Borja	609	591	572	18	1
1999	50056	Botorrita	42	39	33	6	0
1999	50057	Brea de Aragón	118	117	112	5	0
1999	50058	Bubierca	37	32	32	0	0
1999	50059	Bujaraloz	176	162	141	20	1
1999	50060	Bulbuente	148	144	139	5	0
1999	50061	Bureta	87	85	82	3	0
1999	50062	Burgo de Ebro (El)	108	98	93	5	0
1999	50063	Buste (El)	27	27	19	8	0
1999	50064	Cabañas de Ebro	95	89	86	3	0
1999	50065	Cabolafuente	19	18	17	1	0
1999	50066	Cadrete	34	32	32	0	0
1999	50067	Calatayud	491	465	459	6	0
1999	50068	Calatorao	485	462	423	38	1
1999	50069	Calcena	20	18	17	1	0
1999	50070	Calmarza	25	23	22	1	0
1999	50071	Campillo de Aragón	43	42	40	2	0
1999	50072	Carenas	42	40	34	6	0
1999	50073	Cariñena	649	622	538	83	1
1999	50074	Caspe	985	928	914	12	2
1999	50075	Castejón de Alarba	54	51	51	0	0
1999	50076	Castejón de las Armas	36	35	34	1	0
1999	50077	Castejón de Valdejasa	128	123	122	1	0
1999	50078	Castiliscar	112	105	93	9	3
1999	50079	Cervera de la Cañada	143	142	140	2	0
1999	50080	Cerveruela	8	6	6	0	0
1999	50081	Cetina	79	74	74	0	0
1999	50082	Cimballa	37	34	34	0	0
1999	50083	Cinco Olivas	15	12	12	0	0
1999	50084	Clarés de Ribota	68	68	64	4	0
1999	50085	Codo	29	27	25	2	0
1999	50086	Codos	121	118	109	9	0
1999	50087	Contamina	17	16	16	0	0
1999	50088	Cosuenda	253	249	220	29	0
1999	50089	Cuarte de Huerva	14	12	12	0	0
1999	50090	Cubel	73	71	67	3	1
1999	50091	Cuerlas (Las)	39	37	36	1	0
1999	50092	Chiprana	53	45	44	1	0
1999	50093	Chodes	71	70	63	7	0
1999	50094	Daroca	263	255	244	11	0
1999	50095	Ejea de los Caballeros	1445	1245	1187	50	8
1999	50096	Embid de Ariza	23	21	20	1	0
1999	50098	Encinacorba	168	164	149	15	0
1999	50099	Épila	615	571	502	68	1
1999	50100	Erla	47	39	35	2	2
1999	50101	Escatrón	179	171	161	10	0
1999	50102	Fabara	319	292	288	4	0
1999	50104	Farlete	106	97	94	3	0
1999	50105	Fayón	123	122	119	3	0
1999	50106	Fayos (Los)	52	51	48	3	0
1999	50107	Figueruelas	98	91	89	2	0
1999	50108	Fombuena	8	5	5	0	0
1999	50109	Frago (El)	20	18	18	0	0
1999	50110	Frasno (El)	293	290	273	17	0
1999	50111	Fréscano	50	43	41	2	0
1999	50113	Fuendejalón	332	324	312	11	1
1999	50114	Fuendetodos	42	41	33	8	0
1999	50115	Fuentes de Ebro	568	536	500	35	1
1999	50116	Fuentes de Jiloca	82	76	76	0	0
1999	50117	Gallocanta	36	34	32	1	1
1999	50118	Gallur	292	279	265	13	1
1999	50119	Gelsa	213	195	193	2	0
1999	50120	Godojos	50	47	46	1	0
1999	50121	Gotor	113	110	100	10	0
1999	50122	Grisel	48	47	44	3	0
1999	50123	Grisén	47	43	42	1	0
1999	50124	Herrera de los Navarros	164	158	129	29	0
1999	50125	Ibdes	176	169	163	6	0
1999	50126	Illueca	247	244	235	9	0
1999	50128	Isuerre	23	20	19	1	0
1999	50129	Jaraba	44	41	39	2	0
1999	50130	Jarque de Moncayo	199	195	188	7	0
1999	50131	Jaulín	39	34	28	6	0
1999	50132	Joyosa (La)	46	39	35	4	0
1999	50133	Lagata	42	40	37	3	0
1999	50134	Langa del Castillo	89	87	83	2	2
1999	50135	Layana	7	4	3	0	1
1999	50136	Lécera	202	195	187	8	0
1999	50137	Leciñena	296	271	219	46	6
1999	50138	Lechón	14	13	12	0	1
1999	50139	Letux	127	122	101	21	0
1999	50140	Litago	49	48	45	3	0
1999	50141	Lituénigo	96	94	60	34	0
1999	50142	Lobera de Onsella	40	36	33	3	0
1999	50143	Longares	257	252	231	20	1
1999	50144	Longás	23	19	19	0	0
1999	50146	Lucena de Jalón	53	46	44	2	0
1999	50147	Luceni	143	133	124	9	0
1999	50148	Luesia	77	71	69	2	0
1999	50149	Luesma	11	7	7	0	0
1999	50150	Lumpiaque	173	169	154	15	0
1999	50151	Luna	354	324	320	3	1
1999	50152	Maella	576	552	543	9	0
1999	50153	Magallón	344	330	324	6	0
1999	50154	Mainar	36	33	33	0	0
1999	50155	Malanquilla	29	28	25	1	2
1999	50156	Maleján	0	0	0	0	0
1999	50157	Malón	88	84	76	8	0
1999	50159	Maluenda	245	242	240	2	0
1999	50160	Mallén	310	303	297	6	0
1999	50161	Manchones	63	60	59	1	0
1999	50162	Mara	90	89	87	2	0
1999	50163	María de Huerva	64	55	51	4	0
1999	50164	Mediana de Aragón	96	88	85	3	0
1999	50165	Mequinenza	422	411	385	26	0
1999	50166	Mesones de Isuela	118	115	113	2	0
1999	50167	Mezalocha	98	97	81	16	0
1999	50168	Mianos	17	15	14	1	0
1999	50169	Miedes de Aragón	154	151	143	8	0
1999	50170	Monegrillo	156	145	109	26	10
1999	50171	Moneva	56	53	47	5	1
1999	50172	Monreal de Ariza	69	63	58	4	1
1999	50173	Monterde	62	60	59	1	0
1999	50174	Montón	33	30	28	2	0
1999	50175	Morata de Jalón	358	352	320	32	0
1999	50176	Morata de Jiloca	91	87	82	5	0
1999	50177	Morés	141	136	127	8	1
1999	50178	Moros	218	214	208	6	0
1999	50179	Moyuela	85	79	66	13	0
1999	50180	Mozota	17	16	14	2	0
1999	50181	Muel	212	204	142	61	1
1999	50182	Muela (La)	204	192	170	22	0
1999	50183	Munébrega	209	204	190	14	0
1999	50184	Murero	64	61	59	2	0
1999	50185	Murillo de Gállego	42	39	39	0	0
1999	50186	Navardún	38	33	31	2	0
1999	50187	Nigüella	35	33	33	0	0
1999	50188	Nombrevilla	16	15	14	1	0
1999	50189	Nonaspe	233	225	220	5	0
1999	50190	Novallas	215	211	166	36	9
1999	50191	Novillas	226	212	200	12	0
1999	50192	Nuévalos	23	19	19	0	0
1999	50193	Nuez de Ebro	40	37	34	2	1
1999	50194	Olvés	65	64	61	3	0
1999	50195	Orcajo	44	43	40	3	0
1999	50196	Orera	64	63	59	4	0
1999	50197	Orés	50	44	41	2	1
1999	50198	Oseja	26	25	23	2	0
1999	50199	Osera de Ebro	42	34	34	0	0
1999	50200	Paniza	273	269	233	36	0
1999	50201	Paracuellos de Jiloca	157	149	147	2	0
1999	50202	Paracuellos de la Ribera	145	143	130	12	1
1999	50203	Pastriz	95	89	85	4	0
1999	50204	Pedrola	324	303	297	6	0
1999	50205	Pedrosas (Las)	26	24	22	2	0
1999	50206	Perdiguera	106	99	81	17	1
1999	50207	Piedratajada	23	21	20	1	0
1999	50208	Pina de Ebro	485	457	414	38	5
1999	50209	Pinseque	146	138	131	6	1
1999	50210	Pintanos (Los)	47	42	41	1	0
1999	50211	Plasencia de Jalón	92	86	84	2	0
1999	50212	Pleitas	18	17	14	2	1
1999	50213	Plenas	68	67	63	4	0
1999	50214	Pomer	5	3	3	0	0
1999	50215	Pozuel de Ariza	7	6	5	1	0
1999	50216	Pozuelo de Aragón	69	64	63	1	0
1999	50217	Pradilla de Ebro	119	112	109	3	0
1999	50218	Puebla de Albortón	56	48	44	4	0
1999	50219	Puebla de Alfindén (La)	74	66	65	1	0
1999	50220	Puendeluna	16	15	14	1	0
1999	50221	Purujosa	7	5	5	0	0
1999	50222	Quinto	271	252	241	11	0
1999	50223	Remolinos	95	89	85	4	0
1999	50224	Retascón	41	40	37	3	0
1999	50225	Ricla	532	495	441	52	2
1999	50227	Romanos	37	35	35	0	0
1999	50228	Rueda de Jalón	174	168	154	14	0
1999	50229	Ruesca	30	27	26	1	0
1999	50230	Sádaba	254	222	204	11	7
1999	50231	Salillas de Jalón	36	36	34	2	0
1999	50232	Salvatierra de Esca	36	31	29	2	0
1999	50233	Samper del Salz	14	12	9	3	0
1999	50234	San Martín de la Virgen de Moncayo	25	22	20	2	0
1999	50235	San Mateo de Gállego	208	199	177	22	0
1999	50236	Santa Cruz de Grío	108	106	102	4	0
1999	50237	Santa Cruz de Moncayo	40	38	35	3	0
1999	50238	Santa Eulalia de Gállego	27	23	23	0	0
1999	50239	Santed	23	22	19	3	0
1999	50240	Sástago	238	221	217	4	0
1999	50241	Saviñán	162	158	149	9	0
1999	50242	Sediles	37	33	32	1	0
1999	50243	Sestrica	188	186	183	3	0
1999	50244	Sierra de Luna	70	62	59	3	0
1999	50245	Sigüés	39	34	33	1	0
1999	50246	Sisamón	18	15	14	1	0
1999	50247	Sobradiel	86	78	76	2	0
1999	50248	Sos del Rey Católico	254	235	219	15	1
1999	50249	Tabuenca	189	185	175	9	1
1999	50250	Talamantes	16	13	12	1	0
1999	50251	Tarazona	910	887	837	49	1
1999	50252	Tauste	1337	1197	1128	66	3
1999	50253	Terrer	109	105	102	3	0
1999	50254	Tierga	110	103	101	2	0
1999	50255	Tobed	100	97	92	5	0
1999	50256	Torralba de los Frailes	38	36	35	1	0
1999	50257	Torralba de Ribota	122	120	98	22	0
1999	50258	Torralbilla	18	17	16	1	0
1999	50259	Torrehermosa	19	18	18	0	0
1999	50260	Torrelapaja	9	8	7	1	0
1999	50261	Torrellas	42	40	37	3	0
1999	50262	Torres de Berrellén	197	187	172	15	0
1999	50263	Torrijo de la Cañada	135	130	124	6	0
1999	50264	Tosos	153	145	124	21	0
1999	50265	Trasmoz	44	42	41	1	0
1999	50266	Trasobares	108	105	101	4	0
1999	50267	Uncastillo	118	102	97	4	1
1999	50268	Undués de Lerda	24	18	16	2	0
1999	50269	Urrea de Jalón	82	77	74	2	1
1999	50270	Urriés	26	22	20	2	0
1999	50271	Used	139	133	123	10	0
1999	50272	Utebo	121	113	108	5	0
1999	50273	Valdehorna	53	51	47	4	0
1999	50274	Val de San Martín	30	28	28	0	0
1999	50275	Valmadrid	24	22	19	3	0
1999	50276	Valpalmas	53	46	45	1	0
1999	50277	Valtorres	20	18	16	2	0
1999	50278	Velilla de Ebro	43	39	39	0	0
1999	50279	Velilla de Jiloca	39	38	38	0	0
1999	50280	Vera de Moncayo	144	140	105	35	0
1999	50281	Vierlas	24	24	19	5	0
1999	50282	Vilueña (La)	63	61	54	7	0
1999	50283	Villadoz	32	31	30	1	0
1999	50284	Villafeliche	44	41	40	1	0
1999	50285	Villafranca de Ebro	128	121	109	12	0
1999	50286	Villalba de Perejil	48	47	45	2	0
1999	50287	Villalengua	131	128	125	3	0
1999	50288	Villanueva de Gállego	151	136	129	7	0
1999	50289	Villanueva de Jiloca	49	47	46	1	0
1999	50290	Villanueva de Huerva	172	170	166	4	0
1999	50291	Villar de los Navarros	65	63	53	9	1
1999	50292	Villarreal de Huerva	30	26	25	1	0
1999	50293	Villarroya de la Sierra	261	256	251	5	0
1999	50294	Villarroya del Campo	25	23	21	1	1
1999	50295	Vistabella	14	13	12	1	0
1999	50296	Zaida (La)	61	59	49	10	0
1999	50297	Zaragoza	1839	1691	1534	129	28
1999	50298	Zuera	489	455	412	42	1
1999	50901	Biel	44	41	41	0	0
1999	50902	Marracos	19	17	17	0	0
