Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2008	15	Ribera Alta del Ebro	18727	902215	701131	4092983	4073899
2008	16	Valdejalón	21682	686028	575191	3539920	3533029
2008	17	D.C. Zaragoza	493349	22521564	21486405	118013465	116990176
2008	18	Ribera Baja del Ebro	7807	250892	163847	861405	861401
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12249	293696	227494	1646910	1646269
2008	20	Comunidad de Calatayud	47623	826695	752631	4171863	4141471
2008	21	Campo de Cariñena	10327	184448	161033	1115700	1113939
2008	22	Campo de Belchite	6763	65157	61778	318626	318616
2008	23	Bajo Martín	8175	123835	115330	689820	644343
2008	24	Campo de Daroca	11042	128001	115670	595196	595178
2008	25	Jiloca	20362	260726	248593	1461732	1376719
2008	26	Cuencas Mineras	13747	147922	116511	682130	590052
2008	27	Andorra-Sierra de Arcos	10883	181022	162390	924913	848581
2008	28	Bajo Aragón	27871	548922	482466	3294805	3089207
2008	29	Comunidad de Teruel	44654	1115048	1115048	6106946	5446288
2008	30	Maestrazgo	6561	53267	53267	283824	271801
2008	31	Sierra de Albarracín	9753	126088	103045	575320	545926
2008	32	Gúdar-Javalambre	18395	251048	220594	1284392	1219489
2008	33	Matarraña / Matarranya	10423	198293	159116	994321	925068
2009	01	La Jacetania	41169	2085465	1093458	8100310	8067736
2009	02	Alto Gállego	27670	587824	555730	4213912	4205215
2009	03	Sobrarbe	9282	182240	166982	1145630	1145191
2009	04	La Ribagorza	18710	481598	384960	2617956	2617570
2009	05	Cinco Villas	29389	899825	696822	4317318	4288419
2009	06	Hoya de Huesca / Plana de Uesca	64514	1794569	1693404	14581188	14420120
2009	07	Somontano de Barbastro	21447	552282	498671	3891152	3879938
2009	08	Cinca Medio	18510	379845	368136	3492589	3481331
2009	09	La Litera / La Llitera	15283	360134	316936	2697201	2696258
2009	10	Los Monegros	16455	387571	328860	2155697	2155694
2009	11	Bajo Cinca / Baix Cinca	17237	365212	362865	2949528	2947720
2009	12	Tarazona y el Moncayo	15897	228697	219475	1763430	1756944
2009	13	Campo de Borja	13543	201266	196954	1385002	1384995
2009	14	Aranda	9767	131252	122796	623926	540830
2009	15	Ribera Alta del Ebro	19776	941391	775073	4636218	4616177
2009	16	Valdejalón	23770	985855	658741	4422526	4413614
2009	17	D.C. Zaragoza	511016	23896707	22980150	129985069	128878499
2009	18	Ribera Baja del Ebro	7916	259759	182784	938818	938816
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12440	306895	247988	1846228	1845510
2009	20	Comunidad de Calatayud	48552	874887	801729	4553354	4522234
2009	21	Campo de Cariñena	10689	194975	173073	1203112	1201555
2009	22	Campo de Belchite	6763	68862	63707	335609	335604
2009	23	Bajo Martín	8221	128421	122114	727117	680410
2009	24	Campo de Daroca	11075	165721	123336	647732	647723
2009	25	Jiloca	20825	292234	275211	1674551	1581216
2009	26	Cuencas Mineras	13861	153959	126736	760255	660548
2009	27	Andorra-Sierra de Arcos	11220	233353	217177	1263598	1164759
2009	28	Bajo Aragón	28580	580642	517137	3569874	3361953
2009	29	Comunidad de Teruel	46641	1252483	1215427	6688010	6278114
2009	30	Maestrazgo	6650	70694	58163	313457	299579
2009	31	Sierra de Albarracín	9979	141826	118379	680120	646388
2009	32	Gúdar-Javalambre	19464	289160	245255	1449831	1381541
2009	33	Matarraña / Matarranya	10589	222345	174494	1131785	1056859
2010	01	La Jacetania	42329	2228176	1261809	8730956	8727480
2010	02	Alto Gállego	29511	1081394	664951	5068964	4955236
2010	03	Sobrarbe	9992	194680	180734	1282468	1282468
2010	04	La Ribagorza	19621	728800	436663	3002482	3002481
2010	05	Cinco Villas	29863	1084327	773486	4751039	4715527
2010	06	Hoya de Huesca / Plana de Uesca	67007	1843183	1818544	15696328	15689047
2010	07	Somontano de Barbastro	21841	574372	530997	4143793	4143311
2010	08	Cinca Medio	18700	388112	378037	3647207	3635519
2010	09	La Litera / La Llitera	15759	376237	338757	2886544	2886544
2010	10	Los Monegros	16611	385906	346623	2295999	2228548
2010	11	Bajo Cinca / Baix Cinca	17768	384841	383503	3168060	3166099
2010	12	Tarazona y el Moncayo	16357	244988	233294	1876651	1863774
2010	13	Campo de Borja	13805	206217	202417	1430829	1427620
2010	14	Aranda	9815	142733	131547	667902	586745
2010	15	Ribera Alta del Ebro	20405	998394	835341	5013299	4982441
2010	16	Valdejalón	25207	1015216	721334	4822886	4793443
2010	17	D.C. Zaragoza	527631	25123610	24160559	134362895	132074549
2010	18	Ribera Baja del Ebro	7966	315234	197781	1007675	1004243
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12597	319692	262952	1941925	1928864
2010	20	Comunidad de Calatayud	49145	904405	832726	4732095	4689374
2010	21	Campo de Cariñena	10772	201996	183470	1279917	1278107
2010	22	Campo de Belchite	6753	89387	67689	355473	354285
2010	23	Bajo Martín	8308	131372	126284	751971	703212
2010	24	Campo de Daroca	11151	168305	144141	760629	684266
2010	25	Jiloca	20931	300240	285761	1749411	1632986
2010	26	Cuencas Mineras	13979	157027	133846	805679	692898
2010	27	Andorra-Sierra de Arcos	11104	348756	227400	1323143	1216668
2010	28	Bajo Aragón	29441	608101	553058	3814267	3603514
2010	29	Comunidad de Teruel	48561	1372917	1328780	7649305	6881119
2010	30	Maestrazgo	6810	95634	67168	335065	319644
2010	31	Sierra de Albarracín	10112	147496	129604	747880	703990
2010	32	Gúdar-Javalambre	20648	312417	267342	1587732	1477967
2010	33	Matarraña / Matarranya	10649	225783	184450	1190961	1102958
2011	01	La Jacetania	42895	2245406	1392847	8920164	8920161
2011	02	Alto Gállego	30333	1095310	737168	5518127	5397053
2011	03	Sobrarbe	10200	293228	197304	1404965	1404965
2011	04	La Ribagorza	20328	770539	488693	3371772	3371770
2011	05	Cinco Villas	30383	1117728	840219	5144609	5110538
2011	06	Hoya de Huesca / Plana de Uesca	68298	1904749	1858779	16006953	16004475
2011	07	Somontano de Barbastro	22197	583800	558158	4432483	4432481
2011	08	Cinca Medio	19229	397998	389277	3787691	3777965
2011	09	La Litera / La Llitera	15801	379447	350040	2977117	2977117
2011	10	Los Monegros	16733	387772	354088	2347668	2309246
2011	11	Bajo Cinca / Baix Cinca	18034	391134	390793	3231670	3231670
2011	12	Tarazona y el Moncayo	16863	250862	240714	1934864	1921977
2011	13	Campo de Borja	13862	210173	206852	1472845	1469634
2011	14	Aranda	9771	162227	145906	740056	645819
