Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre	Comarca Código
2008	4	85	Actividades sanitarias y veterinarias, servicio social	01	La Jacetania	01
2008	4	45	Construcción	21	Campo de Cariñena	21
2008	4	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite	22
2008	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín	23
2008	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	25	Jiloca	25
2008	4	74	Otras actividades empresariales	25	Jiloca	25
2008	4	75	Administración pública, defensa y seguridad social obligatoria	25	Jiloca	25
2008	4	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	32	Gúdar-Javalambre	32
2007	4	24	Industria química	02	Alto Gállego	02
2007	4	85	Actividades sanitarias y veterinarias, servicio social	02	Alto Gállego	02
2007	4	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera	09
2007	4	25	Fabricacion de productos de caucho y materias plasticas	10	Los Monegros	10
2007	4	55	Hostelería	10	Los Monegros	10
2007	4	24	Industria química	11	Bajo Cinca / Baix Cinca	11
2007	4	25	Fabricacion de productos de caucho y materias plasticas	11	Bajo Cinca / Baix Cinca	11
2007	4	85	Actividades sanitarias y veterinarias, servicio social	11	Bajo Cinca / Baix Cinca	11
2007	4	75	Administración pública, defensa y seguridad social obligatoria	18	Ribera Baja del Ebro	18
2007	4	15	Industria de productos alimenticios y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2007	4	45	Construcción	23	Bajo Martín	23
2007	4	25	Fabricacion de productos de caucho y materias plasticas	25	Jiloca	25
2007	4	75	Administración pública, defensa y seguridad social obligatoria	25	Jiloca	25
2007	4	74	Otras actividades empresariales	26	Cuencas Mineras	26
2007	4	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras	26
2007	4	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos	27
2007	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	27	Andorra-Sierra de Arcos	27
2007	4	85	Actividades sanitarias y veterinarias, servicio social	NC	Municipio del centro de trabajo fuera de Aragón	
2006	4	75	Administración pública, defensa y seguridad social obligatoria	02	Alto Gállego	02
2006	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	04	La Ribagorza	04
2006	4	55	Hostelería	08	Cinca Medio	08
2006	4	85	Actividades sanitarias y veterinarias, servicio social	10	Los Monegros	10
2006	4	55	Hostelería	21	Campo de Cariñena	21
2006	4	55	Hostelería	25	Jiloca	25
2006	4	85	Actividades sanitarias y veterinarias, servicio social	27	Andorra-Sierra de Arcos	27
2005	4	24	Industria química	02	Alto Gállego	02
2005	4	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	07	Somontano de Barbastro	07
2005	4	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro	07
2005	4	75	Administración pública, defensa y seguridad social obligatoria	08	Cinca Medio	08
2005	4	55	Hostelería	09	La Litera / La Llitera	09
2005	4	34	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo	12
2005	4	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	21	Campo de Cariñena	21
2005	4	15	Industria de productos alimenticios y bebidas	23	Bajo Martín	23
2005	4	85	Actividades sanitarias y veterinarias, servicio social	24	Campo de Daroca	24
2005	4	75	Administración pública, defensa y seguridad social obligatoria	25	Jiloca	25
2005	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	27	Andorra-Sierra de Arcos	27
2004	4	93	Actividades diversas de servicios personales	02	Alto Gállego	02
2004	4	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza	04
2004	4	85	Actividades sanitarias y veterinarias, servicio social	04	La Ribagorza	04
2004	4	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	07	Somontano de Barbastro	07
2004	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	09	La Litera / La Llitera	09
2004	4	25	Fabricacion de productos de caucho y materias plasticas	11	Bajo Cinca / Baix Cinca	11
2004	4	34	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo	12
2004	4	55	Hostelería	12	Tarazona y el Moncayo	12
2004	4	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda	14
2004	4	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite	22
2004	4	21	Industria del papel	27	Andorra-Sierra de Arcos	27
2004	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	27	Andorra-Sierra de Arcos	27
2004	4	15	Industria de productos alimenticios y bebidas	NC	Municipio del centro de trabajo fuera de Aragón	
2004	4	55	Hostelería	NC	Municipio del centro de trabajo fuera de Aragón	
2004	4	64	Correos y telecomunicaciones	NC	Municipio del centro de trabajo fuera de Aragón	
2003	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	02	Alto Gállego	02
2003	4	93	Actividades diversas de servicios personales	02	Alto Gállego	02
2003	4	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza	04
2003	4	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro	07
2003	4	75	Administración pública, defensa y seguridad social obligatoria	07	Somontano de Barbastro	07
2003	4	85	Actividades sanitarias y veterinarias, servicio social	07	Somontano de Barbastro	07
2003	4	55	Hostelería	08	Cinca Medio	08
2003	4	75	Administración pública, defensa y seguridad social obligatoria	08	Cinca Medio	08
2003	4	15	Industria de productos alimenticios y bebidas	10	Los Monegros	10
2003	4	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	13	Campo de Borja	13
2003	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro	18
2003	4	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	25	Jiloca	25
2003	4	55	Hostelería	27	Andorra-Sierra de Arcos	27
2008	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	02	Alto Gállego	02
2008	3	85	Actividades sanitarias y veterinarias, servicio social	02	Alto Gállego	02
2008	3	27	Metalurgia	18	Ribera Baja del Ebro	18
2008	3	55	Hostelería	18	Ribera Baja del Ebro	18
2008	3	74	Otras actividades empresariales	18	Ribera Baja del Ebro	18
2008	3	75	Administración pública, defensa y seguridad social obligatoria	18	Ribera Baja del Ebro	18
2008	3	85	Actividades sanitarias y veterinarias, servicio social	18	Ribera Baja del Ebro	18
2008	3	26	Fabricación de otros productos minerales no metálicos	21	Campo de Cariñena	21
2008	3	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena	21
2008	3	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	21	Campo de Cariñena	21
2008	3	75	Administración pública, defensa y seguridad social obligatoria	23	Bajo Martín	23
2008	3	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca	24
2008	3	85	Actividades sanitarias y veterinarias, servicio social	24	Campo de Daroca	24
2008	3	21	Industria del papel	27	Andorra-Sierra de Arcos	27
2008	3	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre	32
2008	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya	33
2008	3	55	Hostelería	33	Matarraña / Matarranya	33
2008	3	55	Hostelería	NC	Municipio del centro de trabajo fuera de Aragón	
2007	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	02	Alto Gállego	02
2007	3	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego	02
2007	3	74	Otras actividades empresariales	02	Alto Gállego	02
2007	3	92	Actividades recreativas, culturales y deportivas	02	Alto Gállego	02
2007	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	04	La Ribagorza	04
2007	3	74	Otras actividades empresariales	04	La Ribagorza	04
2007	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro	18
2007	3	17	Industria textil	18	Ribera Baja del Ebro	18
2007	3	27	Metalurgia	18	Ribera Baja del Ebro	18
2007	3	55	Hostelería	18	Ribera Baja del Ebro	18
2007	3	26	Fabricación de otros productos minerales no metálicos	21	Campo de Cariñena	21
2007	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	21	Campo de Cariñena	21
2007	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín	23
2007	3	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín	23
2007	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	24	Campo de Daroca	24
2007	3	85	Actividades sanitarias y veterinarias, servicio social	24	Campo de Daroca	24
2007	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca	25
2007	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	25	Jiloca	25
2007	3	85	Actividades sanitarias y veterinarias, servicio social	25	Jiloca	25
2007	3	93	Actividades diversas de servicios personales	NC	Municipio del centro de trabajo fuera de Aragón	
2006	3	80	Educación	01	La Jacetania	01
2006	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	02	Alto Gállego	02
2006	3	74	Otras actividades empresariales	02	Alto Gállego	02
2006	3	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza	04
2006	3	24	Industria química	08	Cinca Medio	08
2006	3	74	Otras actividades empresariales	08	Cinca Medio	08
2006	3	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera	09
2006	3	55	Hostelería	10	Los Monegros	10
2006	3	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda	14
2006	3	55	Hostelería	18	Ribera Baja del Ebro	18
2006	3	18	Industria de la confección y de la peletería	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2006	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena	21
2006	3	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena	21
2006	3	75	Administración pública, defensa y seguridad social obligatoria	21	Campo de Cariñena	21
2006	3	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	23	Bajo Martín	23
2006	3	85	Actividades sanitarias y veterinarias, servicio social	25	Jiloca	25
2006	3	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras	26
2006	3	21	Industria del papel	27	Andorra-Sierra de Arcos	27
2006	3	60	Transporte terrestre; transporte por tuberías	NC	Municipio del centro de trabajo fuera de Aragón	
2006	3	85	Actividades sanitarias y veterinarias, servicio social	NC	Municipio del centro de trabajo fuera de Aragón	
2005	3	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza	04
2005	3	15	Industria de productos alimenticios y bebidas	10	Los Monegros	10
2005	3	55	Hostelería	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2005	3	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2005	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena	21
2005	3	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena	21
2005	3	34	Fabricación de vehículos de motor, remolques y semirremolques	22	Campo de Belchite	22
2005	3	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca	24
2005	3	27	Metalurgia	24	Campo de Daroca	24
2005	3	25	Fabricacion de productos de caucho y materias plasticas	25	Jiloca	25
2005	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	26	Cuencas Mineras	26
2005	3	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras	26
2005	3	55	Hostelería	27	Andorra-Sierra de Arcos	27
2005	3	85	Actividades sanitarias y veterinarias, servicio social	27	Andorra-Sierra de Arcos	27
2005	3	55	Hostelería	30	Maestrazgo	30
2005	3	91	Actividades asociativas	NC	Municipio del centro de trabajo fuera de Aragón	
2004	3	24	Industria química	08	Cinca Medio	08
2004	3	55	Hostelería	08	Cinca Medio	08
2004	3	74	Otras actividades empresariales	08	Cinca Medio	08
2004	3	75	Administración pública, defensa y seguridad social obligatoria	08	Cinca Medio	08
2004	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena	21
2004	3	28	Fabricación de productos metálicos, excepto maquinaria y equipo	21	Campo de Cariñena	21
2004	3	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín	23
2004	3	85	Actividades sanitarias y veterinarias, servicio social	24	Campo de Daroca	24
2004	3	55	Hostelería	25	Jiloca	25
2004	3	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras	26
2004	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre	32
2004	3	55	Hostelería	32	Gúdar-Javalambre	32
2004	3	45	Construcción	33	Matarraña / Matarranya	33
2003	3	74	Otras actividades empresariales	01	La Jacetania	01
2003	3	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania	01
2003	3	93	Actividades diversas de servicios personales	01	La Jacetania	01
2003	3	15	Industria de productos alimenticios y bebidas	04	La Ribagorza	04
2003	3	28	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio	08
2003	3	74	Otras actividades empresariales	08	Cinca Medio	08
2003	3	90	Actividades de saneamiento público	08	Cinca Medio	08
2003	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	10	Los Monegros	10
2003	3	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro	18
2003	3	17	Industria textil	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003	3	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003	3	55	Hostelería	21	Campo de Cariñena	21
2003	3	74	Otras actividades empresariales	21	Campo de Cariñena	21
2003	3	75	Administración pública, defensa y seguridad social obligatoria	23	Bajo Martín	23
2003	3	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras	26
2003	3	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón	99
2008	2	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego	02
2008	2	75	Administración pública, defensa y seguridad social obligatoria	02	Alto Gállego	02
2008	2	64	Correos y telecomunicaciones	03	Sobrarbe	03
2008	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros	10
2008	2	15	Industria de productos alimenticios y bebidas	10	Los Monegros	10
2008	2	15	Industria de productos alimenticios y bebidas	14	Aranda	14
2008	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2008	2	85	Actividades sanitarias y veterinarias, servicio social	22	Campo de Belchite	22
2008	2	55	Hostelería	24	Campo de Daroca	24
2008	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	30	Maestrazgo	30
2008	2	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo	30
2008	2	85	Actividades sanitarias y veterinarias, servicio social	31	Sierra de Albarracín	31
2008	2	74	Otras actividades empresariales	32	Gúdar-Javalambre	32
2008	2	75	Administración pública, defensa y seguridad social obligatoria	32	Gúdar-Javalambre	32
2008	2	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya	33
2008	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	33	Matarraña / Matarranya	33
2008	2	75	Administración pública, defensa y seguridad social obligatoria	33	Matarraña / Matarranya	33
2008	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	NC	Municipio del centro de trabajo fuera de Aragón	
2008	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón	
2007	2	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe	03
2007	2	85	Actividades sanitarias y veterinarias, servicio social	03	Sobrarbe	03
2007	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena	21
2007	2	31	Fabricación de maquinaria y material eléctrico	21	Campo de Cariñena	21
2007	2	85	Actividades sanitarias y veterinarias, servicio social	21	Campo de Cariñena	21
2007	2	55	Hostelería	23	Bajo Martín	23
2007	2	75	Administración pública, defensa y seguridad social obligatoria	23	Bajo Martín	23
2007	2	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca	24
2007	2	75	Administración pública, defensa y seguridad social obligatoria	31	Sierra de Albarracín	31
2007	2	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre	32
2007	2	60	Transporte terrestre; transporte por tuberías	32	Gúdar-Javalambre	32
2007	2	55	Hostelería	33	Matarraña / Matarranya	33
2006	2	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe	03
2006	2	85	Actividades sanitarias y veterinarias, servicio social	03	Sobrarbe	03
2006	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	09	La Litera / La Llitera	09
2006	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	09	La Litera / La Llitera	09
2006	2	55	Hostelería	09	La Litera / La Llitera	09
2006	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros	10
2006	2	15	Industria de productos alimenticios y bebidas	10	Los Monegros	10
2006	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	10	Los Monegros	10
2006	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	14	Aranda	14
2006	2	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda	14
2006	2	85	Actividades sanitarias y veterinarias, servicio social	14	Aranda	14
2006	2	27	Metalurgia	18	Ribera Baja del Ebro	18
2006	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	18	Ribera Baja del Ebro	18
2006	2	93	Actividades diversas de servicios personales	22	Campo de Belchite	22
2006	2	55	Hostelería	23	Bajo Martín	23
2006	2	18	Industria de la confección y de la peletería	26	Cuencas Mineras	26
2006	2	40	Producción y distribución de energía eléctrica, gas, vapor y agua caliente	27	Andorra-Sierra de Arcos	27
2006	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	27	Andorra-Sierra de Arcos	27
2006	2	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos	27
2006	2	75	Administración pública, defensa y seguridad social obligatoria	31	Sierra de Albarracín	31
2006	2	75	Administración pública, defensa y seguridad social obligatoria	32	Gúdar-Javalambre	32
2006	2	80	Educación	32	Gúdar-Javalambre	32
2006	2	92	Actividades recreativas, culturales y deportivas	32	Gúdar-Javalambre	32
2006	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya	33
2006	2	75	Administración pública, defensa y seguridad social obligatoria	33	Matarraña / Matarranya	33
2006	2	55	Hostelería	NC	Municipio del centro de trabajo fuera de Aragón	
2006	2	91	Actividades asociativas	NC	Municipio del centro de trabajo fuera de Aragón	
2006	2	93	Actividades diversas de servicios personales	NC	Municipio del centro de trabajo fuera de Aragón	
2005	2	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe	03
2005	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	04	La Ribagorza	04
2005	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros	10
2005	2	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	10	Los Monegros	10
2005	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros	10
2005	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	10	Los Monegros	10
2005	2	55	Hostelería	10	Los Monegros	10
2005	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	18	Ribera Baja del Ebro	18
2005	2	45	Construcción	23	Bajo Martín	23
2005	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	25	Jiloca	25
2005	2	55	Hostelería	26	Cuencas Mineras	26
2005	2	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo	30
2005	2	55	Hostelería	31	Sierra de Albarracín	31
2005	2	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre	32
2005	2	55	Hostelería	32	Gúdar-Javalambre	32
2005	2	55	Hostelería	33	Matarraña / Matarranya	33
2005	2	15	Industria de productos alimenticios y bebidas	NC	Municipio del centro de trabajo fuera de Aragón	
2005	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	NC	Municipio del centro de trabajo fuera de Aragón	
2005	2	74	Otras actividades empresariales	NC	Municipio del centro de trabajo fuera de Aragón	
2004	2	74	Otras actividades empresariales	02	Alto Gállego	02
2004	2	75	Administración pública, defensa y seguridad social obligatoria	02	Alto Gállego	02
2004	2	85	Actividades sanitarias y veterinarias, servicio social	02	Alto Gállego	02
2004	2	45	Construcción	03	Sobrarbe	03
2004	2	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe	03
2004	2	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera	09
2004	2	55	Hostelería	09	La Litera / La Llitera	09
2004	2	85	Actividades sanitarias y veterinarias, servicio social	09	La Litera / La Llitera	09
2004	2	91	Actividades asociativas	09	La Litera / La Llitera	09
2004	2	15	Industria de productos alimenticios y bebidas	10	Los Monegros	10
2004	2	55	Hostelería	10	Los Monegros	10
2004	2	75	Administración pública, defensa y seguridad social obligatoria	10	Los Monegros	10
2004	2	25	Fabricacion de productos de caucho y materias plasticas	18	Ribera Baja del Ebro	18
2004	2	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena	21
2004	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	21	Campo de Cariñena	21
2004	2	55	Hostelería	21	Campo de Cariñena	21
2004	2	15	Industria de productos alimenticios y bebidas	23	Bajo Martín	23
2004	2	64	Correos y telecomunicaciones	23	Bajo Martín	23
2004	2	75	Administración pública, defensa y seguridad social obligatoria	23	Bajo Martín	23
2004	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	25	Jiloca	25
2004	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	25	Jiloca	25
2004	2	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos	27
2004	2	40	Producción y distribución de energía eléctrica, gas, vapor y agua caliente	27	Andorra-Sierra de Arcos	27
2004	2	55	Hostelería	27	Andorra-Sierra de Arcos	27
2004	2	75	Administración pública, defensa y seguridad social obligatoria	27	Andorra-Sierra de Arcos	27
2004	2	75	Administración pública, defensa y seguridad social obligatoria	31	Sierra de Albarracín	31
2004	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	32	Gúdar-Javalambre	32
2004	2	34	Fabricación de vehículos de motor, remolques y semirremolques	NC	Municipio del centro de trabajo fuera de Aragón	
2003	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	02	Alto Gállego	02
2003	2	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego	02
2003	2	75	Administración pública, defensa y seguridad social obligatoria	02	Alto Gállego	02
2003	2	85	Actividades sanitarias y veterinarias, servicio social	02	Alto Gállego	02
2003	2	92	Actividades recreativas, culturales y deportivas	03	Sobrarbe	03
2003	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros	10
2003	2	85	Actividades sanitarias y veterinarias, servicio social	10	Los Monegros	10
2003	2	15	Industria de productos alimenticios y bebidas	11	Bajo Cinca / Baix Cinca	11
2003	2	25	Fabricacion de productos de caucho y materias plasticas	11	Bajo Cinca / Baix Cinca	11
2003	2	74	Otras actividades empresariales	11	Bajo Cinca / Baix Cinca	11
2003	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	14	Aranda	14
2003	2	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	18	Ribera Baja del Ebro	18
2003	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003	2	55	Hostelería	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena	21
2003	2	75	Administración pública, defensa y seguridad social obligatoria	21	Campo de Cariñena	21
2003	2	74	Otras actividades empresariales	22	Campo de Belchite	22
2003	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín	23
2003	2	15	Industria de productos alimenticios y bebidas	23	Bajo Martín	23
2003	2	18	Industria de la confección y de la peletería	23	Bajo Martín	23
2003	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	23	Bajo Martín	23
2003	2	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca	24
2003	2	55	Hostelería	24	Campo de Daroca	24
2003	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca	25
2003	2	75	Administración pública, defensa y seguridad social obligatoria	25	Jiloca	25
2003	2	55	Hostelería	26	Cuencas Mineras	26
2003	2	21	Industria del papel	27	Andorra-Sierra de Arcos	27
2003	2	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos	27
2003	2	15	Industria de productos alimenticios y bebidas	30	Maestrazgo	30
2008	1	15	Industria de productos alimenticios y bebidas	03	Sobrarbe	03
2008	1	60	Transporte terrestre; transporte por tuberías	03	Sobrarbe	03
2008	1	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe	03
2008	1	92	Actividades recreativas, culturales y deportivas	03	Sobrarbe	03
2008	1	45	Construcción	10	Los Monegros	10
2008	1	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros	10
