CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2012	80	Actividades de seguridad e investigación	132
02	Aragón	2012	81	Servicios a edificios y actividades de jardinería	1263
02	Aragón	2012	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	3865
02	Aragón	2012	85	Educación	4125
02	Aragón	2012	86	Actividades sanitarias	3360
02	Aragón	2012	87	Asistencia en establecimientos residenciales	373
02	Aragón	2012	88	Actividades de servicios sociales sin alojamiento	301
02	Aragón	2012	90	Actividades de creación, artísticas y espectáculos	1338
02	Aragón	2012	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	280
02	Aragón	2012	92	Actividades de juegos de azar y apuestas	663
02	Aragón	2012	93	Actividades deportivas, recreativas y de entretenimiento	1069
02	Aragón	2012	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1385
02	Aragón	2012	96	Otros servicios personales	5213
02	Aragón	2013	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	8280
02	Aragón	2013	02	Silvicultura y explotación forestal	197
02	Aragón	2013	05	Extracción de antracita, hulla y lignito	38
02	Aragón	2013	06	Extracción de crudo de petróleo y gas natural	5
02	Aragón	2013	07	Extracción de minerales metálicos	2
02	Aragón	2013	08	Otras industrias extractivas	316
02	Aragón	2013	09	Actividades de apoyo a las industrias extractivas	1
02	Aragón	2013	10	Industria de la alimentación	1590
02	Aragón	2013	11	Fabricación de bebidas	285
02	Aragón	2013	13	Industria textil	261
02	Aragón	2013	14	Confección de prendas de vestir	511
02	Aragón	2013	15	Industria del cuero y del calzado	221
02	Aragón	2013	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	643
02	Aragón	2013	17	Industria del papel	94
02	Aragón	2013	18	Artes gráficas y reproducción de soportes grabados	653
02	Aragón	2013	20	Industria química	272
02	Aragón	2013	21	Fabricación de productos farmacéuticos	30
02	Aragón	2013	22	Fabricación de productos de caucho y plásticos	292
02	Aragón	2013	23	Fabricación de otros productos minerales no metálicos	530
02	Aragón	2013	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	81
02	Aragón	2013	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2389
02	Aragón	2013	26	Fabricación de productos informáticos, electrónicos y ópticos	153
02	Aragón	2013	27	Fabricación de material y equipo eléctrico	223
02	Aragón	2013	28	Fabricación de maquinaria y equipo n.c.o.p.	654
02	Aragón	2013	29	Fabricación de vehículos de motor, remolques y semirremolques	249
02	Aragón	2013	30	Fabricación de otro material de transporte	57
02	Aragón	2013	31	Fabricación de muebles	700
02	Aragón	2013	32	Otras industrias manufactureras	462
02	Aragón	2013	33	Reparación e instalación de maquinaria y equipo	603
02	Aragón	2013	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1906
02	Aragón	2013	36	Captación, depuración y distribución de agua	94
02	Aragón	2013	37	Recogida y tratamiento de aguas residuales	290
02	Aragón	2013	38	Recogida, tratamiento y eliminación de residuos; valorización	151
02	Aragón	2013	39	Actividades de descontaminación y otros servicios de gestión de residuos	163
02	Aragón	2013	41	Construcción de edificios	8735
02	Aragón	2013	42	Ingeniería civil	1235
02	Aragón	2013	43	Actividades de construcción especializada	16344
02	Aragón	2013	45	Venta y reparación de vehículos de motor y motocicletas	4216
02	Aragón	2013	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11669
02	Aragón	2013	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	33591
02	Aragón	2013	49	Transporte terrestre y por tubería	7721
02	Aragón	2013	50	Transporte marítimo y por vías navegables interiores	4
02	Aragón	2013	51	Transporte aéreo	15
02	Aragón	2013	52	Almacenamiento y actividades anexas al transporte	932
02	Aragón	2013	53	Actividades postales y de correos	328
02	Aragón	2013	55	Servicios de alojamiento	2186
02	Aragón	2013	56	Servicios de comidas y bebidas	13815
02	Aragón	2013	58	Edición	484
02	Aragón	2013	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	379
02	Aragón	2013	60	Actividades de programación y emisión de radio y televisión	114
02	Aragón	2013	61	Telecomunicaciones	201
02	Aragón	2013	62	Programación, consultoría y otras actividades relacionadas con la informática	1383
02	Aragón	2013	63	Servicios de información	185
02	Aragón	2013	64	Servicios financieros, excepto seguros y fondos de pensiones	1590
02	Aragón	2013	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	193
02	Aragón	2013	66	Actividades auxiliares a los servicios financieros y a los seguros	3445
02	Aragón	2013	68	Actividades inmobiliarias	17032
02	Aragón	2013	69	Actividades jurídicas y de contabilidad	5818
02	Aragón	2013	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5476
02	Aragón	2013	72	Investigación y desarrollo	868
02	Aragón	2013	73	Publicidad y estudios de mercado	1513
02	Aragón	2013	74	Otras actividades profesionales, científicas y técnicas	2356
02	Aragón	2013	75	Actividades veterinarias	554
02	Aragón	2013	77	Actividades de alquiler	1876
02	Aragón	2013	78	Actividades relacionadas con el empleo	260
02	Aragón	2013	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	481
02	Aragón	2013	80	Actividades de seguridad e investigación	156
02	Aragón	2013	81	Servicios a edificios y actividades de jardinería	1478
02	Aragón	2013	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	4670
02	Aragón	2013	85	Educación	5711
02	Aragón	2013	86	Actividades sanitarias	4668
02	Aragón	2013	87	Asistencia en establecimientos residenciales	405
02	Aragón	2013	88	Actividades de servicios sociales sin alojamiento	339
02	Aragón	2013	90	Actividades de creación, artísticas y espectáculos	1912
02	Aragón	2013	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	387
02	Aragón	2013	92	Actividades de juegos de azar y apuestas	730
02	Aragón	2013	93	Actividades deportivas, recreativas y de entretenimiento	1345
02	Aragón	2013	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1651
