Mes y año	Municipio código	Municipio nombre	Sexo	Régimen	Afiliaciones en alta
Septiembre 2014	44022	Alloza	Hombres	General	41
Septiembre 2014	44022	Alloza	Mujeres	General	12
Septiembre 2014	44023	Allueva	Hombres	General	5
Septiembre 2014	44024	Anadón	Hombres	General	3
Septiembre 2014	44025	Andorra	Hombres	General	835
Septiembre 2014	44025	Andorra	Mujeres	General	599
Septiembre 2014	44026	Arcos de las Salinas	Hombres	General	5
Septiembre 2014	44026	Arcos de las Salinas	Mujeres	General	7
Septiembre 2014	44027	Arens de Lledó	Hombres	General	3
Septiembre 2014	44027	Arens de Lledó	Mujeres	General	1
Septiembre 2014	44028	Argente	Hombres	General	5
Septiembre 2014	44028	Argente	Mujeres	General	5
Septiembre 2014	44029	Ariño	Hombres	General	137
Septiembre 2014	44029	Ariño	Mujeres	General	72
Septiembre 2014	44031	Azaila	Hombres	General	12
Septiembre 2014	44031	Azaila	Mujeres	General	21
Septiembre 2014	44032	Bádenas	Mujeres	General	1
Septiembre 2014	44033	Báguena	Hombres	General	7
Septiembre 2014	44033	Báguena	Mujeres	General	3
Septiembre 2014	44034	Bañón	Hombres	General	5
Septiembre 2014	44034	Bañón	Mujeres	General	3
Septiembre 2014	44035	Barrachina	Hombres	General	3
Septiembre 2014	44035	Barrachina	Mujeres	General	2
Septiembre 2014	44037	Beceite	Hombres	General	29
Septiembre 2014	44037	Beceite	Mujeres	General	27
Septiembre 2014	44038	Belmonte de San José	Hombres	General	2
Septiembre 2014	44038	Belmonte de San José	Mujeres	General	1
Septiembre 2014	44039	Bello	Hombres	General	4
Septiembre 2014	44039	Bello	Mujeres	General	5
Septiembre 2014	44040	Berge	Hombres	General	5
Septiembre 2014	44040	Berge	Mujeres	General	2
Septiembre 2014	44041	Bezas	Hombres	General	4
Septiembre 2014	44041	Bezas	Mujeres	General	1
Septiembre 2014	44042	Blancas	Hombres	General	1
Septiembre 2014	44042	Blancas	Mujeres	General	4
Septiembre 2014	44043	Blesa	Hombres	General	1
Septiembre 2014	44043	Blesa	Mujeres	General	1
Septiembre 2014	44044	Bordón	Hombres	General	8
Septiembre 2014	44044	Bordón	Mujeres	General	2
Septiembre 2014	44045	Bronchales	Hombres	General	48
Septiembre 2014	44045	Bronchales	Mujeres	General	29
Septiembre 2014	44046	Bueña	Hombres	General	1
Septiembre 2014	44046	Bueña	Mujeres	General	1
Septiembre 2014	44047	Burbáguena	Hombres	General	12
Septiembre 2014	44047	Burbáguena	Mujeres	General	48
Septiembre 2014	44048	Cabra de Mora	Hombres	General	2
Septiembre 2014	44049	Calaceite	Hombres	General	83
Septiembre 2014	44049	Calaceite	Mujeres	General	58
Septiembre 2014	44050	Calamocha	Hombres	General	496
Septiembre 2014	44050	Calamocha	Mujeres	General	486
Septiembre 2014	44051	Calanda	Hombres	General	559
Septiembre 2014	44051	Calanda	Mujeres	General	480
Septiembre 2014	44052	Calomarde	Mujeres	General	1
Septiembre 2014	44053	Camañas	Hombres	General	4
Septiembre 2014	44053	Camañas	Mujeres	General	3
Septiembre 2014	44054	Camarena de la Sierra	Hombres	General	5
Septiembre 2014	44054	Camarena de la Sierra	Mujeres	General	6
Septiembre 2014	44055	Camarillas	Hombres	General	3
Septiembre 2014	44055	Camarillas	Mujeres	General	2
Septiembre 2014	44056	Caminreal	Hombres	General	53
Septiembre 2014	44056	Caminreal	Mujeres	General	39
Septiembre 2014	44059	Cantavieja	Hombres	General	92
