Municipio código	Municipio nombre	Estado	Número de edificios
22217	Sena	Malo	31
22217	Sena	Deficiente	112
22217	Sena	Bueno	196
22218	Senés de Alcubierre	Ruinoso	1
22218	Senés de Alcubierre	Deficiente	5
22218	Senés de Alcubierre	Bueno	31
22220	Sesa	Ruinoso	1
22220	Sesa	Deficiente	13
22220	Sesa	Bueno	131
22221	Sesué	Malo	1
22221	Sesué	Deficiente	1
22221	Sesué	Bueno	86
22222	Siétamo	Ruinoso	3
22222	Siétamo	Deficiente	42
22222	Siétamo	Bueno	191
22223	Sopeira	Deficiente	11
22223	Sopeira	Bueno	51
22225	Tamarite de Litera	Ruinoso	12
22225	Tamarite de Litera	Malo	56
22225	Tamarite de Litera	Deficiente	138
22225	Tamarite de Litera	Bueno	1037
22226	Tardienta	Ruinoso	10
22226	Tardienta	Malo	10
22226	Tardienta	Deficiente	42
22226	Tardienta	Bueno	347
22227	Tella-Sin	Deficiente	15
22227	Tella-Sin	Bueno	82
22228	Tierz	Ruinoso	1
22228	Tierz	Malo	3
22228	Tierz	Deficiente	13
22228	Tierz	Bueno	56
22229	Tolva	Malo	5
22229	Tolva	Deficiente	23
22229	Tolva	Bueno	137
22230	Torla	Deficiente	2
22230	Torla	Bueno	156
22232	Torralba de Aragón	Deficiente	9
22232	Torralba de Aragón	Bueno	64
22233	Torre la Ribera	Malo	1
22233	Torre la Ribera	Deficiente	13
22233	Torre la Ribera	Bueno	38
22234	Torrente de Cinca	Ruinoso	12
22234	Torrente de Cinca	Malo	5
22234	Torrente de Cinca	Deficiente	50
22234	Torrente de Cinca	Bueno	360
22235	Torres de Alcanadre	Ruinoso	5
22235	Torres de Alcanadre	Malo	6
22235	Torres de Alcanadre	Deficiente	11
22235	Torres de Alcanadre	Bueno	69
22236	Torres de Barbués	Ruinoso	5
22236	Torres de Barbués	Malo	3
22236	Torres de Barbués	Deficiente	21
22236	Torres de Barbués	Bueno	123
22239	Tramaced	Ruinoso	1
22239	Tramaced	Malo	4
22239	Tramaced	Deficiente	7
22239	Tramaced	Bueno	35
22242	Valfarta	Ruinoso	1
22242	Valfarta	Malo	11
22242	Valfarta	Deficiente	10
22242	Valfarta	Bueno	37
22243	Valle de Bardají	Malo	2
22243	Valle de Bardají	Deficiente	3
22243	Valle de Bardají	Bueno	15
22244	Valle de Lierp	Ruinoso	3
22244	Valle de Lierp	Malo	1
22244	Valle de Lierp	Deficiente	10
22244	Valle de Lierp	Bueno	26
22245	Velilla de Cinca	Ruinoso	7
22245	Velilla de Cinca	Malo	16
22245	Velilla de Cinca	Deficiente	43
22245	Velilla de Cinca	Bueno	171
22246	Veracruz	Malo	2
22246	Veracruz	Deficiente	16
22246	Veracruz	Bueno	58
22247	Viacamp y Litera	Deficiente	3
22247	Viacamp y Litera	Bueno	21
22248	Vicién	Ruinoso	1
22248	Vicién	Deficiente	13
22248	Vicién	Bueno	42
22249	Villanova	Malo	4
22249	Villanova	Deficiente	4
22249	Villanova	Bueno	99
22250	Villanúa	Ruinoso	1
22250	Villanúa	Deficiente	5
22250	Villanúa	Bueno	393
22251	Villanueva de Sigena	Ruinoso	2
22251	Villanueva de Sigena	Malo	2
22251	Villanueva de Sigena	Deficiente	9
22251	Villanueva de Sigena	Bueno	229
22252	Yebra de Basa	Bueno	65
22253	Yésero	Deficiente	8
22253	Yésero	Bueno	51
22254	Zaidín	Ruinoso	3
22254	Zaidín	Malo	11
22254	Zaidín	Deficiente	61
22254	Zaidín	Bueno	519
22901	Valle de Hecho	Ruinoso	2
22901	Valle de Hecho	Malo	4
22901	Valle de Hecho	Deficiente	34
22901	Valle de Hecho	Bueno	498
22902	Puente la Reina de Jaca	Malo	1
22902	Puente la Reina de Jaca	Deficiente	4
22902	Puente la Reina de Jaca	Bueno	128
22903	San Miguel del Cinca	Ruinoso	17
22903	San Miguel del Cinca	Malo	1
22903	San Miguel del Cinca	Deficiente	8
22903	San Miguel del Cinca	Bueno	390
22904	Sotonera (La)	Ruinoso	7
22904	Sotonera (La)	Malo	11
22904	Sotonera (La)	Deficiente	45
22904	Sotonera (La)	Bueno	629
22905	Lupiñén-Ortilla	Ruinoso	5
22905	Lupiñén-Ortilla	Malo	8
22905	Lupiñén-Ortilla	Deficiente	25
22905	Lupiñén-Ortilla	Bueno	166
22906	Santa María de Dulcis	Malo	5
22906	Santa María de Dulcis	Deficiente	16
22906	Santa María de Dulcis	Bueno	82
22907	Aínsa-Sobrarbe	Ruinoso	3
22907	Aínsa-Sobrarbe	Malo	2
22907	Aínsa-Sobrarbe	Deficiente	37
22907	Aínsa-Sobrarbe	Bueno	565
22908	Hoz y Costeán	Ruinoso	2
22908	Hoz y Costeán	Malo	9
22908	Hoz y Costeán	Deficiente	51
22908	Hoz y Costeán	Bueno	89
22909	Vencillón	Malo	4
22909	Vencillón	Deficiente	3
22909	Vencillón	Bueno	160
44001	Ababuj	Ruinoso	1
44001	Ababuj	Deficiente	3
44001	Ababuj	Bueno	80
44002	Abejuela	Ruinoso	1
44002	Abejuela	Malo	2
44002	Abejuela	Deficiente	41
44002	Abejuela	Bueno	95
44003	Aguatón	Ruinoso	2
44003	Aguatón	Deficiente	4
44003	Aguatón	Bueno	27
44004	Aguaviva	Malo	4
44004	Aguaviva	Deficiente	46
44004	Aguaviva	Bueno	460
44005	Aguilar del Alfambra	Malo	1
44005	Aguilar del Alfambra	Bueno	85
44006	Alacón	Ruinoso	10
44006	Alacón	Malo	44
44006	Alacón	Deficiente	103
44006	Alacón	Bueno	194
44007	Alba	Deficiente	15
44007	Alba	Bueno	209
44008	Albalate del Arzobispo	Ruinoso	7
44008	Albalate del Arzobispo	Malo	8
44008	Albalate del Arzobispo	Deficiente	88
44008	Albalate del Arzobispo	Bueno	1044
44009	Albarracín	Ruinoso	2
44009	Albarracín	Malo	4
44009	Albarracín	Deficiente	21
44009	Albarracín	Bueno	463
44010	Albentosa	Ruinoso	13
44010	Albentosa	Malo	3
44010	Albentosa	Deficiente	18
44010	Albentosa	Bueno	220
44011	Alcaine	Deficiente	10
44011	Alcaine	Bueno	203
44012	Alcalá de la Selva	Deficiente	3
44012	Alcalá de la Selva	Bueno	871
44013	Alcañiz	Ruinoso	17
44013	Alcañiz	Malo	84
44013	Alcañiz	Deficiente	251
44013	Alcañiz	Bueno	2096
44014	Alcorisa	Ruinoso	1
44014	Alcorisa	Malo	6
44014	Alcorisa	Deficiente	63
44014	Alcorisa	Bueno	1090
44016	Alfambra	Ruinoso	11
44016	Alfambra	Malo	1
44016	Alfambra	Deficiente	47
44016	Alfambra	Bueno	351
44017	Aliaga	Malo	1
44017	Aliaga	Deficiente	7
44017	Aliaga	Bueno	466
44018	Almohaja	Ruinoso	1
44018	Almohaja	Deficiente	5
44018	Almohaja	Bueno	44
44019	Alobras	Bueno	106
44020	Alpeñés	Deficiente	2
44020	Alpeñés	Bueno	35
44021	Allepuz	Ruinoso	5
44021	Allepuz	Malo	3
44021	Allepuz	Deficiente	12
44021	Allepuz	Bueno	156
44022	Alloza	Ruinoso	1
44022	Alloza	Malo	17
44022	Alloza	Deficiente	79
44022	Alloza	Bueno	455
44023	Allueva	Bueno	58
44024	Anadón	Deficiente	17
44024	Anadón	Bueno	39
44025	Andorra	Ruinoso	18
44025	Andorra	Malo	33
44025	Andorra	Deficiente	91
44025	Andorra	Bueno	1907
44026	Arcos de las Salinas	Ruinoso	1
44026	Arcos de las Salinas	Malo	12
44026	Arcos de las Salinas	Deficiente	12
44026	Arcos de las Salinas	Bueno	196
44027	Arens de Lledó	Deficiente	2
