Mes y año	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Septiembre 2018	56	Servicios de comidas y bebidas	33329
Septiembre 2018	58	Edición	1210
Septiembre 2018	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	946
Septiembre 2018	60	Actividades de programación y emisión de radio y televisión	426
Septiembre 2018	61	Telecomunicaciones	1062
Septiembre 2018	62	Programación, consultoría y otras actividades relacionadas con la informática	5738
Septiembre 2018	63	Servicios de información	411
Septiembre 2018	64	Servicios financieros, excepto seguros y fondos de pensiones	5666
Septiembre 2018	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	1172
Septiembre 2018	66	Actividades auxiliares a los servicios financieros y a los seguros	2746
Septiembre 2018	68	Actividades inmobiliarias	2760
Septiembre 2018	69	Actividades jurídicas y de contabilidad	7334
Septiembre 2018	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	1874
Septiembre 2018	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5393
Septiembre 2018	72	Investigación y desarrollo	1818
Septiembre 2018	73	Publicidad y estudios de mercado	1426
Septiembre 2018	74	Otras actividades profesionales, científicas y técnicas	3108
Septiembre 2018	75	Actividades veterinarias	650
Septiembre 2018	77	Actividades de alquiler	1480
Septiembre 2018	78	Actividades relacionadas con el empleo	11047
Septiembre 2018	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	1134
Septiembre 2018	80	Actividades de seguridad e investigación	2682
Septiembre 2018	81	Servicios a edificios y actividades de jardinería	18081
Septiembre 2018	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	7407
Septiembre 2018	84	Administración Pública y defensa; Seguridad Social obligatoria	38202
Septiembre 2018	85	Educación	20417
Septiembre 2018	86	Actividades sanitarias	34870
Septiembre 2018	87	Asistencia en establecimientos residenciales	12130
Septiembre 2018	88	Actividades de servicios sociales sin alojamiento	5801
Septiembre 2018	90	Actividades de creación, artísticas y espectáculos	1566
Septiembre 2018	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	282
Septiembre 2018	92	Actividades de juegos de azar y apuestas	1152
Septiembre 2018	93	Actividades deportivas, recreativas y de entretenimiento	4841
Septiembre 2018	94	Actividades asociativas	5274
Septiembre 2018	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	2174
Septiembre 2018	96	Otros servicios personales	9066
Septiembre 2018	97	Actividades de los hogares como empleadores de personal doméstico	16621
Septiembre 2018	99	Actividades de organizaciones y organismos extraterritoriales	9
Junio 2018	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	48825
Junio 2018	02	Silvicultura y explotación forestal	2073
Junio 2018	03	Pesca y acuicultura	144
Junio 2018	05	Extracción de antracita, hulla y lignito	121
Junio 2018	07	Extracción de minerales metálicos	51
Junio 2018	08	Otras industrias extractivas	752
Junio 2018	09	Actividades de apoyo a las industrias extractivas	4
Junio 2018	10	Industria de la alimentación	14316
Junio 2018	11	Fabricación de bebidas	1311
Junio 2018	13	Industria textil	766
Junio 2018	14	Confección de prendas de vestir	1474
Junio 2018	15	Industria del cuero y del calzado	1119
Junio 2018	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	2150
Junio 2018	17	Industria del papel	2627
Junio 2018	18	Artes gráficas y reproducción de soportes grabados	1634
Junio 2018	19	Coquerías y refino de petróleo	1
Junio 2018	20	Industria química	3857
Junio 2018	21	Fabricación de productos farmacéuticos	1281
Junio 2018	22	Fabricación de productos de caucho y plásticos	4200
Junio 2018	23	Fabricación de otros productos minerales no metálicos	3592
Junio 2018	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	3040
Junio 2018	25	Fabricación de productos metálicos, excepto maquinaria y equipo	10367
Junio 2018	26	Fabricación de productos informáticos, electrónicos y ópticos	1720
Junio 2018	27	Fabricación de material y equipo eléctrico	5620
Junio 2018	28	Fabricación de maquinaria y equipo n.c.o.p.	7026
Junio 2018	29	Fabricación de vehículos de motor, remolques y semirremolques	17187
Junio 2018	30	Fabricación de otro material de transporte	1250
Junio 2018	31	Fabricación de muebles	3820
Junio 2018	32	Otras industrias manufactureras	1533
Junio 2018	33	Reparación e instalación de maquinaria y equipo	3427
Junio 2018	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1273
Junio 2018	36	Captación, depuración y distribución de agua	1597
Junio 2018	37	Recogida y tratamiento de aguas residuales	239
Junio 2018	38	Recogida, tratamiento y eliminación de residuos; valorización	3275
Junio 2018	39	Actividades de descontaminación y otros servicios de gestión de residuos	29
Junio 2018	41	Construcción de edificios	11330
Junio 2018	42	Ingeniería civil	1795
Junio 2018	43	Actividades de construcción especializada	22051
Junio 2018	45	Venta y reparación de vehículos de motor y motocicletas	9659
Junio 2018	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	28617
Junio 2018	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	50400
Junio 2018	49	Transporte terrestre y por tubería	22312
Junio 2018	50	Transporte marítimo y por vías navegables interiores	4
Junio 2018	51	Transporte aéreo	103
Junio 2018	52	Almacenamiento y actividades anexas al transporte	6383
Junio 2018	53	Actividades postales y de correos	2058
