Municipio codigo	Municipio nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Nº personas
44171	Olba	1	Soltero	1	Hombre	59,6737987695
44172	Oliete	1	Soltero	1	Hombre	73,2306154207
44173	Olmos (Los)	1	Soltero	1	Hombre	22,333780364
44174	Orihuela del Tremedal	1	Soltero	1	Hombre	87,5616572992
44175	Orrios	1	Soltero	1	Hombre	35,7756573547
44176	Palomar de Arroyos	1	Soltero	1	Hombre	53,140155417
44177	Pancrudo	1	Soltero	1	Hombre	38,7399527524
44178	Parras de Castellote (Las)	1	Soltero	1	Hombre	13,9354949111
44179	Peñarroya de Tastavins	1	Soltero	1	Hombre	94,5945610222
44180	Peracense	1	Soltero	1	Hombre	10,6639806442
44181	Peralejos	1	Soltero	1	Hombre	12,3912497496
44182	Perales del Alfambra	1	Soltero	1	Hombre	52,0763431688
44183	Pitarque	1	Soltero	1	Hombre	18,1738840505
44184	Plou	1	Soltero	1	Hombre	12,5146538025
44185	Pobo (El)	1	Soltero	1	Hombre	37,1961057551
44187	Portellada (La)	1	Soltero	1	Hombre	33,9732634836
44189	Pozondón	1	Soltero	1	Hombre	10,3213311966
44190	Pozuel del Campo	1	Soltero	1	Hombre	20,8586398337
44191	Puebla de Híjar (La)	1	Soltero	1	Hombre	140,0850274115
44192	Puebla de Valverde (La)	1	Soltero	1	Hombre	116,5271382332
44193	Puertomingalvo	1	Soltero	1	Hombre	25,9857398573
44194	Ráfales	1	Soltero	1	Hombre	23,1184194008
44195	Rillo	1	Soltero	1	Hombre	28,0490492802
44196	Riodeva	1	Soltero	1	Hombre	27,2858432849
44197	Ródenas	1	Soltero	1	Hombre	12,7734592198
44198	Royuela	1	Soltero	1	Hombre	46,5110779338
44199	Rubiales	1	Soltero	1	Hombre	8,6709206623
44200	Rubielos de la Cérida	1	Soltero	1	Hombre	9,1112650669
44201	Rubielos de Mora	1	Soltero	1	Hombre	101,3348369494
44204	Saldón	1	Soltero	1	Hombre	6,8402691854
44205	Samper de Calanda	1	Soltero	1	Hombre	151,5534027069
44206	San Agustín	1	Soltero	1	Hombre	40,7639097905
44207	San Martín del Río	1	Soltero	1	Hombre	26,5078627142
44208	Santa Cruz de Nogueras	1	Soltero	1	Hombre	12,4189961883
44209	Santa Eulalia	1	Soltero	1	Hombre	201,4380006726
44210	Sarrión	1	Soltero	1	Hombre	205,8687650319
44211	Segura de los Baños	1	Soltero	1	Hombre	3,596416374
44212	Seno	1	Soltero	1	Hombre	8,0878455303
44213	Singra	1	Soltero	1	Hombre	24,4703340165
44215	Terriente	1	Soltero	1	Hombre	50,1243781621
