Municipio código	Municipio nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
22059	Biescas	Mujeres	3	Construcción	2
22059	Biescas	Mujeres	4	Servicios	169
22060	Binaced	Hombres	1	Agricultura, ganadería y pesca	185
22060	Binaced	Hombres	2	Industria y energía	133
22060	Binaced	Hombres	3	Construcción	67
22060	Binaced	Hombres	4	Servicios	75
22060	Binaced	Mujeres	1	Agricultura, ganadería y pesca	33
22060	Binaced	Mujeres	2	Industria y energía	92
22060	Binaced	Mujeres	3	Construcción	3
22060	Binaced	Mujeres	4	Servicios	113
22061	Binéfar	Hombres	1	Agricultura, ganadería y pesca	308
22061	Binéfar	Hombres	2	Industria y energía	746
22061	Binéfar	Hombres	3	Construcción	440
22061	Binéfar	Hombres	4	Servicios	910
22061	Binéfar	Mujeres	1	Agricultura, ganadería y pesca	57
22061	Binéfar	Mujeres	2	Industria y energía	267
22061	Binéfar	Mujeres	3	Construcción	44
22061	Binéfar	Mujeres	4	Servicios	912
22062	Bisaurri	Hombres	1	Agricultura, ganadería y pesca	32
22062	Bisaurri	Hombres	2	Industria y energía	9
22062	Bisaurri	Hombres	3	Construcción	12
22062	Bisaurri	Hombres	4	Servicios	15
22062	Bisaurri	Mujeres	2	Industria y energía	6
22062	Bisaurri	Mujeres	3	Construcción	1
22062	Bisaurri	Mujeres	4	Servicios	27
22063	Biscarrués	Hombres	1	Agricultura, ganadería y pesca	23
22063	Biscarrués	Hombres	2	Industria y energía	4
22063	Biscarrués	Hombres	3	Construcción	7
22063	Biscarrués	Hombres	4	Servicios	16
22063	Biscarrués	Mujeres	1	Agricultura, ganadería y pesca	1
22063	Biscarrués	Mujeres	2	Industria y energía	2
22063	Biscarrués	Mujeres	4	Servicios	18
22064	Blecua y Torres	Hombres	1	Agricultura, ganadería y pesca	29
22064	Blecua y Torres	Hombres	2	Industria y energía	4
22064	Blecua y Torres	Hombres	3	Construcción	8
22064	Blecua y Torres	Hombres	4	Servicios	16
22064	Blecua y Torres	Mujeres	1	Agricultura, ganadería y pesca	1
22064	Blecua y Torres	Mujeres	4	Servicios	24
22066	Boltaña	Hombres	1	Agricultura, ganadería y pesca	19
22066	Boltaña	Hombres	2	Industria y energía	18
22066	Boltaña	Hombres	3	Construcción	71
22066	Boltaña	Hombres	4	Servicios	118
22066	Boltaña	Mujeres	1	Agricultura, ganadería y pesca	1
22066	Boltaña	Mujeres	2	Industria y energía	8
22066	Boltaña	Mujeres	3	Construcción	2
22066	Boltaña	Mujeres	4	Servicios	110
22067	Bonansa	Hombres	1	Agricultura, ganadería y pesca	9
22067	Bonansa	Hombres	2	Industria y energía	3
22067	Bonansa	Hombres	3	Construcción	1
22067	Bonansa	Hombres	4	Servicios	9
22067	Bonansa	Mujeres	1	Agricultura, ganadería y pesca	1
22067	Bonansa	Mujeres	2	Industria y energía	1
22067	Bonansa	Mujeres	4	Servicios	8
22068	Borau	Hombres	1	Agricultura, ganadería y pesca	8
22068	Borau	Hombres	2	Industria y energía	2
22068	Borau	Hombres	3	Construcción	8
22068	Borau	Hombres	4	Servicios	8
22068	Borau	Mujeres	4	Servicios	10
22069	Broto	Hombres	1	Agricultura, ganadería y pesca	43
22069	Broto	Hombres	2	Industria y energía	5
22069	Broto	Hombres	3	Construcción	33
22069	Broto	Hombres	4	Servicios	62
22069	Broto	Mujeres	1	Agricultura, ganadería y pesca	2
22069	Broto	Mujeres	2	Industria y energía	1
22069	Broto	Mujeres	4	Servicios	76
22072	Caldearenas	Hombres	1	Agricultura, ganadería y pesca	21
22072	Caldearenas	Hombres	2	Industria y energía	15
22072	Caldearenas	Hombres	3	Construcción	14
22072	Caldearenas	Hombres	4	Servicios	24
22072	Caldearenas	Mujeres	1	Agricultura, ganadería y pesca	3
22072	Caldearenas	Mujeres	2	Industria y energía	3
22072	Caldearenas	Mujeres	4	Servicios	16
22074	Campo	Hombres	1	Agricultura, ganadería y pesca	12
22074	Campo	Hombres	2	Industria y energía	22
22074	Campo	Hombres	3	Construcción	11
22074	Campo	Hombres	4	Servicios	38
22074	Campo	Mujeres	1	Agricultura, ganadería y pesca	1
22074	Campo	Mujeres	2	Industria y energía	7
22074	Campo	Mujeres	4	Servicios	43
22075	Camporrells	Hombres	1	Agricultura, ganadería y pesca	27
22075	Camporrells	Hombres	2	Industria y energía	4
22075	Camporrells	Hombres	3	Construcción	13
22075	Camporrells	Hombres	4	Servicios	23
22075	Camporrells	Mujeres	1	Agricultura, ganadería y pesca	1
22075	Camporrells	Mujeres	2	Industria y energía	1
22075	Camporrells	Mujeres	3	Construcción	1
22075	Camporrells	Mujeres	4	Servicios	21
22076	Canal de Berdún	Hombres	1	Agricultura, ganadería y pesca	48
22076	Canal de Berdún	Hombres	2	Industria y energía	14
22076	Canal de Berdún	Hombres	3	Construcción	13
22076	Canal de Berdún	Hombres	4	Servicios	34
22076	Canal de Berdún	Mujeres	1	Agricultura, ganadería y pesca	4
22076	Canal de Berdún	Mujeres	2	Industria y energía	6
22076	Canal de Berdún	Mujeres	3	Construcción	1
22076	Canal de Berdún	Mujeres	4	Servicios	35
22077	Candasnos	Hombres	1	Agricultura, ganadería y pesca	87
22077	Candasnos	Hombres	2	Industria y energía	10
22077	Candasnos	Hombres	3	Construcción	28
22077	Candasnos	Hombres	4	Servicios	49
22077	Candasnos	Mujeres	1	Agricultura, ganadería y pesca	14
22077	Candasnos	Mujeres	2	Industria y energía	7
22077	Candasnos	Mujeres	3	Construcción	1
22077	Candasnos	Mujeres	4	Servicios	67
22078	Canfranc	Hombres	1	Agricultura, ganadería y pesca	1
22078	Canfranc	Hombres	2	Industria y energía	15
22078	Canfranc	Hombres	3	Construcción	29
22078	Canfranc	Hombres	4	Servicios	144
22078	Canfranc	Mujeres	1	Agricultura, ganadería y pesca	3
22078	Canfranc	Mujeres	2	Industria y energía	4
22078	Canfranc	Mujeres	3	Construcción	1
22078	Canfranc	Mujeres	4	Servicios	108
22079	Capdesaso	Hombres	1	Agricultura, ganadería y pesca	14
22079	Capdesaso	Hombres	2	Industria y energía	4
22079	Capdesaso	Hombres	3	Construcción	7
22079	Capdesaso	Hombres	4	Servicios	8
22079	Capdesaso	Mujeres	1	Agricultura, ganadería y pesca	2
22079	Capdesaso	Mujeres	2	Industria y energía	1
22079	Capdesaso	Mujeres	4	Servicios	16
22080	Capella	Hombres	1	Agricultura, ganadería y pesca	37
22080	Capella	Hombres	2	Industria y energía	17
22080	Capella	Hombres	3	Construcción	20
22080	Capella	Hombres	4	Servicios	24
22080	Capella	Mujeres	1	Agricultura, ganadería y pesca	8
22080	Capella	Mujeres	2	Industria y energía	9
22080	Capella	Mujeres	4	Servicios	25
22081	Casbas de Huesca	Hombres	1	Agricultura, ganadería y pesca	46
22081	Casbas de Huesca	Hombres	2	Industria y energía	8
22081	Casbas de Huesca	Hombres	3	Construcción	14
22081	Casbas de Huesca	Hombres	4	Servicios	17
22081	Casbas de Huesca	Mujeres	1	Agricultura, ganadería y pesca	1
22081	Casbas de Huesca	Mujeres	2	Industria y energía	5
22081	Casbas de Huesca	Mujeres	4	Servicios	23
22082	Castejón del Puente	Hombres	1	Agricultura, ganadería y pesca	24
22082	Castejón del Puente	Hombres	2	Industria y energía	43
22082	Castejón del Puente	Hombres	3	Construcción	16
22082	Castejón del Puente	Hombres	4	Servicios	26
22082	Castejón del Puente	Mujeres	1	Agricultura, ganadería y pesca	2
22082	Castejón del Puente	Mujeres	2	Industria y energía	8
22082	Castejón del Puente	Mujeres	3	Construcción	3
22082	Castejón del Puente	Mujeres	4	Servicios	39
22083	Castejón de Monegros	Hombres	1	Agricultura, ganadería y pesca	65
22083	Castejón de Monegros	Hombres	2	Industria y energía	21
22083	Castejón de Monegros	Hombres	3	Construcción	16
22083	Castejón de Monegros	Hombres	4	Servicios	58
22083	Castejón de Monegros	Mujeres	1	Agricultura, ganadería y pesca	8
22083	Castejón de Monegros	Mujeres	2	Industria y energía	9
22083	Castejón de Monegros	Mujeres	4	Servicios	56
22084	Castejón de Sos	Hombres	1	Agricultura, ganadería y pesca	19
22084	Castejón de Sos	Hombres	2	Industria y energía	24
22084	Castejón de Sos	Hombres	3	Construcción	43
22084	Castejón de Sos	Hombres	4	Servicios	77
22084	Castejón de Sos	Mujeres	1	Agricultura, ganadería y pesca	4
22084	Castejón de Sos	Mujeres	2	Industria y energía	5
22084	Castejón de Sos	Mujeres	3	Construcción	4
22084	Castejón de Sos	Mujeres	4	Servicios	96
22085	Castelflorite	Hombres	1	Agricultura, ganadería y pesca	27
22085	Castelflorite	Hombres	2	Industria y energía	6
22085	Castelflorite	Hombres	3	Construcción	5
22085	Castelflorite	Hombres	4	Servicios	5
