Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2009	44013	Alcañiz	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	74
2009	44013	Alcañiz	72	Investigación y desarrollo	12
2009	44013	Alcañiz	73	Publicidad y estudios de mercado	10
2009	44013	Alcañiz	74	Otras actividades profesionales, científicas y técnicas	35
2009	44013	Alcañiz	75	Actividades veterinarias	12
2009	44013	Alcañiz	77	Actividades de alquiler	35
2009	44013	Alcañiz	78	Actividades relacionadas con el empleo	3
2009	44013	Alcañiz	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	5
2009	44013	Alcañiz	80	Actividades de seguridad e investigación	3
2009	44013	Alcañiz	81	Servicios a edificios y actividades de jardinería	22
2009	44013	Alcañiz	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	48
2009	44013	Alcañiz	85	Educación	49
2009	44013	Alcañiz	86	Actividades sanitarias	49
2009	44013	Alcañiz	87	Asistencia en establecimientos residenciales	1
2009	44013	Alcañiz	88	Actividades de servicios sociales sin alojamiento	3
2009	44013	Alcañiz	90	Actividades de creación, artísticas y espectáculos	16
2009	44013	Alcañiz	92	Actividades de juegos de azar y apuestas	18
2009	44013	Alcañiz	93	Actividades deportivas, recreativas y de entretenimiento	17
2009	44013	Alcañiz	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	24
2009	44013	Alcañiz	96	Otros servicios personales	85
2009	44216	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	49
2009	44216	Teruel	02	Silvicultura y explotación forestal	12
2009	44216	Teruel	05	Extracción de antracita, hulla y lignito	1
2009	44216	Teruel	08	Otras industrias extractivas	8
2009	44216	Teruel	10	Industria de la alimentación	45
2009	44216	Teruel	13	Industria textil	3
2009	44216	Teruel	14	Confección de prendas de vestir	3
