Comarca código	Comarca nombre	Año de construcción	Número hogares
33	Matarraña / Matarranya	1921 - 1940	133
33	Matarraña / Matarranya	1941 - 1950	103
33	Matarraña / Matarranya	1951 - 1960	132
33	Matarraña / Matarranya	1961 - 1970	212
33	Matarraña / Matarranya	1971 - 1980	388
33	Matarraña / Matarranya	1981 - 1990	363
33	Matarraña / Matarranya	1991	30
33	Matarraña / Matarranya	1992	35
33	Matarraña / Matarranya	1993	30
33	Matarraña / Matarranya	1994	20
33	Matarraña / Matarranya	1995	46
33	Matarraña / Matarranya	1996	31
33	Matarraña / Matarranya	1997	19
33	Matarraña / Matarranya	1998	30
33	Matarraña / Matarranya	1999	37
33	Matarraña / Matarranya	2000	24
33	Matarraña / Matarranya	2001	16
