Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2007	4	75	Administración pública, defensa y seguridad social obligatoria	25	Jiloca
2007	4	14	Extracción de minerales no metálicos ni energéticos	27	Andorra-Sierra de Arcos
2007	4	75	Administración pública, defensa y seguridad social obligatoria	27	Andorra-Sierra de Arcos
2007	4	60	Transporte terrestre; transporte por tuberías	28	Bajo Aragón
2007	3	28	Fabricación de productos metálicos, excepto maquinaria y equipo	01	La Jacetania
2007	3	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2007	3	32	Fabricación de material electrónico; fabricación de equipo y aparatos de radio, televisión y comunicaciones	07	Somontano de Barbastro
2007	3	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	11	Bajo Cinca / Baix Cinca
2007	3	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja
2007	3	64	Correos y telecomunicaciones	17	Central
2007	3	63	Actividades anexas a los transportes; actividades de agencias de viajes	18	Ribera Baja del Ebro
2007	3	64	Correos y telecomunicaciones	29	Comunidad de Teruel
2007	3	80	Educación	29	Comunidad de Teruel
2007	2	14	Extracción de minerales no metálicos ni energéticos	02	Alto Gállego
2007	2	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	03	Sobrarbe
2007	2	25	Fabricacion de productos de caucho y materias plasticas	08	Cinca Medio
2007	2	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo
2007	2	60	Transporte terrestre; transporte por tuberías	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	2	25	Fabricacion de productos de caucho y materias plasticas	20	Comunidad de Calatayud
2007	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2007	2	36	Fabricación de muebles; otras industrias manufactureras	23	Bajo Martín
2007	2	25	Fabricacion de productos de caucho y materias plasticas	25	Jiloca
2007	2	34	Fabricación de vehículos de motor, remolques y semirremolques	28	Bajo Aragón
2007	1	26	Fabricación de otros productos minerales no metálicos	01	La Jacetania
2007	1	63	Actividades anexas a los transportes; actividades de agencias de viajes	01	La Jacetania
2007	1	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	02	Alto Gállego
2007	1	55	Hostelería	04	La Ribagorza
2007	1	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza
2007	1	95	Hogares que emplean personal doméstico	05	Cinco Villas
2007	1	31	Fabricación de maquinaria y material eléctrico	07	Somontano de Barbastro
2007	1	29	Industria de la construción de maquinaria y equipo mecánico	08	Cinca Medio
2007	1	60	Transporte terrestre; transporte por tuberías	09	La Litera / La Llitera
2007	1	10	Extracción y aglomeración de antracita, hulla, lignito y turba	11	Bajo Cinca / Baix Cinca
2007	1	93	Actividades diversas de servicios personales	11	Bajo Cinca / Baix Cinca
2007	1	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	12	Tarazona y el Moncayo
2007	1	36	Fabricación de muebles; otras industrias manufactureras	15	Ribera Alta del Ebro
2007	1	92	Actividades recreativas, culturales y deportivas	15	Ribera Alta del Ebro
2007	1	15	Industria de productos alimenticios y bebidas	16	Valdejalón
2007	1	21	Industria del papel	16	Valdejalón
2007	1	35	Fabricación de otro material de transporte	17	Central
2007	1	22	Edición, artes gráficas y reproducción de soportes grabados	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	1	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2007	1	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	24	Campo de Daroca
2007	1	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	24	Campo de Daroca
2007	1	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	30	Maestrazgo
2007	1	36	Fabricación de muebles; otras industrias manufactureras	31	Sierra de Albarracín
