Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción
2014	15	Ribera Alta del Ebro	40090,7	21	B y E Extractivas; Energía y agua
2014	16	Valdejalón	43584,3	21	B y E Extractivas; Energía y agua
2014	17	D.C. Zaragoza	523048,5	21	B y E Extractivas; Energía y agua
2014	18	Ribera Baja del Ebro	117967,8	21	B y E Extractivas; Energía y agua
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8199,8	21	B y E Extractivas; Energía y agua
2014	20	Comunidad de Calatayud	30773,8	21	B y E Extractivas; Energía y agua
2014	21	Campo de Cariñena	10179,2	21	B y E Extractivas; Energía y agua
2014	22	Campo de Belchite	11237,2	21	B y E Extractivas; Energía y agua
2014	23	Bajo Martín	69106,3	21	B y E Extractivas; Energía y agua
2014	24	Campo de Daroca	3614,9	21	B y E Extractivas; Energía y agua
2014	25	Jiloca	21662	21	B y E Extractivas; Energía y agua
2014	26	Cuencas Mineras	31059,5	21	B y E Extractivas; Energía y agua
2014	27	Andorra-Sierra de Arcos	132818,6	21	B y E Extractivas; Energía y agua
2014	28	Bajo Aragón	56383,6	21	B y E Extractivas; Energía y agua
