Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar con remuneración	Personas mano obra familiar sin remuneración	Personas jefes de explotación	Total jornadas completas	Total jornadas parciales	Personas asalariados fijos total	Personas asalariados fijos varones	Personas asalariadas fijas mujeres	Unidades de trabajo/año totales
1989	44020	Alpeñés	20	0	20	20	3400	30	3	3	0	13
1989	44021	Allepuz	121	0	121	94	19605	907	6	6	0	63
1989	44022	Alloza	249	0	249	169	13435	18724	3	3	0	79
1989	44023	Allueva	2	0	2	2	730	0	4	4	0	2
1989	44024	Anadón	13	0	13	6	2390	340	2	2	0	8
1989	44025	Andorra	588	2	586	312	22537	21518	3	3	0	114
1989	44026	Arcos de las Salinas	85	0	85	51	5949	1081	1	1	0	20
1989	44027	Arens de Lledó	148	0	148	89	17176	4305	2	2	0	67
1989	44028	Argente	119	0	119	70	12346	9259	3	3	0	61
1989	44029	Ariño	266	0	266	186	3330	14234	3	3	0	36
1989	44031	Azaila	57	1	56	50	9772	1315	4	3	1	40
1989	44032	Bádenas	10	0	10	8	2100	91	5	5	0	8
1989	44033	Báguena	363	11	352	207	24210	4437	4	3	1	97
1989	44034	Bañón	69	0	69	40	10713	5161	8	8	0	46
1989	44035	Barrachina	79	0	79	46	7935	3020	4	4	0	32
1989	44036	Bea	13	0	13	12	1214	72	5	5	0	5
1989	44037	Beceite	214	1	213	208	15700	6630	14	14	0	63
1989	44038	Belmonte de San José	157	1	156	112	10230	7979	2	2	0	52
1989	44039	Bello	203	0	203	94	20150	61	3	2	1	71
1989	44040	Berge	131	0	131	84	7690	7900	1	1	0	43
1989	44041	Bezas	22	0	22	14	550	995	2	2	0	7
1989	44042	Blancas	75	0	75	48	9875	834	3	3	0	34
1989	44043	Blesa	70	0	70	50	9742	2119	6	6	0	36
1989	44044	Bordón	69	0	69	45	9645	3407	2	2	0	37
1989	44045	Bronchales	75	0	75	73	9453	334	4	4	0	35
1989	44046	Bueña	61	0	61	42	10020	3370	2	2	0	37
1989	44047	Burbáguena	391	2	389	240	11888	6935	13	10	3	58
1989	44048	Cabra de Mora	63	0	63	46	2226	3158	16	14	2	16
1989	44049	Calaceite	616	7	609	356	63485	12419	7	7	0	255
1989	44050	Calamocha	1109	1	1108	828	74230	30388	52	49	3	319
1989	44051	Calanda	626	3	623	395	74372	23608	20	20	0	317
1989	44052	Calomarde	27	0	27	23	4935	100	2	2	0	16
1989	44053	Camañas	69	0	69	44	12875	1575	3	3	0	43
1989	44054	Camarena de la Sierra	221	0	221	208	3746	2239	2	2	0	19
1989	44055	Camarillas	77	0	77	67	4514	3447	4	4	0	21
1989	44056	Caminreal	187	0	187	148	22534	16600	2	2	0	108
1989	44059	Cantavieja	176	0	176	100	25434	9058	6	6	0	102
1989	44060	Cañada de Benatanduz	50	3	47	26	6570	4216	4	4	0	29
1989	44061	Cañada de Verich (La)	93	0	93	61	4153	4681	5	5	0	23
1989	44062	Cañada Vellida	31	0	31	24	5975	525	2	2	0	19
1989	44063	Cañizar del Olivar	70	1	69	58	720	3524	7	7	0	11
1989	44064	Cascante del Río	245	1	244	212	5943	3619	3	3	0	28
1989	44065	Castejón de Tornos	62	0	62	28	6275	8	4	4	0	22
1989	44066	Castel de Cabra	71	1	70	47	1730	7062	6	6	0	22
1989	44067	Castelnou	37	0	37	27	5335	950	9	8	1	26
1989	44068	Castelserás	254	5	249	147	11915	15167	2	2	0	71
1989	44070	Castellar (El)	59	0	59	38	3470	5132	10	10	0	22
1989	44071	Castellote	552	1	551	387	32549	17860	29	29	0	153
1989	44074	Cedrillas	193	0	193	145	10182	19791	9	9	0	71
1989	44075	Celadas	222	0	222	121	27267	3714	3	3	0	96
1989	44076	Cella	911	28	883	501	45041	88543	24	22	2	332
1989	44077	Cerollera (La)	54	0	54	54	537	1561	2	2	0	5
1989	44080	Codoñera (La)	130	1	129	70	18600	6265	1	1	0	75
1989	44082	Corbalán	54	0	54	33	4903	1773	2	2	0	20
1989	44084	Cortes de Aragón	32	0	32	20	3136	1279	2	2	0	16
1989	44085	Cosa	49	0	49	29	8645	3810	4	4	0	34
1989	44086	Cretas	412	5	407	262	55232	6773	8	8	0	212
1989	44087	Crivillén	100	0	100	97	2237	1259	8	8	0	12
1989	44088	Cuba (La)	37	0	37	23	4591	941	2	2	0	17
1989	44089	Cubla	145	0	145	127	4915	3107	2	2	0	23
1989	44090	Cucalón	17	0	17	13	3785	455	2	2	0	14
1989	44092	Cuervo (El)	88	0	88	53	1003	5705	3	3	0	14
1989	44093	Cuevas de Almudén	41	0	41	29	1860	2497	2	2	0	10
1989	44094	Cuevas Labradas	68	0	68	46	6350	2111	4	4	0	25
1989	44096	Ejulve	364	0	364	311	4354	9010	8	8	0	31
1989	44097	Escorihuela	143	0	143	68	14209	1863	6	6	0	51
1989	44099	Escucha	110	1	109	85	4204	7604	6	6	0	28
1989	44100	Estercuel	133	0	133	126	0	3585	9	9	0	11
1989	44101	Ferreruela de Huerva	30	0	30	26	4728	124	4	4	0	17
1989	44102	Fonfría	21	0	21	11	4110	775	3	3	0	15
1989	44103	Formiche Alto	74	0	74	49	3014	724	7	7	0	12
1989	44105	Fórnoles	299	0	299	218	9314	4563	3	3	0	41
1989	44106	Fortanete	141	2	139	99	11810	10601	5	5	0	57
1989	44107	Foz-Calanda	122	5	117	63	16900	6300	2	2	0	70
1989	44108	Fresneda (La)	447	2	445	309	32166	6067	2	2	0	123
1989	44109	Frías de Albarracín	47	0	47	34	9043	527	3	3	0	35
1989	44110	Fuenferrada	29	0	29	27	4865	954	3	3	0	18
1989	44111	Fuentes Calientes	73	4	69	43	8390	3878	1	0	1	33
1989	44112	Fuentes Claras	208	0	208	153	28376	4521	7	7	0	102
1989	44113	Fuentes de Rubielos	85	0	85	78	1701	2363	15	15	0	11
1989	44114	Fuentespalda	209	2	207	149	25655	11250	9	9	0	111
1989	44115	Galve	77	1	76	40	8120	3415	4	4	0	35
1989	44116	Gargallo	101	0	101	95	0	2425	4	4	0	4
1989	44117	Gea de Albarracín	156	2	154	125	13847	9734	3	3	0	61
1989	44118	Ginebrosa (La)	232	0	232	157	28309	11357	10	10	0	123
1989	44119	Griegos	37	0	37	32	7510	822	3	3	0	29
1989	44120	Guadalaviar	65	0	65	49	15235	504	4	4	0	56
1989	44121	Gúdar	77	0	77	54	5640	3052	22	20	2	28
1989	44122	Híjar	449	1	448	361	34513	42112	41	41	0	225
1989	44123	Hinojosa de Jarque	62	0	62	51	4190	3251	3	3	0	21
1989	44124	Hoz de la Vieja (La)	99	0	99	87	8341	3313	3	3	0	31
1989	44125	Huesa del Común	51	0	51	48	3765	3039	6	6	0	17
1989	44126	Iglesuela del Cid (La)	171	0	171	126	25290	3151	5	5	0	86
1989	44127	Jabaloyas	58	0	58	33	6945	1313	3	3	0	30
1989	44128	Jarque de la Val	44	0	44	24	4580	1981	4	4	0	19
1989	44129	Jatiel	11	0	11	9	1235	420	2	2	0	6
1989	44130	Jorcas	32	0	32	20	6621	616	2	2	0	23
1989	44131	Josa	59	0	59	58	1440	891	2	2	0	8
1989	44132	Lagueruela	28	0	28	22	5430	253	5	4	1	21
1989	44133	Lanzuela	19	0	19	16	2801	187	3	3	0	10
1989	44135	Libros	177	0	177	132	6248	4354	2	2	0	28
1989	44136	Lidón	36	0	36	23	6220	2455	2	2	0	25
1989	44137	Linares de Mora	184	0	184	119	13661	6837	10	9	1	58
1989	44138	Loscos	69	0	69	54	11421	1109	4	4	0	42
1989	44141	Lledó	104	1	103	61	14515	3421	0	0	0	57
1989	44142	Maicas	32	0	32	32	720	287	2	2	0	2
1989	44143	Manzanera	258	0	258	203	11460	10932	6	6	0	57
1989	44144	Martín del Río	123	0	123	109	8733	2776	7	7	0	37
1989	44145	Mas de las Matas	186	2	184	140	23525	8523	10	10	0	98
1989	44146	Mata de los Olmos (La)	54	0	54	49	883	1476	19	16	3	28
1989	44147	Mazaleón	402	1	401	220	58869	8629	3	3	0	231
1989	44148	Mezquita de Jarque	43	0	43	27	5277	1918	4	4	0	21
1989	44149	Mirambel	62	0	62	39	9995	2689	3	3	0	37
1989	44150	Miravete de la Sierra	53	0	53	41	5595	443	4	4	0	19
1989	44151	Molinos	162	1	161	107	11863	7241	3	3	0	57
1989	44152	Monforte de Moyuela	43	0	43	35	8353	691	4	4	0	27
1989	44153	Monreal del Campo	376	0	376	278	33144	19834	36	33	3	198
1989	44154	Monroyo	141	3	138	125	4940	5571	8	8	0	28
1989	44155	Montalbán	163	0	163	138	2592	6560	14	14	0	28
1989	44156	Monteagudo del Castillo	41	0	41	34	7045	464	4	4	0	24
1989	44157	Monterde de Albarracín	29	0	29	18	5643	127	1	1	0	17
1989	44158	Mora de Rubielos	330	0	330	310	19790	5779	24	23	1	75
1989	44159	Moscardón	32	0	32	15	805	3263	3	3	0	13
1989	44160	Mosqueruela	332	0	332	222	64090	4784	8	8	0	206
1989	44161	Muniesa	253	0	253	149	26434	6461	6	6	0	102
1989	44163	Noguera de Albarracín	50	0	50	44	5950	190	4	4	0	18
1989	44164	Nogueras	14	0	14	12	2335	93	4	4	0	7
1989	44165	Nogueruelas	138	0	138	120	2562	7088	4	4	0	23
1989	44167	Obón	99	0	99	87	2300	2393	2	2	0	14
1989	44168	Odón	115	0	115	80	17125	2687	4	4	0	66
1989	44169	Ojos Negros	125	0	125	90	16976	523	2	2	0	54
1989	44171	Olba	320	0	320	305	3195	4644	5	5	0	19
1989	44172	Oliete	354	0	354	255	14197	14634	13	13	0	77
1989	44173	Olmos (Los)	106	0	106	70	6942	4733	7	7	0	34
1989	44174	Orihuela del Tremedal	44	0	44	41	7977	3	3	3	0	29
1989	44175	Orrios	91	0	91	61	8555	3996	5	5	0	38
1989	44176	Palomar de Arroyos	59	0	59	53	4510	634	5	5	0	20
1989	44177	Pancrudo	81	0	81	80	8481	2443	9	9	0	40
1989	44178	Parras de Castellote (Las)	58	0	58	40	7231	1873	1	1	0	27
1989	44179	Peñarroya de Tastavins	285	0	285	177	33503	14420	22	20	2	150
1989	44180	Peracense	29	0	29	17	3430	376	2	2	0	13
1989	44181	Peralejos	38	0	38	26	2725	1254	7	7	0	16
1989	44182	Perales del Alfambra	137	6	131	99	14545	6085	12	12	0	64
1989	44183	Pitarque	113	0	113	97	3871	3837	4	4	0	19
1989	44184	Plou	21	0	21	18	1960	213	2	2	0	6
1989	44185	Pobo (El)	90	0	90	57	7367	9250	3	3	0	41
1989	44187	Portellada (La)	122	0	122	70	20008	3577	0	0	0	74
1989	44189	Pozondón	43	0	43	34	3745	242	2	2	0	13
1989	44190	Pozuel del Campo	36	0	36	22	6095	166	4	4	0	19
1989	44191	Puebla de Híjar (La)	163	0	163	131	24167	6842	22	22	0	177
1989	44192	Puebla de Valverde (La)	312	2	310	284	15985	3296	18	17	1	65
1989	44193	Puertomingalvo	146	0	146	97	22640	1921	5	5	0	73
1989	44194	Ráfales	102	0	102	72	14992	3032	0	0	0	56
1989	44195	Rillo	40	0	40	30	9840	175	3	3	0	30
1989	44196	Riodeva	328	0	328	278	4065	4985	4	4	0	22
1989	44197	Ródenas	50	0	50	38	5214	264	4	4	0	19
1989	44198	Royuela	47	0	47	44	10826	223	2	2	0	34
1989	44199	Rubiales	52	0	52	49	995	492	2	2	0	6
