Municipio codigo	Municipio nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Población
44106	Fortanete	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,0801734534
44107	Foz-Calanda	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,7103807442
44108	Fresneda (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,496548904
44111	Fuentes Calientes	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,8815610094
44112	Fuentes Claras	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,3362634876
44113	Fuentes de Rubielos	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,0868163667
44114	Fuentespalda	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,0734997582
44115	Galve	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,7750348156
44117	Gea de Albarracín	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	19,9096290856
44118	Ginebrosa (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,5642026707
44120	Guadalaviar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	7,8991033339
44121	Gúdar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,0386767941
44122	Híjar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	42,0182185796
44123	Hinojosa de Jarque	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,9817419498
44125	Huesa del Común	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,7149660922
44126	Iglesuela del Cid (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,5841348616
44128	Jarque de la Val	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,1618592895
44131	Josa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,9178833069
44132	Lagueruela	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,7320427539
44136	Lidón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,0851206588
44137	Linares de Mora	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,5407936768
44141	Lledó	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,7823894972
44142	Maicas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,1288238913
44143	Manzanera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,82499445
44144	Martín del Río	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,9335326892
44145	Mas de las Matas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	42,4033488224
44146	Mata de los Olmos (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,4021158101
44147	Mazaleón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,1877014497
44148	Mezquita de Jarque	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,3507092204
