Mes y año	Mes (código)	Mes nombre	Año	AÑO-CNO	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos	CCAA nombre
Marzo 2020	202003	Marzo	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	500	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1078	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	2754	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	5285	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	349	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	56	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2627	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	582	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2166	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	625	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	7856	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	5889	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	99	Ocupaciones militares	Mujeres	1	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	1	Directores y gerentes	Hombres	68	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	1	Directores y gerentes	Mujeres	59	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	1404	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1504	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	1719	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	1376	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	1046	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1997	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	4317	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	7526	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	473	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	89	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	3172	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	522	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2741	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	781	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	9312	Aragón
Febrero 2020	202002	Febrero	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	6777	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	1	Directores y gerentes	Hombres	58	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	1	Directores y gerentes	Mujeres	33	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	1337	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1537	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	1990	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	1593	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	731	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1511	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	4244	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	7480	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	427	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	84	Aragón
Enero 2020	202001	Enero	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	3322	Aragón
