Año	Código del municipio	Nombre del municipio	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva otra máquina
1989	50065	Cabolafuente	23	19	0	4	0	15	15	0	4	0	15	6	0	13	0
1989	50066	Cadrete	36	10	25	1	0	29	10	25	1	0	53	38	9	41	12
1989	50067	Calatayud	281	170	107	4	0	239	143	106	4	0	396	352	6	72	0
1989	50068	Calatorao	221	201	8	4	8	184	182	8	4	7	593	487	3	300	7
1989	50069	Calcena	1	1	0	0	0	1	1	0	0	0	5	1	3	1	0
1989	50070	Calmarza	15	10	2	3	0	12	10	2	3	0	18	10	0	18	0
1989	50071	Campillo de Aragón	33	31	0	2	0	30	30	0	2	0	69	40	0	69	0
1989	50072	Carenas	31	14	17	0	0	27	12	16	0	0	94	94	0	1	0
1989	50073	Cariñena	139	135	0	3	1	100	100	0	3	1	536	500	0	72	0
1989	50074	Caspe	1155	538	517	52	48	871	473	505	49	43	665	294	71	389	93
1989	50075	Castejón de Alarba	30	29	0	0	1	28	28	0	0	1	32	32	0	1	0
1989	50076	Castejón de las Armas	16	16	0	0	0	15	15	0	0	0	60	59	1	0	0
1989	50077	Castejón de Valdejasa	67	53	4	6	4	43	42	4	6	3	148	136	0	118	2
1989	50078	Castiliscar	48	38	2	5	3	37	35	2	5	3	140	109	1	138	1
1989	50079	Cervera de la Cañada	58	51	5	0	2	53	49	5	0	1	141	103	1	69	0
1989	50080	Cerveruela	3	2	0	0	1	1	1	0	0	1	1	0	0	1	0
1989	50081	Cetina	113	79	2	10	22	82	78	2	10	18	140	77	0	121	18
1989	50082	Cimballa	22	18	1	3	0	16	16	1	3	0	34	18	2	27	1
1989	50083	Cinco Olivas	7	2	3	1	1	3	2	3	1	1	3	1	0	3	0
1989	50084	Clarés de Ribota	17	17	0	0	0	16	16	0	0	0	69	57	0	20	0
1989	50085	Codo	10	7	3	0	0	8	7	3	0	0	17	9	0	17	0
1989	50086	Codos	69	55	13	0	1	56	45	13	0	1	142	138	0	5	1
1989	50087	Contamina	10	9	1	0	0	10	9	1	0	0	16	7	0	14	0
1989	50088	Cosuenda	61	52	7	1	1	48	41	7	1	1	199	186	0	42	0
1989	50089	Cuarte de Huerva	24	12	11	1	0	17	12	11	1	0	20	11	1	15	13
1989	50090	Cubel	61	48	0	13	0	37	37	0	13	0	32	10	0	32	1
1989	50091	Cuerlas (Las)	21	18	0	3	0	15	15	0	3	0	18	6	0	18	0
1989	50092	Chiprana	52	34	11	3	4	26	19	11	3	2	34	16	3	24	4
1989	50093	Chodes	22	18	4	0	0	22	18	4	0	0	53	43	10	0	0
1989	50094	Daroca	104	60	17	14	13	59	51	17	12	11	151	123	6	62	2
1989	50095	Ejea de los Caballeros	1404	1201	22	115	66	1058	1046	22	105	61	2924	1994	24	2621	135
1989	50096	Embid de Ariza	18	16	0	1	1	14	14	0	1	1	10	2	0	9	0
1989	50098	Encinacorba	50	50	0	0	0	43	43	0	0	0	120	111	0	17	0
1989	50099	Épila	438	283	136	12	7	275	257	106	12	6	669	435	526	466	1
1989	50100	Erla	18	12	3	1	2	10	8	3	1	2	45	40	0	37	4
1989	50101	Escatrón	127	95	25	6	1	111	92	25	6	1	191	156	2	52	2
1989	50102	Fabara	234	165	50	3	16	190	156	50	3	15	142	135	3	6	2
1989	50104	Farlete	90	72	3	13	2	59	59	3	13	1	96	54	1	96	1
1989	50105	Fayón	69	60	7	2	0	59	58	6	2	0	39	36	0	5	21
1989	50106	Fayos (Los)	17	3	14	0	0	17	3	14	0	0	42	33	10	5	0
1989	50107	Figueruelas	74	60	10	2	2	61	53	10	2	2	100	58	1	97	12
1989	50108	Fombuena	4	4	0	0	0	3	3	0	0	0	3	1	0	3	0
1989	50109	Frago (El)	15	11	2	2	0	12	10	2	2	0	28	20	0	25	0
1989	50110	Frasno (El)	135	116	18	0	1	105	89	18	0	1	236	235	0	1	0
1989	50111	Fréscano	95	51	35	7	2	49	41	35	7	2	54	20	5	51	27
1989	50113	Fuendejalón	137	133	3	1	0	126	124	3	1	0	215	105	0	183	1
1989	50114	Fuendetodos	38	29	1	6	2	25	24	1	6	2	38	22	0	35	0
1989	50115	Fuentes de Ebro	552	302	192	26	32	370	261	191	26	26	542	269	256	438	244
1989	50116	Fuentes de Jiloca	70	42	24	1	3	60	40	24	1	2	105	98	2	13	0
1989	50117	Gallocanta	36	29	0	7	0	24	24	0	7	0	30	14	0	29	0
1989	50118	Gallur	240	100	119	13	8	177	83	118	10	7	440	341	51	372	16
1989	50119	Gelsa	277	139	99	34	5	155	130	98	33	5	221	73	74	143	12
1989	50120	Godojos	18	18	0	0	0	16	16	0	0	0	34	27	0	8	0
1989	50121	Gotor	47	47	0	0	0	42	42	0	0	0	57	57	0	0	0
1989	50122	Grisel	17	9	7	1	0	13	9	7	1	0	29	21	4	13	3
1989	50123	Grisén	43	32	11	0	0	36	26	11	0	0	70	36	14	40	2
1989	50124	Herrera de los Navarros	116	88	0	22	6	82	81	0	22	6	166	109	0	93	19
1989	50125	Ibdes	63	55	5	3	0	51	48	5	3	0	81	79	1	4	0
1989	50126	Illueca	53	21	31	0	1	52	21	30	0	1	204	200	5	0	0
1989	50128	Isuerre	18	11	0	6	1	8	8	0	6	1	8	3	3	4	0
1989	50129	Jaraba	20	17	2	1	0	15	14	2	1	0	39	36	0	13	0
1989	50130	Jarque	83	80	2	1	0	76	74	2	1	0	102	102	0	0	0
1989	50131	Jaulín	59	40	2	16	1	35	34	2	15	1	54	21	0	35	48
1989	50132	Joyosa (La)	63	49	8	1	5	51	45	8	1	4	65	14	1	64	22
1989	50133	Lagata	49	31	14	1	3	37	28	14	1	2	38	6	0	37	0
1989	50134	Langa del Castillo	36	30	1	2	3	27	27	1	2	3	31	6	0	31	0
1989	50135	Layana	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0
1989	50136	Lécera	158	123	0	30	5	108	107	0	28	2	147	79	0	115	1
1989	50137	Leciñena	182	143	0	32	7	141	140	0	32	7	176	69	0	170	11
1989	50138	Lechón	40	22	2	9	7	14	14	2	9	7	5	0	0	5	2
1989	50139	Letux	107	69	23	7	8	76	60	23	7	7	99	44	3	87	0
1989	50140	Litago	24	20	2	2	0	22	20	2	2	0	46	24	9	30	19
1989	50141	Lituénigo	23	20	1	1	1	19	18	1	1	1	45	27	7	38	22
1989	50142	Lobera de Onsella	14	8	0	4	2	6	6	0	3	2	15	4	7	5	1
1989	50143	Longares	107	102	0	5	0	89	89	0	4	0	279	210	1	169	0
1989	50144	Longás	2	2	0	0	0	2	2	0	0	0	2	1	0	2	0
1989	50146	Lucena de Jalón	39	37	2	0	0	31	31	2	0	0	61	49	10	32	0
1989	50147	Luceni	168	106	55	3	4	117	92	55	2	4	172	27	2	168	9
1989	50148	Luesia	61	39	7	13	2	38	31	7	13	2	77	62	1	67	1
1989	50149	Luesma	8	5	1	2	0	4	3	1	2	0	1	0	0	1	0
1989	50150	Lumpiaque	64	55	4	5	0	58	53	4	5	0	82	43	2	57	0
1989	50151	Luna	317	223	7	71	16	176	171	7	70	16	517	394	0	473	62
1989	50152	Maella	415	252	161	0	2	304	248	149	0	2	410	356	35	34	51
1989	50153	Magallón	273	162	93	16	2	164	134	85	15	2	238	173	11	140	85
1989	50154	Mainar	33	25	0	7	1	21	21	0	6	1	23	7	0	22	4
1989	50155	Malanquilla	24	19	1	4	0	16	15	1	4	0	28	16	0	28	0
1989	50156	Maleján	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	50157	Malón	34	23	11	0	0	33	22	11	0	0	78	66	7	41	0
1989	50159	Maluenda	157	128	28	0	1	146	118	28	0	1	139	134	5	0	0
1989	50160	Mallén	321	159	146	9	7	222	146	146	9	7	422	264	98	361	185
1989	50161	Manchones	29	24	3	2	0	22	20	3	2	0	38	36	0	21	0
1989	50162	Mara	44	41	0	3	0	41	41	0	3	0	111	94	0	32	1
1989	50163	María de Huerva	133	75	32	18	8	72	59	31	16	6	95	45	9	59	65
1989	50164	Mediana de Aragón	183	72	65	24	22	84	66	59	24	19	140	75	36	105	50
1989	50165	Mequinenza	337	258	67	8	4	277	241	67	8	3	158	132	1	27	2
1989	50166	Mesones de Isuela	54	52	1	1	0	53	52	1	1	0	91	55	1	44	0
1989	50167	Mezalocha	129	68	45	14	2	60	47	44	13	2	50	18	20	29	0
1989	50168	Mianos	14	9	1	1	3	8	8	1	1	3	8	1	0	8	0
1989	50169	Miedes de Aragón	93	76	1	13	3	68	67	1	13	3	152	97	0	122	22
1989	50170	Monegrillo	98	72	4	20	2	59	59	3	17	2	120	80	0	119	0
1989	50171	Moneva	43	36	0	7	0	32	32	0	7	0	32	9	0	23	7
1989	50172	Monreal de Ariza	94	67	3	11	13	55	53	3	11	12	63	23	2	57	22
1989	50173	Monterde	36	33	0	3	0	26	26	0	3	0	28	9	0	28	0
1989	50174	Montón	16	10	6	0	0	16	10	6	0	0	41	37	0	7	0
1989	50175	Morata de Jalón	196	110	83	1	2	162	93	83	1	2	356	337	21	1	0
1989	50176	Morata de Jiloca	63	63	0	0	0	60	60	0	0	0	40	39	0	1	0
1989	50177	Morés	64	40	23	0	1	59	37	23	0	1	162	161	3	0	0
1989	50178	Moros	92	92	0	0	0	89	89	0	0	0	154	141	0	15	0
1989	50179	Moyuela	84	59	1	15	9	55	54	1	15	6	68	34	0	40	19
