Mes y año	Mes (código)	Mes nombre	Año	Sección (1 letra) código	Sección (1 letra) descripción	Sexo	Número de contratos	CNAE año	CCAA nombre
Agosto 2016	201608	Agosto	2016	Q	Actividades sanitarias y de servicios sociales	Hombres	385	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	Q	Actividades sanitarias y de servicios sociales	Mujeres	1879	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	R	Actividades artísticas, recreativas y de entretenimiento	Hombres	2169	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	R	Actividades artísticas, recreativas y de entretenimiento	Mujeres	875	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	S	Otros servicios	Hombres	365	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	S	Otros servicios	Mujeres	771	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Hombres	122	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Mujeres	448	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	U	Actividades de organizaciones y organismos extraterritoriales	Hombres	2	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	U	Actividades de organizaciones y organismos extraterritoriales	Mujeres	4	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	A	Agricultura, ganadería, silvicultura y pesca	Hombres	6794	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	A	Agricultura, ganadería, silvicultura y pesca	Mujeres	1794	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	B	Industrias extractivas	Hombres	19	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	B	Industrias extractivas	Mujeres	5	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	C	Industria manufacturera	Hombres	5523	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	C	Industria manufacturera	Mujeres	2517	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Hombres	11	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Mujeres	4	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Hombres	170	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Mujeres	61	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	F	Construcción	Hombres	2208	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	F	Construcción	Mujeres	112	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Hombres	2843	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Mujeres	3283	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	H	Transporte y almacenamiento	Hombres	2157	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	H	Transporte y almacenamiento	Mujeres	743	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	I	Hostelería	Hombres	4232	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	I	Hostelería	Mujeres	5073	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	J	Información y comunicaciones	Hombres	347	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	J	Información y comunicaciones	Mujeres	328	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	K	Actividades financieras y de seguros	Hombres	61	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	K	Actividades financieras y de seguros	Mujeres	127	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	L	Actividades inmobiliarias	Hombres	33	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	L	Actividades inmobiliarias	Mujeres	35	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	M	Actividades profesionales, científicas y técnicas	Hombres	468	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	M	Actividades profesionales, científicas y técnicas	Mujeres	431	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	N	Actividades administrativas y servicios auxiliares	Hombres	2266	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	N	Actividades administrativas y servicios auxiliares	Mujeres	3095	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Hombres	442	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Mujeres	540	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	P	Educación	Hombres	428	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	P	Educación	Mujeres	627	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	Q	Actividades sanitarias y de servicios sociales	Hombres	454	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	Q	Actividades sanitarias y de servicios sociales	Mujeres	2300	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	R	Actividades artísticas, recreativas y de entretenimiento	Hombres	2091	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	R	Actividades artísticas, recreativas y de entretenimiento	Mujeres	1000	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	S	Otros servicios	Hombres	326	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	S	Otros servicios	Mujeres	952	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Hombres	176	CNAE - 2009	Aragón
Julio 2016	201607	Julio	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Mujeres	529	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	A	Agricultura, ganadería, silvicultura y pesca	Hombres	9241	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	A	Agricultura, ganadería, silvicultura y pesca	Mujeres	2702	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	B	Industrias extractivas	Hombres	28	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	B	Industrias extractivas	Mujeres	6	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	C	Industria manufacturera	Hombres	6266	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	C	Industria manufacturera	Mujeres	2503	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Hombres	15	CNAE - 2009	Aragón
