Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22096	Chimillas	2017	Secano	966	806	770	25	11	12	0	1	11	83	52	2	29	65	0	16	32	17
22099	Esplús	2017	Regadío	6373	6373	5810	249	314	0	0	0	0	0	0	0	0	0	0	0	0	0
22099	Esplús	2017	Secano	914	142	59	74	9	106	0	9	97	181	47	8	126	485	0	204	141	140
22102	Estada	2017	Regadío	149	146	83	32	31	0	0	0	0	3	3	0	0	0	0	0	0	0
22102	Estada	2017	Secano	1534	139	28	58	53	580	0	2	578	551	309	218	24	264	0	12	30	222
22103	Estadilla	2017	Regadío	984	979	769	107	103	0	0	0	0	5	5	0	0	0	0	0	0	0
22103	Estadilla	2017	Secano	4054	1317	740	203	374	1979	0	5	1974	423	271	63	89	335	0	89	104	142
22105	Estopiñán del Castillo	2017	Regadío	106	105	74	29	2	0	0	0	0	1	1	0	0	0	0	0	0	0
22105	Estopiñán del Castillo	2017	Secano	8628	1744	1393	295	56	25	25	0	0	6394	2488	1790	2116	465	0	97	115	253
22106	Fago	2017	Regadío	53	3	0	3	0	50	50	0	0	0	0	0	0	0	0	0	0	0
22106	Fago	2017	Secano	5004	45	0	45	0	1873	50	1823	0	2752	1827	650	275	334	0	224	50	60
22107	Fanlo	2017	Regadío	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22107	Fanlo	2017	Secano	18847	76	13	63	0	664	664	0	0	14532	7473	727	6332	3575	0	3256	143	176
22109	Fiscal	2017	Regadío	295	290	199	91	0	5	5	0	0	0	0	0	0	0	0	0	0	0
22109	Fiscal	2017	Secano	16783	406	334	72	0	89	89	0	0	15618	13496	596	1526	670	0	131	176	363
22110	Fonz	2017	Regadío	1451	1443	1176	137	130	0	0	0	0	8	8	0	0	0	0	0	0	0
22110	Fonz	2017	Secano	3750	1991	1416	336	239	449	0	30	419	972	416	50	506	338	0	82	149	107
22111	Foradada del Toscar	2017	Regadío	61	59	48	11	0	2	2	0	0	0	0	0	0	0	0	0	0	0
22111	Foradada del Toscar	2017	Secano	10508	575	492	81	2	54	54	0	0	8548	4436	2654	1458	1331	0	1047	134	150
22112	Fraga	2017	Regadío	7072	7072	830	1207	5035	0	0	0	0	0	0	0	0	0	0	0	0	0
22112	Fraga	2017	Secano	36606	16365	7775	8239	351	6181	0	2626	3555	10777	8171	2606	0	3283	0	671	1363	1249
22113	Fueva (La)	2017	Regadío	231	231	212	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22113	Fueva (La)	2017	Secano	21671	2649	2205	407	37	273	273	0	0	16606	9563	2316	4727	2143	0	814	262	1067
22114	Gistaín	2017	Regadío	45	45	39	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22114	Gistaín	2017	Secano	7290	104	76	28	0	170	170	0	0	6662	1603	147	4912	354	0	296	29	29
22115	Grado (El)	2017	Regadío	559	559	201	177	181	0	0	0	0	0	0	0	0	0	0	0	0	0
22115	Grado (El)	2017	Secano	5731	1246	365	374	507	815	0	23	792	3046	2100	770	176	624	0	122	151	351
22116	Grañén	2017	Regadío	8698	8696	8187	455	54	0	0	0	0	2	2	0	0	0	0	0	0	0
22116	Grañén	2017	Secano	3642	1077	906	141	30	507	0	15	492	1081	342	8	731	977	0	198	471	308
22117	Graus	2017	Regadío	281	281	174	103	4	0	0	0	0	0	0	0	0	0	0	0	0	0
22117	Graus	2017	Secano	29602	5234	3689	1005	540	97	97	0	0	22812	13726	3976	5110	1459	0	143	462	854
22119	Gurrea de Gállego	2017	Regadío	4336	4331	3441	283	607	0	0	0	0	5	5	0	0	0	0	0	0	0
