Mes y año	Mes (código)	Mes nombre	Año	Sexo	Provincia código	Provincia nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Otros	Otros	1
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Otros	Temp. Inserción	1
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	117
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	116
Noviembre 2019	201911	Noviembre	2019	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	65
Noviembre 2019	201911	Noviembre	2019	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	101
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Indefinido	Discapacitados	Minusválidos	2
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	469
Noviembre 2019	201911	Noviembre	2019	Mujeres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	265
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	1371
Noviembre 2019	201911	Noviembre	2019	Mujeres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	968
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Temporal	Interinidad	Interinidad	87
Noviembre 2019	201911	Noviembre	2019	Mujeres	44	Teruel	Temporal	Interinidad	Interinidad	198
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Temporal	Discapacitados	Temp. Minusv	2
Noviembre 2019	201911	Noviembre	2019	Hombres	44	Teruel	Temporal	Ligados a la jubilación	Jubilación parcial	2
