Año	Población	Comarca código	Comarca nombre
2017	23652	07	Somontano de Barbastro
2017	23760	08	Cinca Medio
2017	18209	09	La Litera / La Llitera
2017	18794	10	Los Monegros
2017	24470	11	Bajo Cinca / Baix Cinca
2017	13842	12	Tarazona y el Moncayo
2017	13965	13	Campo de Borja
2017	6828	14	Aranda
2017	27016	15	Ribera Alta del Ebro
2017	28340	16	Valdejalón
2017	744579	17	D.C. Zaragoza
2017	8634	18	Ribera Baja del Ebro
2017	14459	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	37700	20	Comunidad de Calatayud
2017	10062	21	Campo de Cariñena
2017	4660	22	Campo de Belchite
2017	6447	23	Bajo Martín
2017	5660	24	Campo de Daroca
2017	12490	25	Jiloca
2017	8230	26	Cuencas Mineras
2017	10339	27	Andorra-Sierra de Arcos
2017	28708	28	Bajo Aragón
2017	45937	29	Comunidad de Teruel
2017	3209	30	Maestrazgo
2017	4483	31	Sierra de Albarracín
2017	7460	32	Gúdar-Javalambre
2017	8259	33	Matarraña / Matarranya
