Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Año
2009	50	Zaragoza	39	Actividades de descontaminación y otros servicios de gestión de residuos	67
2009	50	Zaragoza	41	Construcción de edificios	5237
2009	50	Zaragoza	42	Ingeniería civil	815
2009	50	Zaragoza	43	Actividades de construcción especializada	13074
2009	50	Zaragoza	45	Venta y reparación de vehículos de motor y motocicletas	2255
2009	50	Zaragoza	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	7596
2009	50	Zaragoza	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	15292
2009	50	Zaragoza	49	Transporte terrestre y por tubería	5847
2009	50	Zaragoza	50	Transporte marítimo y por vías navegables interiores	5
2009	50	Zaragoza	51	Transporte aéreo	15
2009	50	Zaragoza	52	Almacenamiento y actividades anexas al transporte	671
2009	50	Zaragoza	53	Actividades postales y de correos	147
2009	50	Zaragoza	55	Servicios de alojamiento	561
2009	50	Zaragoza	56	Servicios de comidas y bebidas	7186
2009	50	Zaragoza	58	Edición	271
2009	50	Zaragoza	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	244
2009	50	Zaragoza	60	Actividades de programación y emisión de radio y televisión	57
2009	50	Zaragoza	61	Telecomunicaciones	110
2009	50	Zaragoza	62	Programación, consultoría y otras actividades relacionadas con la informática	804
2009	50	Zaragoza	63	Servicios de información	108
2009	50	Zaragoza	64	Servicios financieros, excepto seguros y fondos de pensiones	1272
2009	50	Zaragoza	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	147
2009	50	Zaragoza	66	Actividades auxiliares a los servicios financieros y a los seguros	1859
2009	50	Zaragoza	68	Actividades inmobiliarias	10174
2009	50	Zaragoza	69	Actividades jurídicas y de contabilidad	4053
2009	50	Zaragoza	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	3758
2009	50	Zaragoza	72	Investigación y desarrollo	569
2009	50	Zaragoza	73	Publicidad y estudios de mercado	795
2009	50	Zaragoza	74	Otras actividades profesionales, científicas y técnicas	1562
2009	50	Zaragoza	75	Actividades veterinarias	331
2009	50	Zaragoza	77	Actividades de alquiler	1109
2009	50	Zaragoza	78	Actividades relacionadas con el empleo	142
2009	50	Zaragoza	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	299
2009	50	Zaragoza	80	Actividades de seguridad e investigación	86
2009	50	Zaragoza	81	Servicios a edificios y actividades de jardinería	815
2009	50	Zaragoza	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	2866
2009	50	Zaragoza	85	Educación	2273
2009	50	Zaragoza	86	Actividades sanitarias	2835
2009	50	Zaragoza	87	Asistencia en establecimientos residenciales	196
2009	50	Zaragoza	88	Actividades de servicios sociales sin alojamiento	135
2009	50	Zaragoza	90	Actividades de creación, artísticas y espectáculos	1005
2009	50	Zaragoza	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	124
2009	50	Zaragoza	92	Actividades de juegos de azar y apuestas	471
2009	50	Zaragoza	93	Actividades deportivas, recreativas y de entretenimiento	649
2009	50	Zaragoza	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	997
2009	50	Zaragoza	96	Otros servicios personales	3626
2010	22	Huesca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	3371
2010	22	Huesca	02	Silvicultura y explotación forestal	50
2010	22	Huesca	05	Extracción de antracita, hulla y lignito	10
2010	22	Huesca	06	Extracción de crudo de petróleo y gas natural	3
2010	22	Huesca	08	Otras industrias extractivas	56
2010	22	Huesca	10	Industria de la alimentación	369
2010	22	Huesca	11	Fabricación de bebidas	69
2010	22	Huesca	13	Industria textil	42
2010	22	Huesca	14	Confección de prendas de vestir	54
2010	22	Huesca	15	Industria del cuero y del calzado	13
2010	22	Huesca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	179
2010	22	Huesca	17	Industria del papel	13
2010	22	Huesca	18	Artes gráficas y reproducción de soportes grabados	88
2010	22	Huesca	20	Industria química	77
2010	22	Huesca	21	Fabricación de productos farmacéuticos	3
2010	22	Huesca	22	Fabricación de productos de caucho y plásticos	36
2010	22	Huesca	23	Fabricación de otros productos minerales no metálicos	133
2010	22	Huesca	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	8
2010	22	Huesca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	497
2010	22	Huesca	26	Fabricación de productos informáticos, electrónicos y ópticos	14
2010	22	Huesca	27	Fabricación de material y equipo eléctrico	26
2010	22	Huesca	28	Fabricación de maquinaria y equipo n.c.o.p.	99
2010	22	Huesca	29	Fabricación de vehículos de motor, remolques y semirremolques	47
2010	22	Huesca	30	Fabricación de otro material de transporte	9
2010	22	Huesca	31	Fabricación de muebles	112
2010	22	Huesca	32	Otras industrias manufactureras	37
2010	22	Huesca	33	Reparación e instalación de maquinaria y equipo	104
2010	22	Huesca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	499
2010	22	Huesca	36	Captación, depuración y distribución de agua	16
2010	22	Huesca	37	Recogida y tratamiento de aguas residuales	32
2010	22	Huesca	38	Recogida, tratamiento y eliminación de residuos; valorización	17
2010	22	Huesca	39	Actividades de descontaminación y otros servicios de gestión de residuos	46
2010	22	Huesca	41	Construcción de edificios	1934
2010	22	Huesca	42	Ingeniería civil	264
2010	22	Huesca	43	Actividades de construcción especializada	3569
2010	22	Huesca	45	Venta y reparación de vehículos de motor y motocicletas	898
2010	22	Huesca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	1599
2010	22	Huesca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	6536
2010	22	Huesca	49	Transporte terrestre y por tubería	1276
2010	22	Huesca	51	Transporte aéreo	3
2010	22	Huesca	52	Almacenamiento y actividades anexas al transporte	106
2010	22	Huesca	53	Actividades postales y de correos	45
2010	22	Huesca	55	Servicios de alojamiento	934
2010	22	Huesca	56	Servicios de comidas y bebidas	2932
2010	22	Huesca	58	Edición	69
2010	22	Huesca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	54
