Año	Código del municipio	Nombre del municipio	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	22904	Sotonera (La)	2150	88	3	85	8386	618	7012	1519	5493	2	2	139
1989	22905	Lupiñén-Ortilla	1190	170	72	98	6358	11	152	86	66	0	51	64
1989	22906	Santa María de Dulcis	189	6	6	0	1404	54	72	64	8	2	0	100
1989	22907	Aínsa-Sobrarbe	1487	397	34	363	6711	68	2261	832	1429	0	8	99
1989	22908	Hoz y Costeán	410	183	4	179	2023	36	256	118	138	2	0	84
1989	22909	Vencillón	6317	3147	67	3080	4246	66	16233	858	15375	7	0	138
1989	44001	Ababuj	439	30	8	22	3649	49	187	53	134	2	0	42
1989	44002	Abejuela	116	0	0	0	1119	0	0	0	0	6	0	4
1989	44003	Aguatón	140	0	0	0	1336	9	14	2	12	0	0	8
1989	44004	Aguaviva	1973	52	12	40	2681	58	5219	573	4646	6	0	577
1989	44005	Aguilar del Alfambra	332	37	23	14	2536	17	136	46	90	0	0	442
1989	44006	Alacón	2396	0	0	0	6344	106	6425	758	5667	29	9	52
1989	44007	Alba	1014	20	9	11	9348	77	160	69	91	5	0	37
1989	44008	Albalate del Arzobispo	1247	0	0	0	7455	358	624	202	422	9	16	679
1989	44009	Albarracín	789	38	13	25	6757	460	42	29	13	11	0	99
1989	44010	Albentosa	469	22	0	22	2615	296	522	3	519	9	0	57
1989	44011	Alcaine	258	0	0	0	2534	29	0	0	0	2	0	2
1989	44012	Alcalá de la Selva	922	516	0	516	5276	56	34	0	34	20	1	369
1989	44013	Alcañiz	4777	360	128	232	19296	842	7769	701	7068	3	79	3004
1989	44014	Alcorisa	2226	193	108	85	6300	78	5025	426	4599	8	1	455
1989	44016	Alfambra	1598	63	30	33	14023	14	657	200	457	1	1	260
1989	44017	Aliaga	990	243	0	243	7400	82	256	29	227	15	1	125
1989	44018	Almohaja	144	0	0	0	1264	164	3	0	3	0	0	2
1989	44019	Alobras	283	0	0	0	2523	51	39	9	30	16	0	19
1989	44020	Alpeñés	204	0	0	0	1910	0	5	0	5	12	0	65
1989	44021	Allepuz	938	110	0	110	7545	106	171	118	53	17	0	65
1989	44022	Alloza	257	0	0	0	2260	126	20	0	20	4	1	61
1989	44023	Allueva	38	0	0	0	378	0	0	0	0	0	0	0
1989	44024	Anadón	125	0	0	0	1199	9	8	3	5	0	0	5
1989	44025	Andorra	1104	0	0	0	6429	189	1401	1	1400	2	1	110
1989	44026	Arcos de las Salinas	371	0	0	0	3525	52	13	0	13	9	0	137
1989	44027	Arens de Lledó	146	0	0	0	416	22	123	6	117	0	6	218
1989	44028	Argente	728	4	2	2	5002	11	737	42	695	0	1	78
1989	44029	Ariño	72	1	1	0	544	118	0	0	0	3	0	8
1989	44031	Azaila	731	115	0	115	1493	104	1750	0	1750	0	0	0
1989	44032	Bádenas	130	0	0	0	1197	90	2	0	2	0	0	4
1989	44033	Báguena	723	5	3	2	1238	6	2943	479	2464	30	0	98
1989	44034	Bañón	861	0	0	0	4128	0	1637	222	1415	0	0	52
1989	44035	Barrachina	241	0	0	0	2127	9	114	16	98	0	0	50
1989	44036	Bea	140	0	0	0	1142	242	0	0	0	1	0	4
1989	44037	Beceite	1898	8	4	4	1156	159	1589	167	1422	8	193	232
1989	44038	Belmonte de San José	449	0	0	0	528	254	1350	180	1170	13	0	0
1989	44039	Bello	796	117	0	117	5644	67	685	205	480	3	1	214
1989	44040	Berge	245	0	0	0	1615	73	276	100	176	12	0	28
1989	44041	Bezas	60	0	0	0	406	140	9	0	9	2	0	3
1989	44042	Blancas	468	0	0	0	3577	30	447	147	300	0	0	37
1989	44043	Blesa	416	0	0	0	3983	76	11	0	11	5	0	3
1989	44044	Bordón	1006	11	0	11	2666	399	2280	152	2128	16	1	90
1989	44045	Bronchales	525	90	44	46	3495	121	214	162	52	2	0	30
1989	44046	Bueña	557	0	0	0	4953	64	125	58	67	3	0	38
1989	44047	Burbáguena	277	0	0	0	930	0	972	259	713	7	0	715
1989	44048	Cabra de Mora	178	0	0	0	1444	102	53	28	25	7	0	45
1989	44049	Calaceite	1731	0	0	0	3038	116	2564	112	2452	6	60	886
1989	44050	Calamocha	7086	188	104	84	20054	202	18635	2139	16496	26	27	1105
1989	44051	Calanda	4145	124	39	85	3802	97	7120	5334	1786	6	75	700
1989	44052	Calomarde	229	0	0	0	2148	66	6	6	0	1	0	163
1989	44053	Camañas	583	0	0	0	5485	56	97	27	70	0	0	20
1989	44054	Camarena de la Sierra	174	0	0	0	1600	0	10	5	5	11	0	71
1989	44055	Camarillas	397	0	0	0	2960	41	292	73	219	0	1	253
