Año	Provincia	Municipio	Entidad singular	Núcleo
2019	22-Huesca	22054 - Benasque	220540002 - Benasque	22054000299 - *Diseminado*
2019	22-Huesca	22054 - Benasque	220540003 - Cerler	22054000301 - Cerler
2019	22-Huesca	22054 - Benasque	220540003 - Cerler	22054000399 - *Diseminado*
2019	22-Huesca	22055 - Berbegal	220550001 - Berbegal	22055000101 - Berbegal
2019	22-Huesca	22057 - Bielsa	220570001 - Bielsa	22057000101 - Bielsa
2019	22-Huesca	22057 - Bielsa	220570001 - Bielsa	22057000199 - *Diseminado*
2019	22-Huesca	22057 - Bielsa	220570002 - Chisagüés	22057000201 - Chisagüés
2019	22-Huesca	22057 - Bielsa	220570003 - Espierba	22057000301 - Espierba
2019	22-Huesca	22057 - Bielsa	220570003 - Espierba	22057000399 - *Diseminado*
2019	22-Huesca	22057 - Bielsa	220570004 - Javierre	22057000401 - Javierre
2019	22-Huesca	22057 - Bielsa	220570004 - Javierre	22057000499 - *Diseminado*
2019	22-Huesca	22057 - Bielsa	220570005 - Parzán	22057000501 - Parzán
2019	22-Huesca	22057 - Bielsa	220570005 - Parzán	22057000599 - *Diseminado*
2019	22-Huesca	22057 - Bielsa	220570006 - Salinas de Bielsa	22057000601 - Salinas de Bielsa
2019	22-Huesca	22058 - Bierge	220580001 - Almunias de Rodellar (Las)	22058000101 - Almunias de Rodellar (Las)
2019	22-Huesca	22058 - Bierge	220580002 - Bierge	22058000201 - Bierge
2019	22-Huesca	22058 - Bierge	220580002 - Bierge	22058000299 - *Diseminado*
2019	22-Huesca	22058 - Bierge	220580003 - Morrano	22058000301 - Morrano
2019	22-Huesca	22058 - Bierge	220580003 - Morrano	22058000399 - *Diseminado*
2019	22-Huesca	22058 - Bierge	220580004 - Rodellar	22058000401 - Rodellar
2019	22-Huesca	22058 - Bierge	220580005 - Pedruel	22058000501 - Pedruel
2019	22-Huesca	22058 - Bierge	220580006 - Otín	22058000699 - *Diseminado*
2019	22-Huesca	22058 - Bierge	220580007 - San Román	22058000799 - *Diseminado*
2019	22-Huesca	22058 - Bierge	220580008 - San Saturnino	22058000899 - *Diseminado*
2019	22-Huesca	22058 - Bierge	220580009 - Yaso	22058000901 - Yaso
2019	22-Huesca	22059 - Biescas	220590001 - Aso de Sobremonte	22059000101 - Aso de Sobremonte
2019	22-Huesca	22059 - Biescas	220590002 - Barbenuta	22059000201 - Barbenuta
2019	22-Huesca	22059 - Biescas	220590003 - Betés de Sobremonte	22059000301 - Betés de Sobremonte
2019	22-Huesca	22059 - Biescas	220590004 - Biescas	22059000401 - Biescas
2019	22-Huesca	22059 - Biescas	220590004 - Biescas	22059000499 - *Diseminado*
2019	22-Huesca	22059 - Biescas	220590005 - Escuer	22059000501 - Escuer
2019	22-Huesca	22059 - Biescas	220590006 - Espierre	22059000601 - Espierre
2019	22-Huesca	22059 - Biescas	220590007 - Gavín	22059000701 - Gavín
2019	22-Huesca	22059 - Biescas	220590008 - Javierre del Obispo	22059000801 - Javierre del Obispo
2019	22-Huesca	22059 - Biescas	220590009 - Oliván	22059000901 - Oliván
2019	22-Huesca	22059 - Biescas	220590010 - Orós Alto	22059001001 - Orós Alto
2019	22-Huesca	22059 - Biescas	220590011 - Orós Bajo	22059001101 - Orós Bajo
2019	22-Huesca	22059 - Biescas	220590012 - Piedrafita de Jaca	22059001201 - Piedrafita de Jaca
2019	22-Huesca	22059 - Biescas	220590012 - Piedrafita de Jaca	22059001299 - *Diseminado*
2019	22-Huesca	22059 - Biescas	220590013 - Yosa de Sobremonte	22059001301 - Yosa de Sobremonte
2019	22-Huesca	22060 - Binaced	220600001 - Binaced	22060000101 - Binaced
2019	22-Huesca	22060 - Binaced	220600001 - Binaced	22060000199 - *Diseminado*
2019	22-Huesca	22060 - Binaced	220600002 - Valcarca	22060000201 - Valcarca
2019	22-Huesca	22060 - Binaced	220600002 - Valcarca	22060000299 - *Diseminado*
2019	22-Huesca	22061 - Binéfar	220610001 - Binéfar	22061000101 - Binéfar
2019	22-Huesca	22061 - Binéfar	220610001 - Binéfar	22061000199 - *Diseminado*
2019	22-Huesca	22062 - Bisaurri	220620001 - Arasán	22062000101 - Arasán
2019	22-Huesca	22062 - Bisaurri	220620002 - Bisaurri	22062000201 - Bisaurri
2019	22-Huesca	22062 - Bisaurri	220620002 - Bisaurri	22062000202 - Piedrafita
2019	22-Huesca	22062 - Bisaurri	220620002 - Bisaurri	22062000299 - *Diseminado*
2019	22-Huesca	22062 - Bisaurri	220620003 - Gabás	22062000301 - Gabás
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000401 - San Feliu de Veri
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000402 - Renanue
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000403 - Buyelgas
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000404 - La Muria
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000405 - Dos
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000406 - Veri
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000407 - San Valero
2019	22-Huesca	22062 - Bisaurri	220620004 - San Feliu de Veri	22062000499 - *Diseminado*
2019	22-Huesca	22062 - Bisaurri	220620005 - San Martín de Veri	22062000501 - San Martín de Veri
2019	22-Huesca	22062 - Bisaurri	220620006 - Urmella	22062000601 - Urmella
2019	22-Huesca	22062 - Bisaurri	220620006 - Urmella	22062000699 - *Diseminado*
2019	22-Huesca	22063 - Biscarrués	220630001 - Biscarrués	22063000101 - Biscarrués
2019	22-Huesca	22063 - Biscarrués	220630002 - Erés	22063000201 - Erés
2019	22-Huesca	22063 - Biscarrués	220630003 - Piedramorrera	22063000301 - Piedramorrera
2019	22-Huesca	22063 - Biscarrués	220630004 - Presa del Gállego	22063000499 - *Diseminado*
2019	22-Huesca	22064 - Blecua y Torres	220640001 - Blecua	22064000101 - Blecua
2019	22-Huesca	22064 - Blecua y Torres	220640001 - Blecua	22064000199 - *Diseminado*
2019	22-Huesca	22064 - Blecua y Torres	220640002 - Torres de Montes	22064000201 - Torres de Montes
2019	22-Huesca	22064 - Blecua y Torres	220640002 - Torres de Montes	22064000299 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660001 - Ascaso	22066000199 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660002 - Boltaña	22066000201 - Boltaña
2019	22-Huesca	22066 - Boltaña	220660002 - Boltaña	22066000299 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660003 - Campodarbe	22066000399 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660004 - Margudgued	22066000401 - Margudgued
2019	22-Huesca	22066 - Boltaña	220660004 - Margudgued	22066000499 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660005 - Morillo de Sampietro	22066000599 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660006 - Pueyo de Morcat (El)	22066000699 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660007 - Sieste	22066000799 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660008 - Valle (La)	22066000899 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660009 - Aguilar	22066000999 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660010 - Matidero	22066001099 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660011 - Seso	22066001199 - *Diseminado*
2019	22-Huesca	22066 - Boltaña	220660012 - Silves	22066001201 - Silves
2019	22-Huesca	22066 - Boltaña	220660012 - Silves	22066001299 - *Diseminado*
2019	22-Huesca	22067 - Bonansa	220670001 - Bonansa	22067000101 - Bonansa
2019	22-Huesca	22067 - Bonansa	220670002 - Cirés	22067000299 - *Diseminado*
2019	22-Huesca	22067 - Bonansa	220670003 - Gabarret	22067000399 - *Diseminado*
2019	22-Huesca	22067 - Bonansa	220670004 - Bibiles	22067000499 - *Diseminado*
2019	22-Huesca	22067 - Bonansa	220670005 - Buira	22067000599 - *Diseminado*
2019	22-Huesca	22067 - Bonansa	220670006 - Espollá	22067000699 - *Diseminado*
2019	22-Huesca	22067 - Bonansa	220670007 - Torre de Buira	22067000799 - *Diseminado*
2019	22-Huesca	22068 - Borau	220680001 - Borau	22068000101 - Borau
2019	22-Huesca	22069 - Broto	220690001 - Asín de Broto	22069000101 - Asín de Broto
2019	22-Huesca	22069 - Broto	220690001 - Asín de Broto	22069000199 - *Diseminado*
2019	22-Huesca	22069 - Broto	220690002 - Bergua	22069000201 - Bergua
2019	22-Huesca	22069 - Broto	220690002 - Bergua	22069000299 - *Diseminado*
2019	22-Huesca	22069 - Broto	220690003 - Broto	22069000301 - Broto
2019	22-Huesca	22069 - Broto	220690003 - Broto	22069000399 - *Diseminado*
2019	22-Huesca	22069 - Broto	220690004 - Buesa	22069000401 - Buesa
2019	22-Huesca	22069 - Broto	220690004 - Buesa	22069000499 - *Diseminado*
2019	22-Huesca	22069 - Broto	220690005 - Oto	22069000501 - Oto
2019	22-Huesca	22069 - Broto	220690005 - Oto	22069000599 - *Diseminado*
2019	22-Huesca	22069 - Broto	220690006 - Sarvisé	22069000601 - Sarvisé
2019	22-Huesca	22069 - Broto	220690006 - Sarvisé	22069000699 - *Diseminado*
2019	22-Huesca	22072 - Caldearenas	220720001 - Anzánigo	22072000101 - Anzánigo
2019	22-Huesca	22072 - Caldearenas	220720002 - Aquilué	22072000201 - Aquilué
2019	22-Huesca	22072 - Caldearenas	220720002 - Aquilué	22072000299 - *Diseminado*
2019	22-Huesca	22072 - Caldearenas	220720003 - Caldearenas	22072000301 - Caldearenas
2019	22-Huesca	22072 - Caldearenas	220720003 - Caldearenas	22072000399 - *Diseminado*
2019	22-Huesca	22072 - Caldearenas	220720004 - Estallo	22072000401 - Estallo
2019	22-Huesca	22072 - Caldearenas	220720004 - Estallo	22072000499 - *Diseminado*
2019	22-Huesca	22072 - Caldearenas	220720005 - Javierrelatre	22072000501 - Javierrelatre
2019	22-Huesca	22072 - Caldearenas	220720005 - Javierrelatre	22072000599 - *Diseminado*
2019	22-Huesca	22072 - Caldearenas	220720006 - Latre	22072000601 - Latre
2019	22-Huesca	22072 - Caldearenas	220720007 - San Vicente	22072000701 - San Vicente
2019	22-Huesca	22072 - Caldearenas	220720008 - Serué	22072000801 - Serué
2019	22-Huesca	22072 - Caldearenas	220720009 - Sieso de Jaca	22072000901 - Sieso de Jaca
2019	22-Huesca	22072 - Caldearenas	220720009 - Sieso de Jaca	22072000999 - *Diseminado*
2019	22-Huesca	22074 - Campo	220740001 - Beleder	22074000199 - *Diseminado*
2019	22-Huesca	22074 - Campo	220740002 - Campo	22074000201 - Campo
2019	22-Huesca	22075 - Camporrells	220750001 - Camporrells	22075000101 - Camporrells
2019	22-Huesca	22075 - Camporrells	220750001 - Camporrells	22075000199 - *Diseminado*
2019	22-Huesca	22076 - Canal de Berdún	220760001 - Berdún	22076000101 - Berdún
2019	22-Huesca	22076 - Canal de Berdún	220760001 - Berdún	22076000199 - *Diseminado*
2019	22-Huesca	22076 - Canal de Berdún	220760002 - Biniés	22076000201 - Biniés
2019	22-Huesca	22076 - Canal de Berdún	220760002 - Biniés	22076000299 - *Diseminado*
2019	22-Huesca	22076 - Canal de Berdún	220760003 - Majones	22076000301 - Majones
2019	22-Huesca	22076 - Canal de Berdún	220760004 - Martes	22076000401 - Martes
2019	22-Huesca	22076 - Canal de Berdún	220760004 - Martes	22076000499 - *Diseminado*
2019	22-Huesca	22076 - Canal de Berdún	220760005 - Villarreal de la Canal	22076000501 - Villarreal de la Canal
2019	22-Huesca	22076 - Canal de Berdún	220760005 - Villarreal de la Canal	22076000599 - *Diseminado*
