Mes y año	Mes (código)	Mes nombre	Año	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Enero 2009	200901	Enero	2009	Otros	Hombres	Temporal	1	4329	623906	144,12243012243012243012243012243012243	Aragón
Enero 2009	200901	Enero	2009	Otros	Mujeres	Temporal	0	4419	0	0	Aragón
Enero 2009	200901	Enero	2009	Otros	Mujeres	Temporal	1	5441	424861	78,08509465171843411137658518654659070024	Aragón
Diciembre 2008	200812	Diciembre	2008	A través de una ETT	Hombres	Temporal	0	726	0	0	Aragón
Diciembre 2008	200812	Diciembre	2008	A través de una ETT	Hombres	Temporal	1	892	9363	10,49663677130044843049327354260089686099	Aragón
Diciembre 2008	200812	Diciembre	2008	A través de una ETT	Mujeres	Temporal	0	843	0	0	Aragón
Diciembre 2008	200812	Diciembre	2008	A través de una ETT	Mujeres	Temporal	1	643	6657	10,35303265940902021772939346811819595645	Aragón
Diciembre 2008	200812	Diciembre	2008	Otros	Hombres	Temporal	0	4026	0	0	Aragón
Diciembre 2008	200812	Diciembre	2008	Otros	Hombres	Temporal	1	4288	755646	176,223414179104477611940298507462686567	Aragón
Diciembre 2008	200812	Diciembre	2008	Otros	Mujeres	Temporal	0	4042	0	0	Aragón
Diciembre 2008	200812	Diciembre	2008	Otros	Mujeres	Temporal	1	6274	477859	76,16496652853044309850175326745298055467	Aragón
Noviembre 2008	200811	Noviembre	2008	A través de una ETT	Hombres	Temporal	0	712	0	0	Aragón
Noviembre 2008	200811	Noviembre	2008	A través de una ETT	Hombres	Temporal	1	940	11371	12,09680851063829787234042553191489361702	Aragón
Noviembre 2008	200811	Noviembre	2008	A través de una ETT	Mujeres	Temporal	0	784	0	0	Aragón
Noviembre 2008	200811	Noviembre	2008	A través de una ETT	Mujeres	Temporal	1	633	9267	14,63981042654028436018957345971563981043	Aragón
Noviembre 2008	200811	Noviembre	2008	Otros	Hombres	Temporal	0	5612	0	0	Aragón
Noviembre 2008	200811	Noviembre	2008	Otros	Hombres	Temporal	1	5123	805859	157,302166699199687682998243216865118095	Aragón
Noviembre 2008	200811	Noviembre	2008	Otros	Mujeres	Temporal	0	4706	0	0	Aragón
Noviembre 2008	200811	Noviembre	2008	Otros	Mujeres	Temporal	1	6690	549328	82,11180866965620328849028400597907324365	Aragón
Octubre 2008	200810	Octubre	2008	A través de una ETT	Hombres	Temporal	0	1059	0	0	Aragón
Octubre 2008	200810	Octubre	2008	A través de una ETT	Hombres	Temporal	1	1340	17291	12,90373134328358208955223880597014925373	Aragón
Octubre 2008	200810	Octubre	2008	A través de una ETT	Mujeres	Temporal	0	739	0	0	Aragón
Octubre 2008	200810	Octubre	2008	A través de una ETT	Mujeres	Temporal	1	827	11885	14,37122128174123337363966142684401451028	Aragón
Octubre 2008	200810	Octubre	2008	Otros	Hombres	Temporal	0	7942	0	0	Aragón
Octubre 2008	200810	Octubre	2008	Otros	Hombres	Temporal	1	7437	1000471	134,526153018690332123167944063466451526	Aragón
Octubre 2008	200810	Octubre	2008	Otros	Mujeres	Temporal	0	6662	0	0	Aragón
