Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2010	31	Sierra de Albarracín	6816	409	35	54	669	23	17	9	22	66	3	3559	2245	7	10375
2010	32	Gúdar-Javalambre	12783	1326	85	50	2607	32	37	14	33	80	1	8483	4204	14	21266
2010	33	Matarraña / Matarranya	7504	428	37	37	1175	34	29	8	19	43	5	3264	1440	9	10768
2011	01	La Jacetania	25037	13389	924	311	2843	35	44	90	43	107	1	20022	2217	18	45059
2011	02	Alto Gállego	18119	9863	452	192	1518	22	38	46	30	62	4	14497	2258	12	32616
2011	03	Sobrarbe	6387	1257	169	113	1918	20	24	24	39	114	1	5069	1385	5	11456
2011	04	La Ribagorza	13313	3201	301	98	2773	40	38	21	35	223	3	9548	2802	13	22861
2011	05	Cinco Villas	20267	4451	564	49	3240	70	63	101	39	91	20	11715	3004	23	31982
2011	06	Hoya de Huesca / Plana de Uesca	38690	19759	2679	103	6526	82	244	467	57	183	10	34199	4044	45	72889
2011	07	Somontano de Barbastro	14259	3948	703	120	2339	39	61	103	44	98	5	9565	2084	21	23824
2011	08	Cinca Medio	12116	3257	596	17	2447	33	23	69	15	23	5	8090	1587	18	20206
2011	09	La Litera / La Llitera	10340	2016	325	12	2452	22	44	54	15	42	0	6766	1769	15	17106
2011	10	Los Monegros	11986	389	146	31	4864	52	64	25	32	88	11	8055	2328	25	20041
2011	11	Bajo Cinca / Baix Cinca	12458	2282	424	126	3104	36	43	94	20	32	5	7494	1307	21	19952
2011	12	Tarazona y el Moncayo	11393	1434	209	23	2930	26	29	33	6	43	3	6181	1432	13	17574
2011	13	Campo de Borja	9821	637	152	23	2378	20	31	24	11	37	6	4734	1405	10	14555
2011	14	Aranda	5984	849	139	5	1952	19	13	28	13	27	2	4330	1276	7	10314
2011	15	Ribera Alta del Ebro	13900	1758	257	24	2510	30	36	105	20	32	2	7423	2629	20	21323
2011	16	Valdejalón	16325	2270	242	33	4144	31	53	89	15	30	7	10186	3256	16	26511
2011	17	Central	350822	134391	21014	508	23558	495	395	5859	125	214	40	199968	12981	388	550790
2011	18	Ribera Baja del Ebro	5713	142	51	22	1350	10	30	14	10	27	1	2747	1084	6	8460
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8328	960	219	20	2132	22	23	18	11	21	3	4987	1545	13	13315
2011	20	Comunidad de Calatayud	33893	5790	849	56	6235	77	79	106	43	183	7	18584	5129	30	52477
2011	21	Campo de Cariñena	7640	543	70	14	1769	26	21	20	11	30	9	3779	1261	5	11419
2011	22	Campo de Belchite	5475	62	15	10	817	16	10	8	22	27	4	1709	713	5	7184
2011	23	Bajo Martín	5962	389	52	11	668	12	11	12	10	26	2	2423	1220	10	8385
2011	24	Campo de Daroca	8819	286	51	59	1124	37	24	13	24	68	0	3097	1403	8	11916
2011	25	Jiloca	13675	1099	134	33	3209	34	22	24	36	93	6	7541	2841	10	21216
2011	26	Cuencas Mineras	8113	1008	114	22	2849	21	31	16	32	57	2	5912	1751	9	14025
2011	27	Andorra-Sierra de Arcos	7508	1368	118	16	1238	26	14	27	10	31	3	3868	1006	11	11376
2011	28	Bajo Aragón	18429	5444	606	30	2772	39	49	96	26	55	7	11907	2769	14	30336
2011	29	Comunidad de Teruel	27780	10927	910	57	4569	82	59	261	74	122	6	22173	5074	32	49953
2011	30	Maestrazgo	3792	182	24	23	1963	11	13	1	28	61	3	3097	783	5	6889
2011	31	Sierra de Albarracín	6817	409	35	53	670	23	17	9	21	66	3	3587	2275	6	10404
2011	32	Gúdar-Javalambre	12865	1332	83	50	2614	29	35	14	31	80	1	8551	4269	13	21416
2011	33	Matarraña / Matarranya	7552	468	37	37	1189	34	29	8	19	43	5	3298	1420	9	10850
2012	01	La Jacetania	25406	13600	907	309	2723	35	42	87	42	106	1	20102	2232	18	45508
2012	02	Alto Gállego	18272	10121	451	194	1536	22	40	46	30	62	4	14872	2354	12	33144
2012	03	Sobrarbe	6524	1284	173	118	1937	20	25	24	39	112	2	5212	1473	5	11736
2012	04	La Ribagorza	13532	3325	306	99	2784	40	38	24	36	224	3	9722	2829	14	23254
2012	05	Cinco Villas	20438	4615	576	75	3225	70	63	101	39	91	20	12081	3183	23	32519
2012	06	Hoya de Huesca / Plana de Uesca	38892	19905	2689	103	6426	85	245	480	61	184	10	34204	3971	45	73096
2012	07	Somontano de Barbastro	14416	4098	706	121	2339	40	61	100	45	98	5	9734	2100	21	24150
2012	08	Cinca Medio	12206	3366	598	17	2450	33	23	70	15	23	5	8319	1701	18	20525
2012	09	La Litera / La Llitera	10452	2144	331	12	2467	22	42	54	15	42	0	6886	1742	15	17338
2012	10	Los Monegros	12041	397	145	32	4853	52	64	26	32	88	11	8079	2353	26	20120
2012	11	Bajo Cinca / Baix Cinca	12490	2364	431	127	3073	37	43	96	22	32	5	7700	1449	21	20190
2012	12	Tarazona y el Moncayo	11446	1477	219	23	2921	26	30	34	7	43	3	6210	1414	13	17656
2012	13	Campo de Borja	9941	752	154	23	2372	20	31	24	11	37	6	4828	1388	10	14769
2012	14	Aranda	6004	878	150	5	1956	19	13	29	13	27	2	4383	1284	7	10387
2012	15	Ribera Alta del Ebro	14223	2047	243	24	2483	31	39	108	20	32	2	7774	2725	20	21997
2012	16	Valdejalón	16534	2529	243	33	4170	31	53	90	16	30	7	10572	3354	16	27106
2012	17	Central	353404	138228	21102	531	23260	500	417	6022	134	214	39	204304	13474	383	557708
2012	18	Ribera Baja del Ebro	5761	143	52	22	1350	10	29	15	10	27	1	2764	1099	6	8525
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8369	966	221	19	2116	22	23	18	11	21	3	5045	1611	14	13414
2012	20	Comunidad de Calatayud	34451	6292	884	63	6284	79	84	112	42	182	8	19128	5068	30	53579
2012	21	Campo de Cariñena	7730	586	72	14	1775	26	21	36	11	30	9	3834	1249	5	11564
2012	22	Campo de Belchite	5482	62	15	10	820	16	10	8	21	26	4	1720	723	5	7202
2012	23	Bajo Martín	5985	401	54	11	671	12	11	13	10	26	2	2440	1219	10	8425
2012	24	Campo de Daroca	8836	286	51	59	1115	36	25	13	26	68	0	3112	1425	8	11948
2012	25	Jiloca	13806	1137	143	34	3259	34	23	24	36	96	6	7729	2927	10	21535
2012	26	Cuencas Mineras	8135	1012	116	22	2862	21	31	16	32	57	2	5928	1748	9	14063
2012	27	Andorra-Sierra de Arcos	7590	1440	120	16	1240	26	14	28	10	32	3	3940	1000	11	11530
2012	28	Bajo Aragón	18619	5623	621	31	2813	39	51	94	26	55	7	12116	2742	14	30735
2012	29	Comunidad de Teruel	28686	11746	951	57	4660	83	63	258	76	124	5	23113	5058	32	51799
2012	30	Maestrazgo	3877	313	32	23	1956	11	13	3	29	61	3	3228	779	5	7105
2012	31	Sierra de Albarracín	6932	450	37	52	683	23	18	9	21	67	3	3612	2243	6	10544
2012	32	Gúdar-Javalambre	12981	1601	88	56	2770	31	34	13	30	81	1	9070	4353	12	22051
2012	33	Matarraña / Matarranya	7609	508	38	37	1195	35	29	10	19	43	5	3343	1415	9	10952
