Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22232	Torralba de Aragón	Liquidaciones	Consolidada	261948,02	0	0	5626,28	42935,27	0	213386,47
2010	22233	Torre la Ribera	Liquidaciones	Consolidada	285707,33	8171,61	188770,98	8255,73	28790,71	19723,76	31994,54
2010	22234	Torrente de Cinca	Liquidaciones	Consolidada	985540,89	47652,2	390784,71	72632,7	122811,29	0	351659,99
2010	22235	Torres de Alcanadre	Liquidaciones	Consolidada	255708,46	4214,63	196678,72	12202,65	17503,26	0	25109,2
2010	22236	Torres de Barbués	Liquidaciones	Consolidada	466877,08	117,97	90922,16	8718,42	22120,04	271889,38	73109,11
2010	22239	Tramaced	Liquidaciones	Consolidada	318911,52	16630,13	0	5013,42	276594,92	927,46	19745,59
2010	22242	Valfarta	Liquidaciones	Consolidada	188041,91	0	0	2581,08	162274,6	77,93	23108,3
2010	22243	Valle de Bardají	Liquidaciones	Consolidada	210019,76	0	144355,81	2171,15	0	0	63492,8
2010	22244	Valle de Lierp	Liquidaciones	Consolidada	200505	0	43980,63	6892,5	90000	12994,38	46637,49
2010	22245	Velilla de Cinca	Liquidaciones	Consolidada	490128,3	7986,91	247158,99	17976,61	136726,66	0	80279,13
2010	22246	Beranuy	Liquidaciones	Consolidada	162936,56	0	124956,02	6968,13	1459,64	1219,6	28333,17
2010	22247	Viacamp y Litera	Liquidaciones	Consolidada	478961,82	0	33802,96	11405,34	25844,3	85572,24	322336,98
2010	22248	Vicién	Liquidaciones	Consolidada	319290,91	11797,67	0	12150,09	240275,5	18874,03	36193,62
2010	22249	Villanova	Liquidaciones	Consolidada	188417,99	0	22821,26	17724,89	4127,65	28231,76	115512,43
2010	22250	Villanúa	Liquidaciones	Consolidada	1351352,35	0	67742,36	101077,16	599455,52	379558,94	203518,37
2010	22251	Villanueva de Sigena	Liquidaciones	Consolidada	520618,16	12115,18	0	0	138409,07	192346,48	177747,43
2010	22252	Yebra de Basa	Liquidaciones	Consolidada	197694,65	0	138176,72	0	5147,18	0	54370,75
2010	22253	Yésero	Liquidaciones	Consolidada	217873,17	0	179903,92	0	6753,03	0	31216,22
2010	22254	Zaidín	Liquidaciones	Consolidada	1687660,19	11014,69	0	68675,1	211790,51	644379,14	751800,75
2010	22901	Valle de Hecho	Liquidaciones	Consolidada	1078792,76	71492,52	0	54171,06	130953,48	458333,33	363842,37
2010	22902	Puente la Reina de Jaca	Liquidaciones	Consolidada	461753,73	19300,18	41417,85	41124,79	21138,86	114525,8	224246,25
2010	22903	San Miguel del Cinca	Liquidaciones	Consolidada	1498372,01	41376,38	784341,23	0	392341,52	60168,35	220144,53
2010	22904	Sotonera (La)	Liquidaciones	Consolidada	1112892,09	39769,14	197938,86	58618,79	256268,21	311323,33	248973,76
2010	22905	Lupiñén-Ortilla	Liquidaciones	Consolidada	892871,64	39494,58	297716,41	0	424664,27	0	130996,38
