Municipio código	Municipio nombre	Año	Votos	Siglas	Candidatura
22061	Binéfar	2016	1733	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22048	Barbastro	2015	1714	TA	TIERRA ARAGONESA
44013	Alcañiz	2019	1682	PP	PARTIDO POPULAR
44025	Andorra	2011	1681	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50252	Tauste	2016	1665	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50252	Tauste	2008	1646	PP	PARTIDO POPULAR
22130	Jaca	2015	1645	ALTOARAGONenCOMUN	Alto Aragón en Común
22158	Monzón	2016	1631	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN
22130	Jaca	2016	1627	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22158	Monzón	2019	1608	PP	PARTIDO POPULAR
22061	Binéfar	2015	1607	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50067	Calatayud	2016	1593	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
22158	Monzón	2015	1587	MAS	MOVIMIENTO ARAGONES SOCIAL
50089	Cuarte de Huerva	2016	1586	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
22199	Sabiñánigo	2008	1580	PP	PARTIDO POPULAR
22112	Fraga	2015	1576	ALTOARAGONenCOMUN	Alto Aragón en Común
50272	Utebo	2019	1568	VOX	VOX
44216	Teruel	2011	1559	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL
50252	Tauste	2015	1553	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
22112	Fraga	2019	1541	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50074	Caspe	2019	1541	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50089	Cuarte de Huerva	2008	1538	PP	PARTIDO POPULAR
22061	Binéfar	2011	1535	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44013	Alcañiz	2015	1532	TA	TIERRA ARAGONESA
44025	Andorra	2019	1530	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44025	Andorra	2011	1524	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50074	Caspe	2011	1524	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22061	Binéfar	2019	1521	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50089	Cuarte de Huerva	2019	1516	VOX	VOX
44013	Alcañiz	2015	1508	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
50095	Ejea de los Caballeros	2016	1500	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
50272	Utebo	2019	1497	PODEMOS-IU-EQUO	UNIDAS PODEMOS
50298	Zuera	2016	1489	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50025	Almunia de Doña Godina (La)	2008	1488	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44013	Alcañiz	2016	1485	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
50067	Calatayud	2019	1480	VOX	VOX
50067	Calatayud	2015	1477	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
50297	Zaragoza	2015	1473	VOX	VOX
