Año	Residencia CCAA nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2010	Aragón	Extranjeros	05	América del Norte	América	Hombres	294
2010	Aragón	Extranjeros	06	Resto de América	América	Hombres	16613
2010	Aragón	Extranjeros	07	Asia	Asia	Hombres	3620
2010	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	23
2010	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2011	Aragón	Españoles	01	UE-27	Europa	Hombres	578338
2011	Aragón	Extranjeros	01	UE-27	Europa	Hombres	48022
2011	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1608
2011	Aragón	Extranjeros	03	Magreb	África	Hombres	15258
2011	Aragón	Extranjeros	04	Resto de África	África	Hombres	9194
2011	Aragón	Extranjeros	05	América del Norte	América	Hombres	277
2011	Aragón	Extranjeros	06	Resto de América	América	Hombres	14818
2011	Aragón	Extranjeros	07	Asia	Asia	Hombres	3732
2011	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	18
2011	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	21
2012	Aragón	Españoles	01	UE-27	Europa	Hombres	578743
2012	Aragón	Extranjeros	01	UE-27	Europa	Hombres	48964
2012	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1680
2012	Aragón	Extranjeros	03	Magreb	África	Hombres	15374
2012	Aragón	Extranjeros	04	Resto de África	África	Hombres	9233
2012	Aragón	Extranjeros	05	América del Norte	América	Hombres	278
2012	Aragón	Extranjeros	06	Resto de América	América	Hombres	13499
2012	Aragón	Extranjeros	07	Asia	Asia	Hombres	4087
2012	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	20
2012	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2013	Aragón	Españoles	01	UE-27	Europa	Hombres	577233
2013	Aragón	Extranjeros	01	UE-27	Europa	Hombres	47553
2013	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1678
2013	Aragón	Extranjeros	03	Magreb	África	Hombres	15837
2013	Aragón	Extranjeros	04	Resto de África	África	Hombres	9518
2013	Aragón	Extranjeros	05	América del Norte	América	Hombres	269
2013	Aragón	Extranjeros	06	Resto de América	América	Hombres	13263
2013	Aragón	Extranjeros	07	Asia	Asia	Hombres	4599
2013	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	22
2013	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	15
2014	Aragón	Españoles	01	UE-28	Europa	Hombres	578497
2014	Aragón	Extranjeros	01	UE-28	Europa	Hombres	36242
2014	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1557
2014	Aragón	Extranjeros	03	Magreb	África	Hombres	15278
2014	Aragón	Extranjeros	04	Resto de África	África	Hombres	9181
2014	Aragón	Extranjeros	05	América del Norte	América	Hombres	252
2014	Aragón	Extranjeros	06	Resto de América	América	Hombres	11353
2014	Aragón	Extranjeros	07	Asia	Asia	Hombres	4571
2014	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	24
2014	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	9
2015	Aragón	Españoles	01	UE-28	Europa	Hombres	579428
2015	Aragón	Extranjeros	01	UE-28	Europa	Hombres	33730
2015	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1493
2015	Aragón	Extranjeros	03	Magreb	África	Hombres	14459
2015	Aragón	Extranjeros	04	Resto de África	África	Hombres	9275
2015	Aragón	Extranjeros	05	América del Norte	América	Hombres	232
2015	Aragón	Extranjeros	06	Resto de América	América	Hombres	9695
2015	Aragón	Extranjeros	07	Asia	Asia	Hombres	4335
2015	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	27
2015	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	13
2016	Aragón	Españoles	01	UE-28	Europa	Hombres	578502
2016	Aragón	Extranjeros	01	UE-28	Europa	Hombres	32144
2016	Aragón	Extranjeros	02	Resto de Europa	Europa	Hombres	1499
2016	Aragón	Extranjeros	03	Magreb	África	Hombres	13684
2016	Aragón	Extranjeros	04	Resto de África	África	Hombres	8261
2016	Aragón	Extranjeros	05	América del Norte	América	Hombres	244
2016	Aragón	Extranjeros	06	Resto de América	América	Hombres	8655
2016	Aragón	Extranjeros	07	Asia	Asia	Hombres	4168
2016	Aragón	Extranjeros	08	Oceanía	Oceanía	Hombres	32
2016	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	17
